setting_id,setting_label,row_role,split_count,candidate_id,candidate_branch,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,total_hidden_positive,total_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,selected_contamination,classifier_score_mean,audit_oracle_score
can40,Can 40p/80b,primary,5,positive_nn_risk_fusion_top40,risk_fusion_component,200,196,4,200,400,0.980,0.980,0.010,0.020,0.682,0.970
can40,Can 40p/80b,primary,5,positive_nn_risk_union_top40,hard_risk_union,226,198,28,200,400,0.876,0.990,0.070,0.124,0.663,0.920
can40,Can 40p/80b,primary,5,positive_nn_top40,positive_only_component,200,172,28,200,400,0.860,0.860,0.070,0.140,0.681,0.790
lift_mg,Lift MG,primary,5,weighted_bc,soft_weighted,7100,1380,5720,1380,5720,0.194,1.000,1.000,0.806,0.412,0.000
