source,train_demos,train_positive_demos,train_negative_demos,selected_unlabeled_demos,selected_hidden_positive_demos,selected_hidden_bad_demos,selected_hidden_positive_purity,eval_episodes,eval_horizon,success_5k,success_10k,success_15k,success_20k,best_checkpoint_success
labeled positives,10,10,0,0,0,0,,10,150,0.100,0.000,0.000,0.200,0.200
top-80 selected support,90,87,3,80,77,3,0.963,10,150,0.000,0.300,0.100,0.200,0.300
top-160 selected support,170,164,6,160,154,6,0.963,10,150,0.000,0.500,0.300,0.700,0.700
pos-min calibrated threshold,240,213,27,230,203,27,0.883,10,150,0.200,0.400,0.600,0.800,0.800
adaptive masscap,289,233,56,279,223,56,0.799,10,150,0.100,0.400,0.600,0.600,0.600
all train demos,1440,286,1154,1420,276,1144,0.194,10,150,0.100,0.100,0.300,0.100,0.300
all train positives,286,286,0,276,276,0,1.000,10,150,0.200,0.300,0.700,0.800,0.800
