method,success_rate,avg_return,avg_len
bc_positive,0.5,0.5,449.7
weighted_bc_classifier,0.5,0.5,525.8
tri_piql_q_bc,0.2,0.2,676.3
tri_piql_score_awbc,0.4,0.4,525.5
