method,checkpoint_step,success_rate,avg_return,avg_len
gmm_mode_positive_plus_classifier_top_unlabeled_demos_step20000,20000,0.3,0.3,310.4
gmm_mode_positive_plus_classifier_top_unlabeled_demos_step50000,50000,0.1,0.1,370.3
