source,method,split_path,max_steps_max,max_steps_values,checkpoint_step,source_transition_count_mean,source_transition_count_values,top_unlabeled_demos,feature_mode,eval_episodes,eval_horizon,n_runs,seeds,success_mean,success_values,return_mean,length_mean,selected_hidden_positive_mean,selected_unlabeled_transitions_mean
labeled_positive,gmm_mean_labeled_positive,results/robomimic_inspection/can_paired_low_dim/split_indices.json,3000,3000,3000,1198.0,1198,40,obs,10,400,1,0,0.0,0.000,0.0,400.0,0.0,0.0
labeled_positive,gmm_mean_labeled_positive,results/robomimic_inspection/can_paired_low_dim_budget80/split_indices.json,3000,3000,3000,8809.0,8809,40,obs,10,400,1,0,0.2,0.200,0.2,344.3,0.0,0.0
labeled_positive,gmm_mode_labeled_positive,results/robomimic_inspection/can_paired_low_dim/split_indices.json,3000,3000,3000,1198.0,1198,40,obs,10,400,1,0,0.0,0.000,0.0,400.0,0.0,0.0
labeled_positive,gmm_mode_labeled_positive,results/robomimic_inspection/can_paired_low_dim/split_indices.json,50000,"20000,50000,50000",20000,1198.0,"1198,1198,1198",40,obs,10,400,3,"0,1,2",0.06666666666666667,"0.000,0.100,0.100",0.06666666666666667,380.43333333333334,0.0,0.0
labeled_positive,gmm_mode_labeled_positive,results/robomimic_inspection/can_paired_low_dim/split_indices.json,50000,"50000,50000",50000,1198.0,"1198,1198",40,obs,10,400,2,"1,2",0.15000000000000002,"0.200,0.100",0.15000000000000002,356.35,0.0,0.0
labeled_positive,gmm_mode_labeled_positive,results/robomimic_inspection/can_paired_low_dim_budget80/split_indices.json,3000,3000,3000,8809.0,8809,40,obs,10,400,1,0,0.5,0.500,0.5,257.9,0.0,0.0
labeled_positive,gmm_sample_labeled_positive,results/robomimic_inspection/can_paired_low_dim/split_indices.json,3000,3000,3000,1198.0,1198,40,obs,10,400,1,0,0.0,0.000,0.0,400.0,0.0,0.0
labeled_positive,gmm_sample_labeled_positive,results/robomimic_inspection/can_paired_low_dim_budget80/split_indices.json,3000,3000,3000,8809.0,8809,40,obs,10,400,1,0,0.6,0.600,0.6,221.8,0.0,0.0
positive_plus_classifier_top_unlabeled_demos,gmm_classifier_rerank_positive_plus_classifier_top_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,3000,3000,3000,9027.0,9027,80,obs,10,400,1,0,0.1,0.100,0.1,382.1,60.0,7829.0
positive_plus_classifier_top_unlabeled_demos,gmm_mean_positive_plus_classifier_top_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,3000,3000,3000,9027.0,9027,80,obs,10,400,1,0,0.2,0.200,0.2,341.8,60.0,7829.0
positive_plus_classifier_top_unlabeled_demos,gmm_mode_positive_plus_classifier_top_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,3000,3000,3000,9027.0,9027,80,obs,10,400,1,0,0.3,0.300,0.3,312.3,60.0,7829.0
positive_plus_classifier_top_unlabeled_demos,gmm_mode_positive_plus_classifier_top_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,50000,"20000,50000,50000",20000,9072.333333333334,"9027,9133,9057",80,obs,10,400,3,"0,1,2",0.30000000000000004,"0.400,0.200,0.300",0.30000000000000004,312.2333333333333,61.666666666666664,7874.333333333333
positive_plus_classifier_top_unlabeled_demos,gmm_mode_positive_plus_classifier_top_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,50000,"50000,50000",50000,9095.0,"9133,9057",80,obs,10,400,2,"1,2",0.15000000000000002,"0.200,0.100",0.15000000000000002,357.3,62.5,7897.0
positive_plus_classifier_top_unlabeled_demos,gmm_sample_positive_plus_classifier_top_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,3000,3000,3000,9027.0,9027,80,obs,10,400,1,0,0.1,0.100,0.1,371.1,60.0,7829.0
