split_seed,candidate_id,candidate_tag,train_demo_count,selected_unlabeled,selected_hidden_positive,selected_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,config_path,train_output_dir,eval_output_dir,train_filter_key
101,state_action_positive_nn_top40,sapn40,50,40,34,6,0.850,0.850,0.075,results/final_paper/ablations/can_coverage_shift_endpoint_200ep/split101/sapn40/setup/config.json,results/final_paper/ablations/can_coverage_shift_endpoint_200ep/split101/sapn40/train,results/final_paper/ablations/can_coverage_shift_endpoint_200ep/split101/sapn40/eval_smoke,cov_can200_s101_sapn40_seed0_train
101,hybrid_rank_fusion_badaware_heavy_top40,hrfbh40,50,40,39,1,0.975,0.975,0.013,results/final_paper/ablations/can_coverage_shift_endpoint_200ep/split101/hrfbh40/setup/config.json,results/final_paper/ablations/can_coverage_shift_endpoint_200ep/split101/hrfbh40/train,results/final_paper/ablations/can_coverage_shift_endpoint_200ep/split101/hrfbh40/eval_smoke,cov_can200_s101_hrfbh40_seed0_train
