source,method,split_path,max_steps_max,max_steps_values,checkpoint_step,source_transition_count_mean,source_transition_count_values,top_unlabeled_demos,selection_rule,checkpoint_selection_metric,feature_mode,eval_episodes,eval_horizon,n_runs,seeds,success_mean,success_values,return_mean,length_mean,selected_unlabeled_demo_count_mean,selected_hidden_positive_mean,selected_unlabeled_transitions_mean
positive_plus_classifier_gap_unlabeled_demos,gmm_mode_positive_plus_classifier_gap_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,20000,20000,5000,3470.0,3470,40,score_gap,,obs,10,400,1,0,0.4,0.400,0.4,291.3,23.0,23.0,2272.0
positive_plus_classifier_gap_unlabeled_demos,gmm_mode_positive_plus_classifier_gap_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,10000,10000,5000,3056.0,3056,40,score_gap,,obs_prev_action_time,10,400,1,0,0.1,0.100,0.1,396.9,19.0,19.0,1858.0
positive_plus_classifier_gap_unlabeled_demos,gmm_mode_positive_plus_classifier_gap_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,20000,20000,10000,3470.0,3470,40,score_gap,,obs,10,400,1,0,0.2,0.200,0.2,337.7,23.0,23.0,2272.0
positive_plus_classifier_gap_unlabeled_demos,gmm_mode_positive_plus_classifier_gap_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,10000,10000,10000,3056.0,3056,40,score_gap,,obs_prev_action_time,10,400,1,0,0.0,0.000,0.0,400.0,19.0,19.0,1858.0
positive_plus_classifier_gap_unlabeled_demos,gmm_mode_positive_plus_classifier_gap_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,20000,20000,20000,3470.0,3470,40,score_gap,,obs,10,400,1,0,0.1,0.100,0.1,368.3,23.0,23.0,2272.0
positive_plus_classifier_gap_unlabeled_demos,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_support_val_mode_mse_selected_full,results/robomimic_inspection/can_paired_low_dim/split_indices.json,20000,20000,2500,3470.0,3470,40,score_gap,support_val_mode_mse,obs,10,400,1,0,0.0,0.000,0.0,400.0,23.0,23.0,2272.0
positive_plus_classifier_gap_unlabeled_demos,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_supportnll_selected_full,results/robomimic_inspection/can_paired_low_dim/split_indices.json,20000,20000,2500,3470.0,3470,40,score_gap,,obs,10,400,1,0,0.0,0.000,0.0,400.0,23.0,23.0,2272.0
positive_plus_classifier_gap_unlabeled_demos,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_supportval_train,results/robomimic_inspection/can_paired_low_dim/split_indices.json,20000,20000,2500,3470.0,3470,40,score_gap,,obs,10,400,1,0,0.0,0.000,0.0,400.0,23.0,23.0,2272.0
positive_plus_classifier_gap_unlabeled_demos,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_supportval_train,results/robomimic_inspection/can_paired_low_dim/split_indices.json,20000,20000,2500,3470.0,3470,40,score_gap,support_val_mode_mse,obs,10,400,1,0,0.0,0.000,0.0,400.0,23.0,23.0,2272.0
positive_plus_classifier_gap_unlabeled_demos,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_supportval_train,results/robomimic_inspection/can_paired_low_dim/split_indices.json,20000,20000,5000,3470.0,3470,40,score_gap,,obs,10,400,1,0,0.1,0.100,0.1,370.2,23.0,23.0,2272.0
positive_plus_classifier_gap_unlabeled_demos,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_supportval_train,results/robomimic_inspection/can_paired_low_dim/split_indices.json,20000,20000,5000,3470.0,3470,40,score_gap,support_val_mode_mse,obs,10,400,1,0,0.1,0.100,0.1,370.2,23.0,23.0,2272.0
positive_plus_classifier_gap_unlabeled_demos,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_supportval_train,results/robomimic_inspection/can_paired_low_dim/split_indices.json,20000,20000,10000,3470.0,3470,40,score_gap,,obs,10,400,1,0,0.3,0.300,0.3,310.4,23.0,23.0,2272.0
positive_plus_classifier_gap_unlabeled_demos,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_supportval_train,results/robomimic_inspection/can_paired_low_dim/split_indices.json,20000,20000,10000,3470.0,3470,40,score_gap,support_val_mode_mse,obs,10,400,1,0,0.3,0.300,0.3,310.4,23.0,23.0,2272.0
positive_plus_classifier_gap_unlabeled_demos,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_supportval_train,results/robomimic_inspection/can_paired_low_dim/split_indices.json,20000,20000,20000,3470.0,3470,40,score_gap,,obs,10,400,1,0,0.0,0.000,0.0,400.0,23.0,23.0,2272.0
positive_plus_classifier_gap_unlabeled_demos,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_supportval_train,results/robomimic_inspection/can_paired_low_dim/split_indices.json,20000,20000,20000,3470.0,3470,40,score_gap,support_val_mode_mse,obs,10,400,1,0,0.0,0.000,0.0,400.0,23.0,23.0,2272.0
