setting_id,setting_label,row_role,candidate_id,candidate_family,split_count,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,total_hidden_positive,total_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,selected_contamination
can_coverage_shift,Can scarce-positive coverage shift,support_diagnostic,state_action_positive_nn_top20,positive-only,3,60,59,1,120,240,0.983,0.492,0.004,0.017
can_coverage_shift,Can scarce-positive coverage shift,support_diagnostic,state_action_positive_nn_top40,positive-only,3,120,105,15,120,240,0.875,0.875,0.062,0.125
can_coverage_shift,Can scarce-positive coverage shift,support_diagnostic,state_action_positive_nn_top60,positive-only,3,180,117,63,120,240,0.650,0.975,0.263,0.350
can_coverage_shift,Can scarce-positive coverage shift,support_diagnostic,state_action_positive_nn_top80,positive-only,3,240,120,120,120,240,0.500,1.000,0.500,0.500
can_coverage_shift,Can scarce-positive coverage shift,support_diagnostic,state_positive_nn_top20,positive-only,3,60,58,2,120,240,0.967,0.483,0.008,0.033
can_coverage_shift,Can scarce-positive coverage shift,support_diagnostic,state_positive_nn_top40,positive-only,3,120,105,15,120,240,0.875,0.875,0.062,0.125
can_coverage_shift,Can scarce-positive coverage shift,support_diagnostic,state_positive_nn_top60,positive-only,3,180,114,66,120,240,0.633,0.950,0.275,0.367
can_coverage_shift,Can scarce-positive coverage shift,support_diagnostic,state_positive_nn_top80,positive-only,3,240,120,120,120,240,0.500,1.000,0.500,0.500
can_coverage_shift,Can scarce-positive coverage shift,support_diagnostic,bad_aware_proxy_top20,bad-aware proxy,3,60,60,0,120,240,1.000,0.500,0.000,0.000
can_coverage_shift,Can scarce-positive coverage shift,support_diagnostic,bad_aware_proxy_top40,bad-aware proxy,3,120,120,0,120,240,1.000,1.000,0.000,0.000
can_coverage_shift,Can scarce-positive coverage shift,support_diagnostic,bad_aware_proxy_top60,bad-aware proxy,3,180,120,60,120,240,0.667,1.000,0.250,0.333
can_coverage_shift,Can scarce-positive coverage shift,support_diagnostic,bad_aware_proxy_top80,bad-aware proxy,3,240,120,120,120,240,0.500,1.000,0.500,0.500
can_coverage_shift,Can scarce-positive coverage shift,support_diagnostic,hybrid_intersection_pos40_badaware40,hybrid,3,105,105,0,120,240,1.000,0.875,0.000,0.000
can_coverage_shift,Can scarce-positive coverage shift,support_diagnostic,hybrid_pos20_filter_badaware80_refill40,hybrid,3,120,119,1,120,240,0.992,0.992,0.004,0.008
can_coverage_shift,Can scarce-positive coverage shift,support_diagnostic,hybrid_pos40_filter_badaware80,hybrid,3,119,105,14,120,240,0.882,0.875,0.058,0.118
can_coverage_shift,Can scarce-positive coverage shift,support_diagnostic,hybrid_pos40_filter_badaware80_refill40,hybrid,3,120,106,14,120,240,0.883,0.883,0.058,0.117
can_coverage_shift,Can scarce-positive coverage shift,support_diagnostic,hybrid_rank_fusion_badaware_heavy_top40,hybrid,3,120,118,2,120,240,0.983,0.983,0.008,0.017
can_coverage_shift,Can scarce-positive coverage shift,support_diagnostic,hybrid_rank_fusion_equal_top40,hybrid,3,120,117,3,120,240,0.975,0.975,0.013,0.025
can_coverage_shift,Can scarce-positive coverage shift,support_diagnostic,all_unlabeled_soft_reference,soft-reference,3,360,120,240,120,240,0.333,1.000,1.000,0.667
