candidate_id,candidate_family,splits,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,total_hidden_positive,total_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,selected_contamination
prefix_state_action_nn_top120,positive-only,3,360,132,228,240,240,0.367,0.550,0.950,0.633
prefix_state_action_nn_top20,positive-only,3,60,0,60,240,240,0.000,0.000,0.250,1.000
prefix_state_action_nn_top40,positive-only,3,120,0,120,240,240,0.000,0.000,0.500,1.000
prefix_state_action_nn_top80,positive-only,3,240,37,203,240,240,0.154,0.154,0.846,0.846
prefix_state_nn_top120,positive-only,3,360,132,228,240,240,0.367,0.550,0.950,0.633
prefix_state_nn_top20,positive-only,3,60,0,60,240,240,0.000,0.000,0.250,1.000
prefix_state_nn_top40,positive-only,3,120,0,120,240,240,0.000,0.000,0.500,1.000
prefix_state_nn_top80,positive-only,3,240,39,201,240,240,0.163,0.163,0.838,0.838
prefix_bad_aware_state_action_top120,bad-aware,3,360,236,124,240,240,0.656,0.983,0.517,0.344
prefix_bad_aware_state_action_top20,bad-aware,3,60,48,12,240,240,0.800,0.200,0.050,0.200
prefix_bad_aware_state_action_top40,bad-aware,3,120,101,19,240,240,0.842,0.421,0.079,0.158
prefix_bad_aware_state_action_top80,bad-aware,3,240,193,47,240,240,0.804,0.804,0.196,0.196
prefix_bad_aware_state_top120,bad-aware,3,360,236,124,240,240,0.656,0.983,0.517,0.344
prefix_bad_aware_state_top20,bad-aware,3,60,48,12,240,240,0.800,0.200,0.050,0.200
prefix_bad_aware_state_top40,bad-aware,3,120,101,19,240,240,0.842,0.421,0.079,0.158
prefix_bad_aware_state_top80,bad-aware,3,240,195,45,240,240,0.812,0.812,0.188,0.188
prefix_rank_fusion_badaware_heavy_top40,hybrid,3,120,76,44,240,240,0.633,0.317,0.183,0.367
prefix_rank_fusion_badaware_heavy_top80,hybrid,3,240,151,89,240,240,0.629,0.629,0.371,0.371
prefix_rank_fusion_equal_top40,hybrid,3,120,52,68,240,240,0.433,0.217,0.283,0.567
prefix_rank_fusion_equal_top80,hybrid,3,240,120,120,240,240,0.500,0.500,0.500,0.500
all_unlabeled_soft_reference,soft-reference,3,480,240,240,240,240,0.500,1.000,1.000,0.500
