n_neg,bad_frac,bc_all,pos_unlabeled_bc,local_weighted_bc,triage_gap_demo_bc,triage_gap_posterior_bc,oracle_good_bc,selected_frac,selected_demo_purity,selected_transition_purity,hidden_good_demos,hidden_bad_demos
1,0.50,0.460,0.453,0.187,1.000,1.000,1.000,0.031,1.000,1.000,5.6,0.0
1,0.75,0.360,0.333,0.180,1.000,1.000,1.000,0.049,1.000,1.000,8.8,0.0
1,0.90,0.240,0.140,0.000,1.000,1.000,1.000,0.080,1.000,1.000,14.4,0.0
1,0.95,0.153,0.080,0.320,1.000,1.000,0.800,0.057,1.000,1.000,10.2,0.0
2,0.50,0.487,0.440,0.200,1.000,1.000,1.000,0.039,1.000,1.000,7.0,0.0
2,0.75,0.353,0.287,0.147,1.000,1.000,1.000,0.037,1.000,1.000,6.6,0.0
2,0.90,0.220,0.220,0.000,0.973,1.000,1.000,0.089,1.000,1.000,16.0,0.0
2,0.95,0.147,0.113,0.000,0.993,0.600,1.000,0.057,1.000,1.000,10.2,0.0
5,0.50,0.400,0.467,0.200,1.000,1.000,1.000,0.034,1.000,1.000,6.2,0.0
5,0.75,0.340,0.293,0.200,1.000,1.000,1.000,0.062,1.000,1.000,11.2,0.0
5,0.90,0.240,0.147,0.000,1.000,1.000,1.000,0.089,1.000,1.000,16.0,0.0
5,0.95,0.100,0.113,0.140,1.000,0.573,1.000,0.057,1.000,1.000,10.2,0.0
