split_seed,support_rule,selected,hidden_positive,hidden_bad,purity,hidden_positive_recall,hidden_bad_admission,source
11,classifier_top10,10,8,2,0.800,0.200,0.025,classifier_score_precision_at_k
11,classifier_top20,20,15,5,0.750,0.375,0.062,classifier_score_precision_at_k
11,classifier_top40,40,27,13,0.675,0.675,0.163,classifier_score_precision_at_k
11,classifier_top60,60,37,23,0.617,0.925,0.287,classifier_score_precision_at_k
11,classifier_top80,80,40,40,0.500,1.000,0.500,classifier_score_precision_at_k
11,triage_adaptive_masscap,70,40,30,0.571,1.000,0.375,router_v2_adaptive_masscap
11,weighted_full_pool,120,40,80,0.333,1.000,1.000,weighted_bc_sampler
11,positive_only_nn_top40,40,36,4,0.900,0.900,0.050,positive_only_nearest_neighbor
22,classifier_top10,10,8,2,0.800,0.200,0.025,classifier_score_precision_at_k
22,classifier_top20,20,17,3,0.850,0.425,0.037,classifier_score_precision_at_k
22,classifier_top40,40,26,14,0.650,0.650,0.175,classifier_score_precision_at_k
22,classifier_top60,60,31,29,0.517,0.775,0.362,classifier_score_precision_at_k
22,classifier_top80,80,36,44,0.450,0.900,0.550,classifier_score_precision_at_k
22,triage_adaptive_masscap,73,36,37,0.493,0.900,0.463,router_v2_adaptive_masscap
22,weighted_full_pool,120,40,80,0.333,1.000,1.000,weighted_bc_sampler
22,positive_only_nn_top40,40,37,3,0.925,0.925,0.037,positive_only_nearest_neighbor
33,classifier_top10,10,10,0,1.000,0.250,0.000,classifier_score_precision_at_k
33,classifier_top20,20,19,1,0.950,0.475,0.013,classifier_score_precision_at_k
33,classifier_top40,40,32,8,0.800,0.800,0.100,classifier_score_precision_at_k
33,classifier_top60,60,40,20,0.667,1.000,0.250,classifier_score_precision_at_k
33,classifier_top80,80,40,40,0.500,1.000,0.500,classifier_score_precision_at_k
33,triage_adaptive_masscap,47,34,13,0.723,0.850,0.163,router_v2_adaptive_masscap
33,weighted_full_pool,120,40,80,0.333,1.000,1.000,weighted_bc_sampler
33,positive_only_nn_top40,40,33,7,0.825,0.825,0.087,positive_only_nearest_neighbor
