setting_id,setting_label,row_role,split_seed,candidate_id,candidate_family,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,total_hidden_positive,total_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,selected_contamination,selected_bad_hard_score_mean,selected_demo_ids,source
lift_hard_negative_action_conflict,Lift hard-negative/action-conflict,support_diagnostic,101,state_positive_nn_top20,positive-only,20,1,19,40,80,0.050,0.025,0.237,0.950,1.785,demo_1351;demo_1450;demo_1134;demo_1484;demo_234;demo_147;demo_229;demo_1056;demo_1486;demo_710;demo_40;demo_74;demo_193;demo_906;demo_1093;demo_1103;demo_973;demo_243;demo_145;demo_1064,results/final_paper/ablations/lift_hard_negative_action_conflict_splits/split101/split_indices.json
lift_hard_negative_action_conflict,Lift hard-negative/action-conflict,support_diagnostic,101,state_action_positive_nn_top20,positive-only,20,2,18,40,80,0.100,0.050,0.225,0.900,1.872,demo_1351;demo_1450;demo_1484;demo_1134;demo_1056;demo_234;demo_1486;demo_710;demo_906;demo_229;demo_1093;demo_1103;demo_147;demo_973;demo_40;demo_1064;demo_74;demo_925;demo_1037;demo_1142,results/final_paper/ablations/lift_hard_negative_action_conflict_splits/split101/split_indices.json
lift_hard_negative_action_conflict,Lift hard-negative/action-conflict,support_diagnostic,101,bad_aware_proxy_top20,bad-aware proxy,20,10,10,40,80,0.500,0.250,0.125,0.500,1.730,demo_1047;demo_1222;demo_1398;demo_1408;demo_1494;demo_949;demo_1439;demo_1275;demo_1147;demo_1484;demo_1450;demo_1016;demo_541;demo_948;demo_1486;demo_1272;demo_1318;demo_534;demo_1346;demo_1064,results/final_paper/ablations/lift_hard_negative_action_conflict_splits/split101/split_indices.json
lift_hard_negative_action_conflict,Lift hard-negative/action-conflict,support_diagnostic,101,state_positive_nn_top40,positive-only,40,4,36,40,80,0.100,0.100,0.450,0.900,1.828,demo_1351;demo_1450;demo_1134;demo_1484;demo_234;demo_147;demo_229;demo_1056;demo_1486;demo_710;demo_40;demo_74;demo_193;demo_906;demo_1093;demo_1103;demo_973;demo_243;demo_145;demo_1064;demo_1142;demo_114;demo_96;demo_647;demo_1037;demo_112;demo_925;demo_36;demo_170;demo_948;demo_902;demo_1128;demo_161;demo_288;demo_7;demo_166;demo_1001;demo_113;demo_140;demo_69,results/final_paper/ablations/lift_hard_negative_action_conflict_splits/split101/split_indices.json
lift_hard_negative_action_conflict,Lift hard-negative/action-conflict,support_diagnostic,101,state_action_positive_nn_top40,positive-only,40,7,33,40,80,0.175,0.175,0.412,0.825,1.788,demo_1351;demo_1450;demo_1484;demo_1134;demo_1056;demo_234;demo_1486;demo_710;demo_906;demo_229;demo_1093;demo_1103;demo_147;demo_973;demo_40;demo_1064;demo_74;demo_925;demo_1037;demo_1142;demo_193;demo_647;demo_243;demo_948;demo_1128;demo_145;demo_114;demo_96;demo_112;demo_902;demo_1044;demo_1294;demo_1001;demo_161;demo_7;demo_170;demo_1494;demo_36;demo_288;demo_1006,results/final_paper/ablations/lift_hard_negative_action_conflict_splits/split101/split_indices.json
lift_hard_negative_action_conflict,Lift hard-negative/action-conflict,support_diagnostic,101,bad_aware_proxy_top40,bad-aware proxy,40,21,19,40,80,0.525,0.525,0.237,0.475,1.765,demo_1047;demo_1222;demo_1398;demo_1408;demo_1494;demo_949;demo_1439;demo_1275;demo_1147;demo_1484;demo_1450;demo_1016;demo_541;demo_948;demo_1486;demo_1272;demo_1318;demo_534;demo_1346;demo_1064;demo_1006;demo_1002;demo_647;demo_1429;demo_1289;demo_1351;demo_902;demo_1029;demo_1093;demo_906;demo_1037;demo_1158;demo_1293;demo_1273;demo_903;demo_365;demo_972;demo_1055;demo_1180;demo_1211,results/final_paper/ablations/lift_hard_negative_action_conflict_splits/split101/split_indices.json
lift_hard_negative_action_conflict,Lift hard-negative/action-conflict,support_diagnostic,101,state_positive_nn_top60,positive-only,60,9,51,40,80,0.150,0.225,0.637,0.850,1.861,demo_1351;demo_1450;demo_1134;demo_1484;demo_234;demo_147;demo_229;demo_1056;demo_1486;demo_710;demo_40;demo_74;demo_193;demo_906;demo_1093;demo_1103;demo_973;demo_243;demo_145;demo_1064;demo_1142;demo_114;demo_96;demo_647;demo_1037;demo_112;demo_925;demo_36;demo_170;demo_948;demo_902;demo_1128;demo_161;demo_288;demo_7;demo_166;demo_1001;demo_113;demo_140;demo_69;demo_1044;demo_20;demo_1294;demo_276;demo_79;demo_1006;demo_57;demo_1171;demo_987;demo_246;demo_1180;demo_227;demo_249;demo_1494;demo_132;demo_264;demo_621;demo_1158;demo_239;demo_289,results/final_paper/ablations/lift_hard_negative_action_conflict_splits/split101/split_indices.json
lift_hard_negative_action_conflict,Lift hard-negative/action-conflict,support_diagnostic,101,state_action_positive_nn_top60,positive-only,60,10,50,40,80,0.167,0.250,0.625,0.833,1.867,demo_1351;demo_1450;demo_1484;demo_1134;demo_1056;demo_234;demo_1486;demo_710;demo_906;demo_229;demo_1093;demo_1103;demo_147;demo_973;demo_40;demo_1064;demo_74;demo_925;demo_1037;demo_1142;demo_193;demo_647;demo_243;demo_948;demo_1128;demo_145;demo_114;demo_96;demo_112;demo_902;demo_1044;demo_1294;demo_1001;demo_161;demo_7;demo_170;demo_1494;demo_36;demo_288;demo_1006;demo_987;demo_1171;demo_166;demo_113;demo_20;demo_140;demo_1429;demo_276;demo_69;demo_1158;demo_1180;demo_621;demo_57;demo_79;demo_1275;demo_246;demo_1002;demo_227;demo_264;demo_249,results/final_paper/ablations/lift_hard_negative_action_conflict_splits/split101/split_indices.json
lift_hard_negative_action_conflict,Lift hard-negative/action-conflict,support_diagnostic,101,bad_aware_proxy_top60,bad-aware proxy,60,35,25,40,80,0.583,0.875,0.312,0.417,1.782,demo_1047;demo_1222;demo_1398;demo_1408;demo_1494;demo_949;demo_1439;demo_1275;demo_1147;demo_1484;demo_1450;demo_1016;demo_541;demo_948;demo_1486;demo_1272;demo_1318;demo_534;demo_1346;demo_1064;demo_1006;demo_1002;demo_647;demo_1429;demo_1289;demo_1351;demo_902;demo_1029;demo_1093;demo_906;demo_1037;demo_1158;demo_1293;demo_1273;demo_903;demo_365;demo_972;demo_1055;demo_1180;demo_1211;demo_1175;demo_453;demo_1056;demo_621;demo_1022;demo_1166;demo_1128;demo_1044;demo_1314;demo_1140;demo_1085;demo_925;demo_1068;demo_983;demo_404;demo_1103;demo_44;demo_710;demo_1001;demo_1162,results/final_paper/ablations/lift_hard_negative_action_conflict_splits/split101/split_indices.json
lift_hard_negative_action_conflict,Lift hard-negative/action-conflict,support_diagnostic,101,state_positive_nn_top80,positive-only,80,12,68,40,80,0.150,0.300,0.850,0.850,1.833,demo_1351;demo_1450;demo_1134;demo_1484;demo_234;demo_147;demo_229;demo_1056;demo_1486;demo_710;demo_40;demo_74;demo_193;demo_906;demo_1093;demo_1103;demo_973;demo_243;demo_145;demo_1064;demo_1142;demo_114;demo_96;demo_647;demo_1037;demo_112;demo_925;demo_36;demo_170;demo_948;demo_902;demo_1128;demo_161;demo_288;demo_7;demo_166;demo_1001;demo_113;demo_140;demo_69;demo_1044;demo_20;demo_1294;demo_276;demo_79;demo_1006;demo_57;demo_1171;demo_987;demo_246;demo_1180;demo_227;demo_249;demo_1494;demo_132;demo_264;demo_621;demo_1158;demo_239;demo_289;demo_1002;demo_66;demo_61;demo_223;demo_1275;demo_1;demo_1429;demo_238;demo_1147;demo_164;demo_265;demo_126;demo_38;demo_523;demo_220;demo_379;demo_44;demo_290;demo_1408;demo_27,results/final_paper/ablations/lift_hard_negative_action_conflict_splits/split101/split_indices.json
