split_seed,split_path,label_cluster,positive_cluster_counts,negative_cluster_counts,labeled_positive_count,labeled_negative_count,unlabeled_positive_count,unlabeled_negative_count,valid_positive_count,valid_negative_count,labeled_negative_cluster_count,hidden_positive_cluster_count,unlabeled_negative_cluster_count,labeled_positive_shift_mean,hidden_positive_shift_mean,valid_positive_shift_mean,labeled_negative_shift_mean,unlabeled_negative_shift_mean,valid_negative_shift_mean
101,results/final_paper/ablations/can_coverage_shift_splits/split101/split_indices.json,1,0:24;1:34;2:29;3:13,0:24;1:34;2:29;3:13,10,10,40,80,10,10,4,3,4,1.522,4.526,3.495,2.033,3.254,5.275
202,results/final_paper/ablations/can_coverage_shift_splits/split202/split_indices.json,0,0:26;1:12;2:35;3:27,0:26;1:12;2:35;3:27,10,10,40,80,10,10,4,3,4,1.248,4.723,3.432,2.374,3.312,5.141
303,results/final_paper/ablations/can_coverage_shift_splits/split303/split_indices.json,1,0:25;1:25;2:23;3:27,0:25;1:25;2:23;3:27,10,10,40,80,10,10,4,3,4,1.726,4.846,3.821,2.753,3.748,5.266
