split_seed,candidate_id,candidate_tag,train_epochs,epoch_steps,train_demo_count,selected_unlabeled,selected_hidden_positive,selected_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,success_rate,success_count,eval_episodes,avg_len,checkpoint
303,hybrid_rank_fusion_badaware_heavy_top40,hrfbh40,200,100,50,40,39,1,0.975,0.975,0.013,0.72,36,50,190.54,/home/eston/tri-piql/results/final_paper/ablations/hard_negative_can_endpoint_200ep/split303/hrfbh40/train/hn_can_s303_hrfbh40_seed0_bc_rnn_e200/20260625030846/models/model_epoch_200.pth
303,state_action_positive_nn_top40,sapn40,200,100,50,40,32,8,0.800,0.800,0.100,0.68,34,50,198.12,/home/eston/tri-piql/results/final_paper/ablations/hard_negative_can_endpoint_200ep/split303/sapn40/train/hn_can_s303_sapn40_seed0_bc_rnn_e200/20260625030419/models/model_epoch_200.pth
