split_seed,candidate_id,candidate_tag,train_demo_count,selected_unlabeled,selected_hidden_positive,selected_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,config_path,train_output_dir,eval_output_dir,train_filter_key
606,positive_nn_risk_union_top40,positive_nn_risk_union_top40,58,48,38,10,0.792,0.950,0.125,results/sota_candidate/fresh606_v02_endpoint_200ep_can40/split606/positive_nn_risk_union_top40/setup/config.json,results/sota_candidate/fresh606_v02_endpoint_200ep_can40/split606/positive_nn_risk_union_top40/train,results/sota_candidate/fresh606_v02_endpoint_200ep_can40/split606/positive_nn_risk_union_top40/eval_smoke,sota_v02fresh_can40_s606_positive_nn_risk_union_top40_seed0_train
606,positive_nn_risk_fusion_top40,pnrf40,50,40,37,3,0.925,0.925,0.037,results/sota_candidate/fresh606_v02_endpoint_200ep_can40/split606/pnrf40/setup/config.json,results/sota_candidate/fresh606_v02_endpoint_200ep_can40/split606/pnrf40/train,results/sota_candidate/fresh606_v02_endpoint_200ep_can40/split606/pnrf40/eval_smoke,sota_v02fresh_can40_s606_pnrf40_seed0_train
