seed,masscap_10ep,weighted_10ep,gap_10ep,masscap_50ep,weighted_50ep,gap_50ep
0,0.8,0.5,0.30000000000000004,0.7,0.56,0.1399999999999999
1,0.6,0.6,0.0,0.62,0.5,0.12
2,0.8,0.6,0.20000000000000007,0.72,0.66,0.05999999999999994
