initial_demo_id,masscap_successes,masscap_episodes,masscap_rate,weighted_successes,weighted_episodes,weighted_rate,difference
demo_105,15,15,1.0,15,15,1.0,0.0
demo_189,13,15,0.8666666666666667,11,15,0.7333333333333333,0.13333333333333341
demo_29,7,15,0.4666666666666667,14,15,0.9333333333333333,-0.4666666666666667
demo_39,3,15,0.2,8,15,0.5333333333333333,-0.3333333333333333
demo_45,15,15,1.0,7,15,0.4666666666666667,0.5333333333333333
demo_5,1,15,0.06666666666666667,0,15,0.0,0.06666666666666667
demo_53,7,15,0.4666666666666667,0,15,0.0,0.4666666666666667
demo_81,14,15,0.9333333333333333,6,15,0.4,0.5333333333333333
demo_89,15,15,1.0,12,15,0.8,0.19999999999999996
demo_99,12,15,0.8,13,15,0.8666666666666667,-0.06666666666666665
