method,original_10ep_mean,success_50ep_mean_by_seed,success_50ep_std_by_seed,pooled_success_50ep,pooled_successes,pooled_episodes,approx_se,approx_ci95_low,approx_ci95_high
adaptive masscap,0.7333333333333334,0.68,0.043204937989385725,0.68,102,150,0.03808761828556186,0.6053482681602989,0.7546517318397012
weighted probability sampler,0.5666666666666668,0.5733333333333334,0.06599663291074445,0.5733333333333334,86,150,0.040383348236801946,0.49418197078920156,0.6524846958774652
