method,checkpoint_step,success_rate,avg_return,avg_len
window4_gmm_mode_positive_plus_classifier_gap_unlabeled_demos_step2500,2500,0.0,0.0,400.0
window4_gmm_mode_positive_plus_classifier_gap_unlabeled_demos_step5000,5000,0.0,0.0,400.0
window4_gmm_mode_positive_plus_classifier_gap_unlabeled_demos_step10000,10000,0.0,0.0,400.0
