seed,k,rule,selected_demo_count,selected_hidden_positive_demos,selected_hidden_bad_demos,selected_hidden_positive_purity,selected_score_min,selected_score_mean,selected_score_max
0,10,top_10,10,7,3,0.7,0.9059821367263794,0.9564481258392334,0.9985794425010681
0,15,top_15,15,11,4,0.7333333333333333,0.8663935661315918,0.9314025243123373,0.9985794425010681
0,20,top_20,20,16,4,0.8,0.8333576917648315,0.9101916760206222,0.9985794425010681
0,25,top_25,25,20,5,0.8,0.8073500990867615,0.8927222394943237,0.9985794425010681
0,30,top_30,30,23,7,0.7666666666666667,0.7867569923400879,0.8763773222764333,0.9985794425010681
0,35,top_35,35,25,10,0.7142857142857143,0.7297453880310059,0.8594220195497785,0.9985794425010681
0,40,top_40,40,29,11,0.725,0.7040678858757019,0.8415343791246415,0.9985794425010681
0,45,top_45,45,31,14,0.6888888888888889,0.6761137247085571,0.8249696930249532,0.9985794425010681
0,50,top_50,50,34,16,0.68,0.6675938367843628,0.8094880092144012,0.9985794425010681
0,60,top_60,60,43,17,0.7166666666666667,0.5887167453765869,0.7791214187939962,0.9985794425010681
0,80,top_80,80,53,27,0.6625,0.42144739627838135,0.7049016695469618,0.9985794425010681
1,10,top_10,10,7,3,0.7,0.9113072156906128,0.9585752189159393,0.9996739625930786
1,15,top_15,15,11,4,0.7333333333333333,0.8574217557907104,0.9334777633349101,0.9996739625930786
1,20,top_20,20,16,4,0.8,0.8474634885787964,0.9131508439779281,0.9996739625930786
1,25,top_25,25,20,5,0.8,0.8242657780647278,0.8972818112373352,0.9996739625930786
1,30,top_30,30,24,6,0.8,0.8095433712005615,0.8837297022342682,0.9996739625930786
1,35,top_35,35,26,9,0.7428571428571429,0.7663955688476562,0.869581161226545,0.9996739625930786
1,40,top_40,40,30,10,0.75,0.7336140871047974,0.8538896188139915,0.9996739625930786
1,45,top_45,45,33,12,0.7333333333333333,0.7029057741165161,0.8383811367882623,0.9996739625930786
1,50,top_50,50,37,13,0.74,0.676483154296875,0.8233265328407288,0.9996739625930786
1,60,top_60,60,43,17,0.7166666666666667,0.6021372079849243,0.7918551733096441,0.9996739625930786
1,80,top_80,80,54,26,0.675,0.4137521982192993,0.720758768543601,0.9996739625930786
2,10,top_10,10,7,3,0.7,0.9268543124198914,0.9631520330905914,0.9994714260101318
2,15,top_15,15,11,4,0.7333333333333333,0.8787132501602173,0.9395893613497416,0.9994714260101318
2,20,top_20,20,16,4,0.8,0.8639388084411621,0.921733096241951,0.9994714260101318
2,25,top_25,25,20,5,0.8,0.8528713583946228,0.9087502980232238,0.9994714260101318
2,30,top_30,30,25,5,0.8333333333333334,0.7985771894454956,0.8967801411946614,0.9994714260101318
2,35,top_35,35,29,6,0.8285714285714286,0.7781183123588562,0.8801863619259426,0.9994714260101318
2,40,top_40,40,30,10,0.75,0.744612455368042,0.8660686388611794,0.9994714260101318
2,45,top_45,45,34,11,0.7555555555555555,0.7115013003349304,0.85062645011478,0.9994714260101318
2,50,top_50,50,37,13,0.74,0.6964817643165588,0.8355596709251404,0.9994714260101318
2,60,top_60,60,43,17,0.7166666666666667,0.6312876343727112,0.8081984122594198,0.9994714260101318
2,80,top_80,80,55,25,0.6875,0.42124009132385254,0.7319734342396259,0.9994714260101318
