scope,selected_success,selected_episodes,selected_rate,selected_wilson95_low,selected_wilson95_high,best_baseline_success,best_baseline_episodes,best_baseline_rate,best_baseline_wilson95_low,best_baseline_wilson95_high,pooled_delta,paired_bootstrap_delta,paired_bootstrap95_low,paired_bootstrap95_high,split_mean_delta,split_std_delta,split_signs,split_sign_p_two_sided,split_units,initial_states_per_split,bootstrap_samples,note
Can 40p/80b,197,250,0.788,0.733,0.834,192,250,0.768,0.712,0.816,0.020,0.020,-0.144,0.168,0.020,0.154,+++-+,0.375,5,10/10/10/10/10,10000,paired bootstrap resamples split units and paired validation initial states; repeated rollouts per initial state are averaged first
Lift MG,143,250,0.572,0.510,0.632,146,250,0.584,0.522,0.643,-0.012,0.030,-0.083,0.140,0.030,0.105,+---+,1.000,5,30/30/30/30/30,10000,paired bootstrap resamples split units and paired validation initial states; repeated rollouts per initial state are averaged first
Combined Can+Lift,340,500,0.680,0.638,0.719,338,500,0.676,0.634,0.716,0.004,0.025,-0.074,0.120,0.025,0.125,+++-++---+,0.754,10,10/10/10/10/10/30/30/30/30/30,10000,paired bootstrap resamples split units and paired validation initial states; repeated rollouts per initial state are averaged first
