row_id,row_label,can40_fresh,lift_mg_fresh,hard_negative_can,coverage_shift_can,prefix_positive_can,can_mg_stress,counted_success,counted_oracle,counted_regret_to_oracle,abstentions,missing_or_na_cells,partial_cells,rate_only_cells
always_positive_only_nn,Always positive-only NN,174/250; regret 35,125/250; regret 29,91/150; regret 13,103/150; regret 17,6/150; regret 113,N/A not run,499/950,706/950,207,0,1,0,0
always_weighted_bc,Always weighted BC,158/250; regret 51,143/250; regret 11,N/A,N/A,N/A,0.333,301/500,363/500,62,0,3,0,1
always_hard_support,Always hard support,197/250; regret 12,143/250; regret 11,104/150,120/150,119/150,0.167; regret 0.166,683/950,706/950,23,0,0,0,1
v01_triage_bc,v0.1 TRIAGE-BC,171/250; regret 38,143/250; regret 11,N/A,N/A,N/A,N/A not run,314/500,363/500,49,0,4,0,0
v02_router,v0.2 router,197/250; regret 12,143/250; regret 11,N/A,N/A,N/A,abstain,340/500,363/500,23,1,3,0,0
oracle_branch_selector,Oracle branch selector,209/250,154/250,104/150,120/150,119/150,0.333,706/950,706/950,0,0,0,0,1
