setting_id,setting_label,row_role,split_count,candidate_id,candidate_branch,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,total_hidden_positive,total_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,selected_contamination,classifier_score_mean,audit_oracle_score
can40,Can 40p/80b,primary,3,positive_nn_risk_fusion_top40,risk_fusion_component,120,117,3,120,240,0.975,0.975,0.013,0.025,0.668,0.963
can40,Can 40p/80b,primary,3,positive_nn_risk_union_top40,hard_risk_union,138,119,19,120,240,0.862,0.992,0.079,0.138,0.651,0.913
can40,Can 40p/80b,primary,3,positive_nn_top40,positive_only_component,120,101,19,120,240,0.842,0.842,0.079,0.158,0.675,0.762
lift_mg,Lift MG,primary,3,weighted_bc,soft_weighted,4260,828,3432,828,3432,0.194,1.000,1.000,0.806,0.458,0.000
