setting_label,selected_method,selected_success,selected_episodes,selected_rate,best_baseline_success,best_baseline_episodes,best_baseline_rate,margin,winning_splits,tied_splits,losing_splits,best_baseline_methods
Can 40p/80b,positive_nn_risk_union_top40,129,150,0.860,113,150,0.753,+0.107,3,0,0,"weighted_bc,positive_only_nn,positive_only_nn"
Lift MG,weighted_bc,80,150,0.533,74,150,0.493,+0.040,2,0,1,"positive_only_nn,positive_only_nn,positive_only_nn"
