split_seed,method_id,method_role,endpoint_success,success_count,eval_episodes,avg_len,train_demo_count,selected_unlabeled,selected_hidden_positive,selected_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,checkpoint,metrics_path
101,positive_nn_risk_union_top40,v02_selected,0.900,45,50,136.9,59,49,40,9,0.816,1.000,0.113,/home/eston/tri-piql/results/final_paper_v02/ablations/v02_fresh_endpoint_200ep_can40/split101/positive_nn_risk_union_top40/train/v02fresh_can40_s101_positive_nn_risk_union_top40_seed0_bc_rnn_e200/20260625085744/models/model_epoch_200.pth,results/final_paper_v02/ablations/v02_fresh_endpoint_200ep_can40/split101/positive_nn_risk_union_top40/eval_50ep/metrics.csv
101,positive_only_nn,strong_baseline,0.380,19,50,297.3,50,40,,,,,,/home/eston/tri-piql/results/final_paper_v02/per_seed/can_paired_pos40_bad80_split101_positive_only_nn_policy0/train/can_paired_pos40_bad80_split101_positive_only_nn_policy0_official_bc_rnn/20260625090642/models/model_epoch_200.pth,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split101_positive_only_nn_policy0/eval/metrics.csv
101,weighted_bc,strong_baseline,0.740,37,50,186.2,130,120,,,,,,/home/eston/tri-piql/external/robomimic/robomimic/results/final_paper_v02/per_seed/can_paired_pos40_bad80_split101_weighted_bc_policy0/train_weighted_sampler/can_paired_pos40_bad80_split101_weighted_bc_policy0_official_bc_rnn_weighted_sampler/20260625091947/models/model_epoch_200.pth,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split101_weighted_bc_policy0/eval/metrics.csv
101,triage_bc,v01_method,0.560,28,50,236.0,56,46,,,,,,/home/eston/tri-piql/results/final_paper_v02/per_seed/can_paired_pos40_bad80_split101_triage_bc_policy0/train/can_paired_pos40_bad80_split101_triage_bc_policy0_official_bc_rnn/20260625204343/models/model_epoch_200.pth,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split101_triage_bc_policy0/eval/metrics.csv
202,positive_nn_risk_union_top40,v02_selected,0.900,45,50,143.0,54,44,39,5,0.886,0.975,0.062,/home/eston/tri-piql/results/final_paper_v02/ablations/v02_fresh_endpoint_200ep_can40/split202/positive_nn_risk_union_top40/train/v02fresh_can40_s202_positive_nn_risk_union_top40_seed0_bc_rnn_e200/20260625093210/models/model_epoch_200.pth,results/final_paper_v02/ablations/v02_fresh_endpoint_200ep_can40/split202/positive_nn_risk_union_top40/eval_50ep/metrics.csv
202,positive_only_nn,strong_baseline,0.800,40,50,188.3,50,40,,,,,,/home/eston/tri-piql/results/final_paper_v02/per_seed/can_paired_pos40_bad80_split202_positive_only_nn_policy0/train/can_paired_pos40_bad80_split202_positive_only_nn_policy0_official_bc_rnn/20260625093934/models/model_epoch_200.pth,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split202_positive_only_nn_policy0/eval/metrics.csv
202,weighted_bc,strong_baseline,0.660,33,50,211.7,130,120,,,,,,/home/eston/tri-piql/results/final_paper_v02/per_seed/can_paired_pos40_bad80_split202_weighted_bc_policy0/train_weighted_sampler/can_paired_pos40_bad80_split202_weighted_bc_policy0_official_bc_rnn_weighted_sampler/20260625094720/models/model_epoch_200.pth,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split202_weighted_bc_policy0/eval/metrics.csv
202,triage_bc,v01_method,0.720,36,50,190.9,54,44,,,,,,/home/eston/tri-piql/results/final_paper_v02/per_seed/can_paired_pos40_bad80_split202_triage_bc_policy0/train/can_paired_pos40_bad80_split202_triage_bc_policy0_official_bc_rnn/20260625211012/models/model_epoch_200.pth,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split202_triage_bc_policy0/eval/metrics.csv
303,positive_nn_risk_union_top40,v02_selected,0.780,39,50,168.6,55,45,40,5,0.889,1.000,0.062,/home/eston/tri-piql/results/final_paper_v02/ablations/v02_fresh_endpoint_200ep_can40/split303/positive_nn_risk_union_top40/train/v02fresh_can40_s303_positive_nn_risk_union_top40_seed0_bc_rnn_e200/20260625095823/models/model_epoch_200.pth,results/final_paper_v02/ablations/v02_fresh_endpoint_200ep_can40/split303/positive_nn_risk_union_top40/eval_50ep/metrics.csv
303,positive_only_nn,strong_baseline,0.720,36,50,192.5,50,40,,,,,,/home/eston/tri-piql/results/final_paper_v02/per_seed/can_paired_pos40_bad80_split303_positive_only_nn_policy0/train/can_paired_pos40_bad80_split303_positive_only_nn_policy0_official_bc_rnn/20260625100601/models/model_epoch_200.pth,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split303_positive_only_nn_policy0/eval/metrics.csv
303,weighted_bc,strong_baseline,0.500,25,50,257.8,130,120,,,,,,/home/eston/tri-piql/results/final_paper_v02/per_seed/can_paired_pos40_bad80_split303_weighted_bc_policy0/train_weighted_sampler/can_paired_pos40_bad80_split303_weighted_bc_policy0_official_bc_rnn_weighted_sampler/20260625101359/models/model_epoch_200.pth,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split303_weighted_bc_policy0/eval/metrics.csv
303,triage_bc,v01_method,0.700,35,50,192.9,50,40,,,,,,/home/eston/tri-piql/results/final_paper_v02/per_seed/can_paired_pos40_bad80_split303_triage_bc_policy0/train/can_paired_pos40_bad80_split303_triage_bc_policy0_official_bc_rnn/20260625212246/models/model_epoch_200.pth,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split303_triage_bc_policy0/eval/metrics.csv
404,positive_nn_risk_union_top40,v02_selected,0.540,27,50,248.4,54,44,39,5,0.886,0.975,0.062,/home/eston/tri-piql/results/final_paper_v02/ablations/v02_fresh_endpoint_200ep_can40/split404/positive_nn_risk_union_top40/train/v02fresh_can40_s404_positive_nn_risk_union_top40_seed0_bc_rnn_e200/20260625140247/models/model_epoch_200.pth,results/final_paper_v02/ablations/v02_fresh_endpoint_200ep_can40/split404/positive_nn_risk_union_top40/eval_50ep/metrics.csv
404,positive_only_nn,strong_baseline,0.780,39,50,169.3,50,40,,,,,,/home/eston/tri-piql/results/final_paper_v02/per_seed/can_paired_pos40_bad80_split404_positive_only_nn_policy0/train/can_paired_pos40_bad80_split404_positive_only_nn_policy0_official_bc_rnn/20260625141435/models/model_epoch_200.pth,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split404_positive_only_nn_policy0/eval/metrics.csv
404,weighted_bc,strong_baseline,0.660,33,50,208.9,130,120,,,,,,/home/eston/tri-piql/results/final_paper_v02/per_seed/can_paired_pos40_bad80_split404_weighted_bc_policy0/train/can_paired_pos40_bad80_split404_weighted_bc_policy0_official_bc_rnn/20260625143118/models/model_epoch_200.pth,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split404_weighted_bc_policy0/eval/metrics.csv
404,triage_bc,v01_method,0.720,36,50,190.8,69,59,,,,,,/home/eston/tri-piql/results/final_paper_v02/per_seed/can_paired_pos40_bad80_split404_triage_bc_policy0/train/can_paired_pos40_bad80_split404_triage_bc_policy0_official_bc_rnn/20260625213341/models/model_epoch_200.pth,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split404_triage_bc_policy0/eval/metrics.csv
404,bc_all_mixed,mixed_log_baseline,0.540,27,50,244.7,180,0,,,,,,/home/eston/tri-piql/results/final_paper_v02/per_seed/can_paired_pos40_bad80_split404_bc_all_mixed_policy0/train/can_paired_pos40_bad80_split404_bc_all_mixed_policy0_official_bc_rnn/20260626160501/models/model_epoch_200.pth,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split404_bc_all_mixed_policy0/eval/metrics.csv
404,all_train_positive_oracle,oracle_control,0.980,49,50,113.3,90,0,,,,,,/home/eston/tri-piql/results/final_paper_v02/per_seed/can_paired_pos40_bad80_split404_all_train_positive_oracle_policy0/train/can_paired_pos40_bad80_split404_all_train_positive_oracle_policy0_official_bc_rnn/20260626145155/models/model_epoch_200.pth,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split404_all_train_positive_oracle_policy0/eval/metrics.csv
505,positive_nn_risk_union_top40,v02_selected,0.820,41,50,158.8,54,44,40,4,0.909,1.000,0.050,/home/eston/tri-piql/results/final_paper_v02/ablations/v02_fresh_endpoint_200ep_can40/split505/positive_nn_risk_union_top40/train/v02fresh_can40_s505_positive_nn_risk_union_top40_seed0_bc_rnn_e200/20260625144046/models/model_epoch_200.pth,results/final_paper_v02/ablations/v02_fresh_endpoint_200ep_can40/split505/positive_nn_risk_union_top40/eval_50ep/metrics.csv
505,positive_only_nn,strong_baseline,0.800,40,50,167.6,50,40,,,,,,/home/eston/tri-piql/results/final_paper_v02/per_seed/can_paired_pos40_bad80_split505_positive_only_nn_policy0/train/can_paired_pos40_bad80_split505_positive_only_nn_policy0_official_bc_rnn/20260625144918/models/model_epoch_200.pth,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split505_positive_only_nn_policy0/eval/metrics.csv
505,weighted_bc,strong_baseline,0.600,30,50,225.9,130,120,,,,,,/home/eston/tri-piql/results/final_paper_v02/per_seed/can_paired_pos40_bad80_split505_weighted_bc_policy0/train/can_paired_pos40_bad80_split505_weighted_bc_policy0_official_bc_rnn/20260625145704/models/model_epoch_200.pth,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split505_weighted_bc_policy0/eval/metrics.csv
505,triage_bc,v01_method,0.720,36,50,185.8,55,45,,,,,,/home/eston/tri-piql/results/final_paper_v02/per_seed/can_paired_pos40_bad80_split505_triage_bc_policy0/train/can_paired_pos40_bad80_split505_triage_bc_policy0_official_bc_rnn/20260625214146/models/model_epoch_200.pth,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split505_triage_bc_policy0/eval/metrics.csv
