config_id,config_label,prefix_fraction,prefix_min_steps,prefix_max_steps,candidate_id,candidate_family,splits,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,total_hidden_positive,total_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,selected_contamination,delta_recall_vs_prefix_state_action_nn_top80,delta_bad_admission_vs_prefix_state_action_nn_top80,clears_prefix_state_action_nn_top80,source_splits
short_prefix,short prefixes,0.100,4,15,prefix_state_action_nn_top80,positive-only,3,240,61,179,240,240,0.254,0.254,0.746,0.746,0.000,0.000,false,results/final_paper/ablations/can_prefix_length_robustness_splits/short_prefix/split*
short_prefix,short prefixes,0.100,4,15,prefix_bad_aware_state_action_top80,bad-aware,3,240,158,82,240,240,0.658,0.658,0.342,0.342,0.404,-0.404,true,results/final_paper/ablations/can_prefix_length_robustness_splits/short_prefix/split*
short_prefix,short prefixes,0.100,4,15,prefix_bad_aware_state_top80,bad-aware,3,240,157,83,240,240,0.654,0.654,0.346,0.346,0.400,-0.400,true,results/final_paper/ablations/can_prefix_length_robustness_splits/short_prefix/split*
short_prefix,short prefixes,0.100,4,15,prefix_rank_fusion_badaware_heavy_top80,hybrid,3,240,132,108,240,240,0.550,0.550,0.450,0.450,0.296,-0.296,true,results/final_paper/ablations/can_prefix_length_robustness_splits/short_prefix/split*
short_prefix,short prefixes,0.100,4,15,all_unlabeled_soft_reference,soft-reference,3,480,240,240,240,240,0.500,1.000,1.000,0.500,0.746,0.254,false,results/final_paper/ablations/can_prefix_length_robustness_splits/short_prefix/split*
default_prefix,default prefixes,0.200,8,30,prefix_state_action_nn_top80,positive-only,3,240,37,203,240,240,0.154,0.154,0.846,0.846,0.000,0.000,false,results/final_paper/ablations/can_prefix_length_robustness_splits/default_prefix/split*
default_prefix,default prefixes,0.200,8,30,prefix_bad_aware_state_action_top80,bad-aware,3,240,193,47,240,240,0.804,0.804,0.196,0.196,0.650,-0.650,true,results/final_paper/ablations/can_prefix_length_robustness_splits/default_prefix/split*
default_prefix,default prefixes,0.200,8,30,prefix_bad_aware_state_top80,bad-aware,3,240,195,45,240,240,0.812,0.812,0.188,0.188,0.658,-0.658,true,results/final_paper/ablations/can_prefix_length_robustness_splits/default_prefix/split*
default_prefix,default prefixes,0.200,8,30,prefix_rank_fusion_badaware_heavy_top80,hybrid,3,240,151,89,240,240,0.629,0.629,0.371,0.371,0.475,-0.475,true,results/final_paper/ablations/can_prefix_length_robustness_splits/default_prefix/split*
default_prefix,default prefixes,0.200,8,30,all_unlabeled_soft_reference,soft-reference,3,480,240,240,240,240,0.500,1.000,1.000,0.500,0.846,0.154,false,results/final_paper/ablations/can_prefix_length_robustness_splits/default_prefix/split*
long_prefix,long prefixes,0.400,16,60,prefix_state_action_nn_top80,positive-only,3,240,22,218,240,240,0.092,0.092,0.908,0.908,0.000,0.000,false,results/final_paper/ablations/can_prefix_length_robustness_splits/long_prefix/split*
long_prefix,long prefixes,0.400,16,60,prefix_bad_aware_state_action_top80,bad-aware,3,240,198,42,240,240,0.825,0.825,0.175,0.175,0.733,-0.733,true,results/final_paper/ablations/can_prefix_length_robustness_splits/long_prefix/split*
long_prefix,long prefixes,0.400,16,60,prefix_bad_aware_state_top80,bad-aware,3,240,199,41,240,240,0.829,0.829,0.171,0.171,0.737,-0.737,true,results/final_paper/ablations/can_prefix_length_robustness_splits/long_prefix/split*
long_prefix,long prefixes,0.400,16,60,prefix_rank_fusion_badaware_heavy_top80,hybrid,3,240,154,86,240,240,0.642,0.642,0.358,0.358,0.550,-0.550,true,results/final_paper/ablations/can_prefix_length_robustness_splits/long_prefix/split*
long_prefix,long prefixes,0.400,16,60,all_unlabeled_soft_reference,soft-reference,3,480,240,240,240,240,0.500,1.000,1.000,0.500,0.908,0.092,false,results/final_paper/ablations/can_prefix_length_robustness_splits/long_prefix/split*
