setting_label,analysis,split,router_decision,assignment_status,observed_mode,estimated_positive_mass,count_ge_pos_min,pos_min_audit_purity,adaptive_masscap_audit_purity,best_forced_branch,best_forced_success_20k,worst_forced_branch,worst_forced_success_20k,forced_branch_spread_20k,proxy_matches_rollout_best_method,proxy_matches_best_success,hidden_label_free_reason,abstention_justified
Can MG original,can_mg_sparse,can_mg_original,stress_abstain,abstained,soft,1947.9,1025.7,0.475,0.511,weighted,0.333,alltrain,0.100,0.233,0/6,0/6,large calibrated mass and large pos-min pool indicate ambiguous MG-style coverage/contamination,yes_proxy_miss_and_low_ceiling
Can MG shuffle42,can_mg_sparse_shuffle42,can_mg_shuffle42,stress_abstain,abstained,fragile,1466.3,515.7,0.651,0.718,hard_posmin=soft_weighted,0.100,hard_posmin=soft_weighted,0.100,0.000,5/6,6/6,large calibrated mass and large pos-min pool indicate ambiguous MG-style coverage/contamination,yes_all_forced_branches_weak
