task,evidence_status,split_scope,method,success_rate,successes,episodes,train_or_support_count,support_positive,support_bad,support_purity,source,note
Can 40p/80b,primary_frozen_3split,"split seeds 11/22/33, pooled",all-demo BC,0.540,81,150,,,,,results/final_paper/tables/can_paired_pos40_bad80_final_endpoint_summary_REPORT.md,pooled all-demo cloning control
Can 40p/80b,primary_frozen_3split,"split seeds 11/22/33, pooled",weighted BC,0.600,90,150,360,120,240,0.333,results/final_paper/tables/can_paired_pos40_bad80_final_endpoint_summary_REPORT.md,full unlabeled pool with classifier-probability sampling
Can 40p/80b,primary_frozen_3split,"split seeds 11/22/33, pooled",positive-only NN,0.720,108,150,120,106,14,0.883,results/final_paper/tables/can_paired_pos40_bad80_final_endpoint_summary_REPORT.md,strong no-bad-label baseline
Can 40p/80b,primary_frozen_3split,"split seeds 11/22/33, pooled",TRIAGE-BC,0.660,99,150,190,110,80,0.579,results/final_paper/tables/can_paired_pos40_bad80_final_endpoint_summary_REPORT.md,router-v2 adaptive masscap
Can 40p/80b,primary_frozen_3split_diagnostic_oracle,"split seeds 11/22/33, pooled",all-positive oracle,0.980,147,150,270,,,1.000,results/final_paper/tables/can_paired_pos40_bad80_final_endpoint_summary_REPORT.md,diagnostic upper bound; uses hidden labels
Lift MG,primary_frozen_3split,"split seeds 11/22/33, pooled",all-demo BC,0.207,31,150,,,,,results/final_paper/tables/lift_mg_mg_sparse_final_endpoint_summary_REPORT.md,pooled all-demo cloning control
Lift MG,primary_frozen_3split,"split seeds 11/22/33, pooled",weighted BC,0.620,93,150,4260,828,3432,0.194,results/final_paper/tables/lift_mg_mg_sparse_final_endpoint_summary_REPORT.md,full MG pool with classifier-probability sampling
Lift MG,primary_frozen_3split,"split seeds 11/22/33, pooled",positive-only NN,0.547,82,150,480,342,138,0.713,results/final_paper/tables/lift_mg_mg_sparse_final_endpoint_summary_REPORT.md,strong no-bad-label baseline
Lift MG,primary_frozen_3split,"split seeds 11/22/33, pooled",TRIAGE-BC,0.493,74,150,441,421,20,0.955,results/final_paper/tables/lift_mg_mg_sparse_final_endpoint_summary_REPORT.md,router-v2 pos-min branch
Lift MG,primary_frozen_3split_diagnostic_oracle,"split seeds 11/22/33, pooled",all-positive oracle,0.700,105,150,,,,,results/final_paper/tables/lift_mg_mg_sparse_final_endpoint_summary_REPORT.md,diagnostic upper bound; uses hidden labels
