method_id,family,valid_initial_demo_id,initial_success_rate,nearest_any_demo_id,nearest_any_label,nearest_any_distance,nearest_positive_demo_id,nearest_positive_distance,nearest_bad_demo_id,nearest_bad_distance,bad_minus_positive_distance,transition_nn_any_mean,transition_nn_positive_mean,transition_nn_bad_mean
all_train_positive_oracle,oracle_or_control,demo_5,1.000,demo_199,positive,2.513,demo_199,2.513,,inf,inf,2.348,2.348,inf
all_train_positive_oracle,oracle_or_control,demo_29,0.800,demo_137,positive,2.987,demo_137,2.987,,inf,inf,3.000,3.000,inf
all_train_positive_oracle,oracle_or_control,demo_39,1.000,demo_109,positive,3.798,demo_109,3.798,,inf,inf,2.709,2.709,inf
all_train_positive_oracle,oracle_or_control,demo_45,1.000,demo_23,positive,2.363,demo_23,2.363,,inf,inf,2.088,2.088,inf
all_train_positive_oracle,oracle_or_control,demo_53,1.000,demo_123,positive,2.323,demo_123,2.323,,inf,inf,2.077,2.077,inf
all_train_positive_oracle,oracle_or_control,demo_81,1.000,demo_23,positive,1.969,demo_23,1.969,,inf,inf,2.461,2.461,inf
all_train_positive_oracle,oracle_or_control,demo_89,1.000,demo_1,positive,3.330,demo_1,3.330,,inf,inf,1.909,1.909,inf
all_train_positive_oracle,oracle_or_control,demo_99,1.000,demo_131,positive,1.904,demo_131,1.904,,inf,inf,2.483,2.483,inf
all_train_positive_oracle,oracle_or_control,demo_105,1.000,demo_101,positive,1.414,demo_101,1.414,,inf,inf,2.437,2.437,inf
all_train_positive_oracle,oracle_or_control,demo_189,1.000,demo_125,positive,1.908,demo_125,1.908,,inf,inf,2.357,2.357,inf
bad_neighbor_safe_top40,action_risk,demo_5,0.400,demo_93,positive,2.988,demo_93,2.988,,inf,inf,2.782,2.782,inf
bad_neighbor_safe_top40,action_risk,demo_29,1.000,demo_137,positive,2.987,demo_137,2.987,,inf,inf,3.049,3.049,inf
bad_neighbor_safe_top40,action_risk,demo_39,0.400,demo_113,positive,3.919,demo_113,3.919,,inf,inf,2.925,2.925,inf
bad_neighbor_safe_top40,action_risk,demo_45,1.000,demo_171,positive,2.554,demo_171,2.554,,inf,inf,2.362,2.362,inf
bad_neighbor_safe_top40,action_risk,demo_53,1.000,demo_123,positive,2.323,demo_123,2.323,,inf,inf,2.137,2.137,inf
bad_neighbor_safe_top40,action_risk,demo_81,1.000,demo_171,positive,2.127,demo_171,2.127,,inf,inf,2.713,2.713,inf
bad_neighbor_safe_top40,action_risk,demo_89,0.400,demo_1,positive,3.330,demo_1,3.330,,inf,inf,1.909,1.909,inf
bad_neighbor_safe_top40,action_risk,demo_99,1.000,demo_131,positive,1.904,demo_131,1.904,,inf,inf,2.724,2.724,inf
bad_neighbor_safe_top40,action_risk,demo_105,1.000,demo_101,positive,1.414,demo_101,1.414,,inf,inf,2.438,2.438,inf
bad_neighbor_safe_top40,action_risk,demo_189,0.000,demo_35,positive,2.317,demo_35,2.317,,inf,inf,2.879,2.879,inf
bc_all_mixed,oracle_or_control,demo_5,0.000,demo_198,bad,2.513,demo_199,2.513,demo_198,2.513,0.000,2.346,2.348,5.292
bc_all_mixed,oracle_or_control,demo_29,0.000,demo_136,bad,2.987,demo_137,2.987,demo_136,2.987,0.000,2.821,3.000,5.316
bc_all_mixed,oracle_or_control,demo_39,1.000,demo_108,bad,3.798,demo_109,3.798,demo_108,3.798,0.000,2.648,2.709,6.352
bc_all_mixed,oracle_or_control,demo_45,0.200,demo_22,bad,2.363,demo_23,2.363,demo_22,2.363,0.000,1.982,2.088,5.528
bc_all_mixed,oracle_or_control,demo_53,1.000,demo_122,bad,2.323,demo_123,2.323,demo_122,2.323,0.000,2.075,2.077,5.588
bc_all_mixed,oracle_or_control,demo_81,1.000,demo_23,positive,1.969,demo_23,1.969,demo_22,1.969,0.000,2.420,2.461,5.783
bc_all_mixed,oracle_or_control,demo_89,0.600,demo_0,bad,3.330,demo_1,3.330,demo_0,3.330,0.000,1.855,1.909,4.862
bc_all_mixed,oracle_or_control,demo_99,0.200,demo_130,bad,1.904,demo_131,1.904,demo_130,1.904,0.000,2.444,2.483,5.698
bc_all_mixed,oracle_or_control,demo_105,0.000,demo_100,bad,1.414,demo_101,1.414,demo_100,1.414,0.000,2.431,2.437,6.054
bc_all_mixed,oracle_or_control,demo_189,1.000,demo_124,bad,1.908,demo_125,1.908,demo_124,1.908,0.000,2.302,2.357,5.337
positive_nn_risk_fusion_top40,positive_only,demo_5,0.200,demo_93,positive,2.988,demo_93,2.988,demo_106,5.179,2.191,2.780,2.782,6.617
positive_nn_risk_fusion_top40,positive_only,demo_29,1.000,demo_137,positive,2.987,demo_137,2.987,demo_106,6.954,3.967,3.049,3.049,8.168
positive_nn_risk_fusion_top40,positive_only,demo_39,1.000,demo_113,positive,3.919,demo_113,3.919,demo_106,5.417,1.499,2.925,2.925,9.203
positive_nn_risk_fusion_top40,positive_only,demo_45,0.000,demo_123,positive,2.665,demo_123,2.665,demo_106,5.338,2.674,2.461,2.485,6.948
positive_nn_risk_fusion_top40,positive_only,demo_53,1.000,demo_123,positive,2.323,demo_123,2.323,demo_106,5.712,3.389,2.137,2.137,7.966
positive_nn_risk_fusion_top40,positive_only,demo_81,1.000,demo_153,positive,2.226,demo_153,2.226,demo_106,4.989,2.763,2.713,2.713,8.234
positive_nn_risk_fusion_top40,positive_only,demo_89,1.000,demo_1,positive,3.330,demo_1,3.330,demo_106,3.936,0.606,1.909,1.909,6.276
positive_nn_risk_fusion_top40,positive_only,demo_99,1.000,demo_131,positive,1.904,demo_131,1.904,demo_106,5.175,3.271,2.724,2.724,8.880
positive_nn_risk_fusion_top40,positive_only,demo_105,1.000,demo_101,positive,1.414,demo_101,1.414,demo_106,5.041,3.627,2.438,2.438,7.914
positive_nn_risk_fusion_top40,positive_only,demo_189,1.000,demo_35,positive,2.317,demo_35,2.317,demo_106,4.439,2.122,2.822,2.879,6.458
positive_only_nn,positive_only,demo_5,1.000,demo_93,positive,2.988,demo_93,2.988,demo_54,3.251,0.263,2.782,2.782,6.845
positive_only_nn,positive_only,demo_29,0.600,demo_137,positive,2.987,demo_137,2.987,demo_142,3.768,0.781,3.049,3.049,6.880
positive_only_nn,positive_only,demo_39,1.000,demo_93,positive,4.116,demo_93,4.116,demo_184,4.421,0.305,2.975,2.975,8.779
positive_only_nn,positive_only,demo_45,1.000,demo_171,positive,2.554,demo_171,2.554,demo_142,3.246,0.692,2.362,2.362,6.924
positive_only_nn,positive_only,demo_53,1.000,demo_123,positive,2.323,demo_123,2.323,demo_70,4.470,2.148,2.137,2.137,7.859
positive_only_nn,positive_only,demo_81,1.000,demo_171,positive,2.127,demo_171,2.127,demo_70,3.411,1.285,2.713,2.713,7.600
positive_only_nn,positive_only,demo_89,1.000,demo_1,positive,3.330,demo_1,3.330,demo_70,3.538,0.208,1.909,1.909,6.033
positive_only_nn,positive_only,demo_99,1.000,demo_131,positive,1.904,demo_131,1.904,demo_142,3.772,1.868,2.724,2.724,8.500
positive_only_nn,positive_only,demo_105,0.400,demo_101,positive,1.414,demo_101,1.414,demo_142,4.749,3.335,2.438,2.438,8.316
positive_only_nn,positive_only,demo_189,0.400,demo_35,positive,2.317,demo_35,2.317,demo_184,2.807,0.489,2.820,2.879,6.231
triage_bc,triage_v01,demo_5,0.200,demo_124,bad,2.763,demo_93,2.988,demo_124,2.763,-0.225,2.685,2.782,5.408
triage_bc,triage_v01,demo_29,1.000,demo_137,positive,2.987,demo_137,2.987,demo_64,3.641,0.654,3.042,3.049,6.456
triage_bc,triage_v01,demo_39,0.000,demo_108,bad,3.798,demo_113,3.919,demo_108,3.798,-0.121,2.891,2.925,6.629
triage_bc,triage_v01,demo_45,1.000,demo_171,positive,2.554,demo_171,2.554,demo_34,3.000,0.446,2.342,2.362,6.113
triage_bc,triage_v01,demo_53,0.800,demo_123,positive,2.323,demo_123,2.323,demo_34,2.977,0.654,2.135,2.137,5.764
