method_id,family,endpoint_success,train_demo_count,train_positive_count,train_bad_count,valid_nn_any_mean,valid_nn_positive_mean,valid_nn_positive_p90,valid_nn_positive_max,valid_nn_bad_mean,valid_transition_nn_any_mean,valid_transition_nn_positive_mean,valid_transition_nn_positive_p90,valid_transition_nn_positive_max,valid_transition_nn_bad_mean,valid_bad_closer_count,valid_nearest_any_bad_count,valid_bad_minus_positive_mean,per_initial_success_mean,success_vs_positive_distance_corr,success_vs_transition_positive_distance_corr,metrics_path,episode_metrics_path,source_path
all_train_positive_oracle,oracle_or_control,0.980,90,90,0,2.451,2.451,3.377,3.798,nan,2.387,2.387,2.738,3.000,nan,0,0,nan,0.980,-0.258,-0.676,results/final_paper/per_seed/can_paired_pos40_bad80_split11_all_train_positive_oracle_policy0/eval/metrics.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split11_all_train_positive_oracle_policy0/eval/episode_metrics.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split11_all_train_positive_oracle_policy0/setup/diagnostics.json
bad_neighbor_safe_top40,action_risk,0.720,50,50,0,2.586,2.586,3.389,3.919,nan,2.592,2.592,2.937,3.049,nan,0,0,nan,0.720,-0.486,-0.152,results/final_paper/ablations/v02_action_risk_endpoint_200ep_can40/split11/bns40/eval/metrics.csv,results/final_paper/ablations/v02_action_risk_endpoint_200ep_can40/split11/bns40/eval/episode_metrics.csv,results/final_paper/ablations/v02_action_risk_endpoint_200ep_can40/split11/bns40/setup/diagnostics.json
bc_all_mixed,oracle_or_control,0.500,180,90,90,2.451,2.451,3.377,3.798,2.451,2.332,2.387,2.738,3.000,5.581,0,9,0.000,0.500,0.195,-0.203,results/final_paper/per_seed/can_paired_pos40_bad80_split11_bc_all_mixed_policy0/eval/metrics.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split11_bc_all_mixed_policy0/eval/episode_metrics.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split11_bc_all_mixed_policy0/setup/diagnostics.json
positive_nn_risk_fusion_top40,positive_only,0.820,50,49,1,2.607,2.607,3.389,3.919,5.218,2.596,2.604,2.937,3.049,7.666,0,0,2.611,0.820,-0.145,-0.018,results/final_paper/ablations/v02_action_risk_endpoint_200ep_can40/split11/pnrf40/eval/metrics.csv,results/final_paper/ablations/v02_action_risk_endpoint_200ep_can40/split11/pnrf40/eval/episode_metrics.csv,results/final_paper/ablations/v02_action_risk_endpoint_200ep_can40/split11/pnrf40/setup/diagnostics.json
positive_only_nn,positive_only,0.840,50,46,4,2.606,2.606,3.409,4.116,3.743,2.591,2.597,2.983,3.049,7.397,0,0,1.137,0.840,0.401,-0.287,results/final_paper/per_seed/can_paired_pos40_bad80_split11_positive_only_nn_policy0/eval/metrics.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split11_positive_only_nn_policy0/eval/episode_metrics.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split11_positive_only_nn_policy0/setup/diagnostics.json
triage_bc,triage_v01,0.760,80,50,30,2.511,2.586,3.389,3.919,2.979,2.555,2.592,2.937,3.049,6.070,3,3,0.393,0.760,-0.573,-0.357,results/final_paper/per_seed/can_paired_pos40_bad80_split11_triage_bc_policy0/eval/metrics.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split11_triage_bc_policy0/eval/episode_metrics.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split11_triage_bc_policy0/setup/diagnostics.json
weighted_bc,weighted,0.720,130,50,80,2.451,2.586,3.389,3.919,2.457,2.485,2.592,2.937,3.049,5.627,5,9,-0.130,0.720,-0.493,-0.291,results/final_paper/per_seed/can_paired_pos40_bad80_split11_weighted_bc_policy0/eval/metrics.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split11_weighted_bc_policy0/eval/episode_metrics.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split11_weighted_bc_policy0/setup/diagnostics.json
