setting_id,setting_label,row_role,candidate_id,candidate_family,split_count,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,total_hidden_positive,total_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,selected_contamination
can80,Can 80p/80b,diagnostic,positive_nn_top160,positive-only,3,480,240,240,240,240,0.500,1.000,1.000,0.500
can80,Can 80p/80b,diagnostic,positive_nn_top40,positive-only,3,120,120,0,240,240,1.000,0.500,0.000,0.000
can80,Can 80p/80b,diagnostic,positive_nn_top80,positive-only,3,240,220,20,240,240,0.917,0.917,0.083,0.083
can80,Can 80p/80b,diagnostic,classifier_top120,bad-aware hard,3,360,235,125,240,240,0.653,0.979,0.521,0.347
can80,Can 80p/80b,diagnostic,classifier_top160,bad-aware hard,3,480,240,240,240,240,0.500,1.000,1.000,0.500
can80,Can 80p/80b,diagnostic,classifier_top40,bad-aware hard,3,120,110,10,240,240,0.917,0.458,0.042,0.083
can80,Can 80p/80b,diagnostic,classifier_top80,bad-aware hard,3,240,190,50,240,240,0.792,0.792,0.208,0.208
can80,Can 80p/80b,diagnostic,triage_existing,bad-aware hard,3,165,137,28,240,240,0.830,0.571,0.117,0.170
can80,Can 80p/80b,diagnostic,hybrid_filter_mid_mean_fill_classifier_to80,hybrid,3,240,212,28,240,240,0.883,0.883,0.117,0.117
can80,Can 80p/80b,diagnostic,hybrid_filter_mid_mean_pos80,hybrid,3,202,200,2,240,240,0.990,0.833,0.008,0.010
can80,Can 80p/80b,diagnostic,hybrid_filter_mid_minpos_maxneg_fill_classifier_to80,hybrid,3,240,212,28,240,240,0.883,0.883,0.117,0.117
can80,Can 80p/80b,diagnostic,hybrid_filter_mid_minpos_maxneg_pos80,hybrid,3,197,196,1,240,240,0.995,0.817,0.004,0.005
can80,Can 80p/80b,diagnostic,hybrid_filter_pos_min_fill_classifier_to80,hybrid,3,240,190,50,240,240,0.792,0.792,0.208,0.208
can80,Can 80p/80b,diagnostic,hybrid_filter_pos_min_pos80,hybrid,3,68,68,0,240,240,1.000,0.283,0.000,0.000
can80,Can 80p/80b,diagnostic,hybrid_filter_pos_p10_fill_classifier_to80,hybrid,3,240,190,50,240,240,0.792,0.792,0.208,0.208
can80,Can 80p/80b,diagnostic,hybrid_filter_pos_p10_pos80,hybrid,3,58,58,0,240,240,1.000,0.242,0.000,0.000
can80,Can 80p/80b,diagnostic,hybrid_intersection_pos80_classifier160,hybrid,3,240,220,20,240,240,0.917,0.917,0.083,0.083
can80,Can 80p/80b,diagnostic,hybrid_intersection_pos80_classifier80,hybrid,3,182,179,3,240,240,0.984,0.746,0.013,0.016
can80,Can 80p/80b,diagnostic,hybrid_pareto_top80,hybrid,3,240,219,21,240,240,0.912,0.912,0.087,0.087
can80,Can 80p/80b,diagnostic,hybrid_rank_fusion_classifier_heavy_top80,hybrid,3,240,211,29,240,240,0.879,0.879,0.121,0.121
can80,Can 80p/80b,diagnostic,hybrid_rank_fusion_equal_top80,hybrid,3,240,219,21,240,240,0.912,0.912,0.087,0.087
can80,Can 80p/80b,diagnostic,hybrid_union_pos80_classifier40,hybrid,3,255,225,30,240,240,0.882,0.938,0.125,0.118
can80,Can 80p/80b,diagnostic,hybrid_union_pos80_triage,hybrid,3,274,226,48,240,240,0.825,0.942,0.200,0.175
lift_mg,Lift MG,primary,positive_nn_top160,positive-only,3,480,342,138,828,3432,0.713,0.413,0.040,0.287
lift_mg,Lift MG,primary,positive_nn_top320,positive-only,3,960,444,516,828,3432,0.463,0.536,0.150,0.537
lift_mg,Lift MG,primary,positive_nn_top480,positive-only,3,1440,519,921,828,3432,0.360,0.627,0.268,0.640
lift_mg,Lift MG,primary,positive_nn_top80,positive-only,3,240,223,17,828,3432,0.929,0.269,0.005,0.071
