analysis,observed_mode,estimated_positive_mass,count_ge_pos_min,labeled_positive_p10,portfolio_branch,portfolio_reason,selected_method,endpoint_successes,endpoint_episodes,endpoint_success_rate,comparator_method,comparator_successes,comparator_episodes,comparator_success_rate,v01_method,v01_successes,v01_episodes,v01_success_rate,oracle_successes,oracle_episodes,oracle_success_rate,evidence_status,evidence_source,note
can_paired_80p80b,hard,82.4,32.7,0.748,hard_risk_union,low calibrated mass indicates Can-like contamination; prefer positive-NN/risk union hard support,hard_risk_union,,,,,,,,,,,,,,,needs_endpoint,results/final_paper/tables/v02_union_candidate_support_summary.csv,support-only union audit: 240/240 hidden positives and 22/240 hidden bad selected
can_paired_40p80b,hard,49.4,17.0,0.748,hard_risk_union,low calibrated mass indicates Can-like contamination; prefer positive-NN/risk union hard support,positive_nn_risk_union_top40,116,150,0.773,positive_only_nn_top40,108,150,0.720,triage_bc,99,150,0.660,147,150,0.980,complete_primary_development_endpoint,results/final_paper/ablations/v02_union_endpoint_200ep_can40/endpoint_200ep_3split_summary.csv; results/final_paper/tables/can_paired_pos40_bad80_final_endpoint_summary.csv,post-hoc development branch; loses split 11 to positive-only NN
can_paired_20p80b,hard,34.1,6.7,0.749,hard_risk_union,low calibrated mass indicates Can-like contamination; prefer positive-NN/risk union hard support,hard_risk_union,,,,,,,,,,,,,,,needs_endpoint,results/final_paper/tables/v02_union_candidate_support_summary.csv,support-only union audit: 59/60 hidden positives and 12/240 hidden bad selected
lift_mg_sparse,hard,346.9,237.3,0.887,soft_weighted,moderate broad positive mass indicates a coverage-sensitive branch,weighted_bc,93,150,0.620,weighted_bc,93,150,0.620,triage_bc_pos_min,74,150,0.493,105,150,0.700,complete_primary_development_endpoint,results/final_paper/tables/lift_mg_mg_sparse_final_endpoint_summary.csv,matches strongest baseline by selecting weighted branch; not a bad-label policy win
can_mg_sparse,soft,1947.9,1025.7,0.943,stress_abstain,large calibrated mass and large pos-min pool indicate ambiguous MG-style coverage/contamination,abstain,,,,weighted,,,,,,,,,,,stress_abstained,results/final_paper/ablations/can_mg_branch_proxy_summary/method_proxy_scores.csv,abstains; best observed stress branch is weighted at 0.333
can_paired_40p80b_shuffle42,hard_validation,60.2,26.0,0.853,hard_risk_union,low calibrated mass indicates Can-like contamination; prefer positive-NN/risk union hard support,hard_risk_union,,,,,,,,,,,,,,,needs_endpoint,results/final_paper/tables/v02_union_candidate_support_summary.csv,no endpoint for selected portfolio branch
lift_mg_sparse_shuffle42,hard_validation,461.7,190.7,0.922,soft_weighted,moderate broad positive mass indicates a coverage-sensitive branch,soft_weighted,,,,,,,,,,,,,,,needs_endpoint,results/final_paper/tables/v02_union_candidate_support_summary.csv,no endpoint for selected portfolio branch
can_mg_sparse_shuffle42,fragile,1466.3,515.7,0.957,stress_abstain,large calibrated mass and large pos-min pool indicate ambiguous MG-style coverage/contamination,abstain,,,,hard_posmin,,,,,,,,,,,stress_abstained,results/final_paper/ablations/can_mg_branch_proxy_summary/method_proxy_scores.csv,abstains; best observed stress branch is hard_posmin at 0.100
