method_id,family,endpoint_success,train_demo_count,train_positive_count,train_bad_count,valid_nn_any_mean,valid_nn_positive_mean,valid_nn_positive_p90,valid_nn_positive_max,valid_nn_bad_mean,valid_transition_nn_any_mean,valid_transition_nn_positive_mean,valid_transition_nn_positive_p90,valid_transition_nn_positive_max,valid_transition_nn_bad_mean,valid_bad_closer_count,valid_nearest_any_bad_count,valid_bad_minus_positive_mean,per_initial_success_mean,success_vs_positive_distance_corr,success_vs_transition_positive_distance_corr,metrics_path,episode_metrics_path,source_path
all_train_positive_oracle,oracle_or_control,0.980,90,90,0,2.451,2.451,3.377,3.798,nan,2.387,2.387,2.738,3.000,nan,0,0,nan,0.980,-0.258,-0.676,results/final_paper/per_seed/can_paired_pos40_bad80_split22_all_train_positive_oracle_policy0/eval/metrics.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split22_all_train_positive_oracle_policy0/eval/episode_metrics.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split22_all_train_positive_oracle_policy0/setup/diagnostics.json
bc_all_mixed,oracle_or_control,0.560,180,90,90,2.451,2.451,3.377,3.798,2.451,2.332,2.387,2.738,3.000,5.581,0,9,0.000,0.560,0.183,-0.248,results/final_paper/per_seed/can_paired_pos40_bad80_split22_bc_all_mixed_policy0/eval/metrics.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split22_bc_all_mixed_policy0/eval/episode_metrics.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split22_bc_all_mixed_policy0/setup/diagnostics.json
positive_nn_risk_fusion_top40,positive_only,0.640,50,50,0,2.807,2.807,3.440,3.919,nan,2.651,2.651,3.192,3.385,nan,0,0,nan,0.640,-0.121,-0.178,results/final_paper/ablations/v02_action_risk_endpoint_200ep_can40/split22/pnrf40/eval/metrics.csv,results/final_paper/ablations/v02_action_risk_endpoint_200ep_can40/split22/pnrf40/eval/episode_metrics.csv,results/final_paper/ablations/v02_action_risk_endpoint_200ep_can40/split22/pnrf40/setup/diagnostics.json
positive_only_nn,positive_only,0.760,50,47,3,2.759,2.807,3.440,3.919,3.621,2.652,2.658,3.240,3.385,7.367,1,1,0.814,0.760,-0.305,-0.263,results/final_paper/per_seed/can_paired_pos40_bad80_split22_positive_only_nn_policy0/eval/metrics.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split22_positive_only_nn_policy0/eval/episode_metrics.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split22_positive_only_nn_policy0/setup/diagnostics.json
triage_bc,triage_v01,0.520,83,46,37,2.558,2.812,3.440,3.919,2.653,2.612,2.682,3.198,3.414,5.847,7,8,-0.159,0.520,0.029,-0.379,results/final_paper/per_seed/can_paired_pos40_bad80_split22_triage_bc_policy0/eval/metrics.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split22_triage_bc_policy0/eval/episode_metrics.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split22_triage_bc_policy0/setup/diagnostics.json
weighted_bc,weighted,0.440,130,50,80,2.492,2.807,3.440,3.919,2.492,2.494,2.651,3.192,3.385,5.601,8,10,-0.315,0.440,0.439,-0.100,results/final_paper/per_seed/can_paired_pos40_bad80_split22_weighted_bc_policy0/eval/metrics.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split22_weighted_bc_policy0/eval/episode_metrics.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split22_weighted_bc_policy0/setup/diagnostics.json
