analysis,status,num_scores,positive_count,bad_count,positive_mean,bad_mean,positive_p10,bad_p90,positive_frac_ge_0p95,bad_frac_ge_0p95,plotted_threshold,threshold_name,message
Can 40p/80b,primary_frozen_3split,360,120,240,0.713,0.368,0.490,0.709,0.117,0.017,0.479,adaptive_masscap selected-min,intermediate overlap; mass-capped hard support
Lift MG,primary_frozen_3split,4260,828,3432,0.790,0.152,0.338,0.429,0.399,0.002,0.903,pos-min threshold,high-purity hard support but endpoint under-covers
Can MG,stress_diagnostic_original,11520,2064,9456,0.886,0.423,0.660,0.944,0.518,0.094,0.873,pos-min threshold,large ambiguous high-score plateau; router-v2 abstains
