candidate_id,candidate_label,success,success_rate,support_purity,hidden_positive_selected,hidden_bad_selected,avg_len
prefix_bad_aware_state_top80,bad-aware state top80,119/150,0.793,0.813,195,45,171.3
prefix_state_action_nn_top80,positive-NN state-action top80,6/150,0.040,0.155,37,203,388.3
