setting_id,setting_label,row_role,candidate_id,candidate_label,candidate_family,candidate_family_label,support_split_count,endpoint_split_count,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,total_hidden_positive_in_audited_splits,total_hidden_bad_in_audited_splits,support_purity,hidden_positive_recall,hidden_bad_admission,selected_contamination,coverage_proxy_score,audit_oracle_score,endpoint_successes,endpoint_episodes,endpoint_success_rate,endpoint_status,source,notes
can40,Can 40p/80b,primary,triage_adaptive_masscap,TRIAGE-BC adaptive masscap,bad_aware_hard,bad-aware hard,3,3,190,110,80,120,240,0.579,0.917,0.333,0.421,0.528,0.584,99,150,0.660,complete_3split_endpoint,results/final_paper/ablations/can40_score_support_tradeoff.csv,
can40,Can 40p/80b,primary,classifier_top10,classifier top10,bad_aware_hard,bad-aware hard,3,0,30,26,4,120,240,0.867,0.217,0.017,0.133,0.083,0.200,,,,support_only,results/final_paper/ablations/can40_score_support_tradeoff.csv,
can40,Can 40p/80b,primary,classifier_top20,classifier top20,bad_aware_hard,bad-aware hard,3,0,60,51,9,120,240,0.850,0.425,0.037,0.150,0.167,0.388,,,,support_only,results/final_paper/ablations/can40_score_support_tradeoff.csv,
can40,Can 40p/80b,primary,classifier_top40,classifier top40,bad_aware_hard,bad-aware hard,3,0,120,85,35,120,240,0.708,0.708,0.146,0.292,0.333,0.562,,,,support_only,results/final_paper/ablations/can40_score_support_tradeoff.csv,
can40,Can 40p/80b,primary,classifier_top60,classifier top60,bad_aware_hard,bad-aware hard,3,0,180,108,72,120,240,0.600,0.900,0.300,0.400,0.500,0.600,,,,support_only,results/final_paper/ablations/can40_score_support_tradeoff.csv,
can40,Can 40p/80b,primary,classifier_top80,classifier top80,bad_aware_hard,bad-aware hard,3,0,240,116,124,120,240,0.483,0.967,0.517,0.517,0.667,0.450,,,,support_only,results/final_paper/ablations/can40_score_support_tradeoff.csv,
can40,Can 40p/80b,oracle,all_train_positive_oracle,all-positive oracle,diagnostic_oracle,diagnostic oracle,3,3,,,,,,,,,,,,147,150,0.980,complete_3split_endpoint,results/final_paper/tables/endpoint_master_table.csv,support audit not comparable for oracle/all-demo training row
can40,Can 40p/80b,primary,bc_all_mixed,all-demo BC,mixed_baseline,mixed baseline,3,3,,,,,,,,,,,,81,150,0.540,complete_3split_endpoint,results/final_paper/tables/endpoint_master_table.csv,support audit not comparable for oracle/all-demo training row
can40,Can 40p/80b,primary,positive_only_nn_top40,positive-only NN top40,positive_only,positive-only,3,3,120,106,14,120,240,0.883,0.883,0.058,0.117,0.333,0.825,108,150,0.720,complete_3split_endpoint,results/final_paper/ablations/can40_score_support_tradeoff.csv,
can40,Can 40p/80b,primary,weighted_full_pool,weighted BC full pool,soft_weighted,soft weighted,3,3,360,120,240,120,240,0.333,1.000,1.000,0.667,1.000,0.000,90,150,0.600,complete_3split_endpoint,results/final_paper/ablations/can40_score_support_tradeoff.csv,
can40,Can 40p/80b,primary,positive_nn_risk_union_top40,positive-NN/risk union top40,union_hybrid,union hybrid,3,3,135,119,16,120,240,0.881,0.992,0.067,0.119,0.375,0.925,116,150,0.773,complete_3split_endpoint,results/final_paper/tables/v02_union_candidate_support_summary.csv; results/final_paper/ablations/v02_union_endpoint_200ep_can40/endpoint_200ep_3split_summary.csv,v0.2 development union candidate; not frozen cross-task method
lift_mg,Lift MG,primary,triage_bc,TRIAGE-BC,bad_aware_hard,bad-aware hard,3,3,441,421,20,828,3432,0.955,0.508,0.006,0.045,0.104,0.502,74,150,0.493,complete_3split_endpoint,results/final_paper/tables/endpoint_master_table.csv,
lift_mg,Lift MG,primary,classifier_topk,classifier top-k,bad_aware_hard,bad-aware hard,3,3,480,462,18,828,3432,0.963,0.558,0.005,0.037,0.113,0.553,68,150,0.453,complete_3split_endpoint,results/final_paper/tables/endpoint_master_table.csv,
lift_mg,Lift MG,oracle,all_train_positive_oracle,all-positive oracle,diagnostic_oracle,diagnostic oracle,3,3,,,,,,,,,,,,105,150,0.700,complete_3split_endpoint,results/final_paper/tables/endpoint_master_table.csv,support audit not comparable for oracle/all-demo training row
lift_mg,Lift MG,primary,bc_all_mixed,all-demo BC,mixed_baseline,mixed baseline,3,3,,,,,,,,,,,,31,150,0.207,complete_3split_endpoint,results/final_paper/tables/endpoint_master_table.csv,support audit not comparable for oracle/all-demo training row
