setting_id,setting_label,proxy,proxy_label,winner_id,winner_label,winner_selected,winner_recall,winner_bad_admission,winner_audit_score,winner_action_risk,winner_bad_neighbor_risk,audit_winner_id,audit_winner_label,matches_audit_winner,baseline_id,dominates_positive_nn_baseline
can20,Can 20p/80b,coverage_fraction,coverage only,hybrid_union_pos20_triage,hybrid union pos20 triage,136,0.950,0.329,0.621,0.153,1.000,hybrid_rank_fusion_equal_top20,hybrid rank fusion equal top20,false,positive_nn_top20,false
can20,Can 20p/80b,classifier_score_norm,classifier score only,hybrid_filter_pos_p10_pos20,hybrid filter pos p10 pos20,15,0.250,0.000,0.250,1.000,0.000,hybrid_rank_fusion_equal_top20,hybrid rank fusion equal top20,false,positive_nn_top20,false
can20,Can 20p/80b,coverage_x_classifier,coverage x classifier,triage_existing,TRIAGE-BC current,123,0.900,0.287,0.613,0.180,0.967,hybrid_rank_fusion_equal_top20,hybrid rank fusion equal top20,false,positive_nn_top20,false
can20,Can 20p/80b,coverage_minus_action_risk,coverage - action risk,positive_nn_top40,positive-NN top40,120,0.983,0.254,0.729,0.000,0.897,hybrid_rank_fusion_equal_top20,hybrid rank fusion equal top20,false,positive_nn_top20,false
can20,Can 20p/80b,coverage_minus_bad_neighbor_risk,coverage - bad-neighbor risk,hybrid_filter_pos_p10_pos20,hybrid filter pos p10 pos20,15,0.250,0.000,0.250,1.000,0.000,hybrid_rank_fusion_equal_top20,hybrid rank fusion equal top20,false,positive_nn_top20,false
can20,Can 20p/80b,coverage_classifier_minus_action_risk,coverage + classifier - action risk,classifier_top10,classifier top10,30,0.383,0.029,0.354,0.316,0.418,hybrid_rank_fusion_equal_top20,hybrid rank fusion equal top20,false,positive_nn_top20,false
can20,Can 20p/80b,coverage_classifier_minus_bad_neighbor_risk,coverage + classifier - bad-neighbor risk,hybrid_filter_pos_p10_pos20,hybrid filter pos p10 pos20,15,0.250,0.000,0.250,1.000,0.000,hybrid_rank_fusion_equal_top20,hybrid rank fusion equal top20,false,positive_nn_top20,false
can20,Can 20p/80b,coverage_classifier_minus_both_risks,coverage + classifier - both risks,hybrid_intersection_pos20_classifier20,hybrid intersection pos20 classifier20,36,0.600,0.000,0.600,0.292,0.086,hybrid_rank_fusion_equal_top20,hybrid rank fusion equal top20,false,positive_nn_top20,false
can80,Can 80p/80b,audit_oracle_score,audit oracle,positive_nn_top80,positive-NN top80,240,0.917,0.083,0.833,0.347,0.241,positive_nn_top80,positive-NN top80,true,positive_nn_top80,false
can80,Can 80p/80b,coverage_fraction,coverage only,positive_nn_top160,positive-NN top160,480,1.000,1.000,0.000,0.000,1.000,positive_nn_top80,positive-NN top80,false,positive_nn_top80,false
can80,Can 80p/80b,classifier_score_norm,classifier score only,hybrid_filter_pos_p10_pos80,hybrid filter pos p10 pos80,58,0.242,0.000,0.242,0.764,0.000,positive_nn_top80,positive-NN top80,false,positive_nn_top80,false
can80,Can 80p/80b,coverage_x_classifier,coverage x classifier,hybrid_filter_pos_p10_fill_classifier_to80,hybrid filter pos p10 fill classifier to80,240,0.792,0.208,0.583,0.353,0.421,positive_nn_top80,positive-NN top80,false,positive_nn_top80,false
can80,Can 80p/80b,coverage_minus_action_risk,coverage - action risk,positive_nn_top160,positive-NN top160,480,1.000,1.000,0.000,0.000,1.000,positive_nn_top80,positive-NN top80,false,positive_nn_top80,false
can80,Can 80p/80b,coverage_minus_bad_neighbor_risk,coverage - bad-neighbor risk,hybrid_filter_mid_mean_pos80,hybrid filter mid mean pos80,202,0.833,0.008,0.825,0.386,0.088,positive_nn_top80,positive-NN top80,false,positive_nn_top80,false
can80,Can 80p/80b,coverage_classifier_minus_action_risk,coverage + classifier - action risk,positive_nn_top160,positive-NN top160,480,1.000,1.000,0.000,0.000,1.000,positive_nn_top80,positive-NN top80,false,positive_nn_top80,false
can80,Can 80p/80b,coverage_classifier_minus_bad_neighbor_risk,coverage + classifier - bad-neighbor risk,hybrid_filter_pos_p10_pos80,hybrid filter pos p10 pos80,58,0.242,0.000,0.242,0.764,0.000,positive_nn_top80,positive-NN top80,false,positive_nn_top80,false
can80,Can 80p/80b,coverage_classifier_minus_both_risks,coverage + classifier - both risks,hybrid_filter_pos_p10_pos80,hybrid filter pos p10 pos80,58,0.242,0.000,0.242,0.764,0.000,positive_nn_top80,positive-NN top80,false,positive_nn_top80,false
