setting_id,setting_label,candidate_id,candidate_label,candidate_family,split_count,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,support_purity,hidden_positive_recall,hidden_bad_admission,selected_contamination,coverage_fraction,classifier_score_mean,pos_state_distance,action_conflict_distance,pos_state_action_distance,neg_state_action_distance,action_conflict_risk,bad_neighbor_risk,positive_distance_risk,negative_neighbor_risk,safe_margin_score,classifier_score_norm,action_conflict_risk_norm,bad_neighbor_risk_norm,positive_distance_risk_norm,safe_margin_score_norm,coverage_x_classifier,coverage_minus_action_risk,coverage_minus_bad_neighbor_risk,coverage_classifier_minus_action_risk,coverage_classifier_minus_bad_neighbor_risk,coverage_classifier_minus_both_risks,audit_oracle_score
lift_mg,Lift MG,hybrid_rank_fusion_equal_top160,hybrid rank fusion equal top160,hybrid,3,480,422,58,0.879,0.510,0.017,0.121,0.113,0.908,10.968,4.218,11.769,17.944,0.125,-1.823,-1.590,-0.571,1.823,0.849,0.626,0.204,0.190,0.796,0.096,-0.514,-0.091,0.336,0.758,0.547,0.493
lift_mg,Lift MG,hybrid_union_pos160_classifier80,hybrid union pos160 classifier80,hybrid,3,532,392,140,0.737,0.473,0.041,0.263,0.125,0.788,11.452,4.553,12.338,16.994,0.184,-1.460,-1.422,-0.325,1.460,0.628,0.814,0.413,0.324,0.587,0.078,-0.690,-0.288,-0.062,0.339,0.139,0.433
lift_mg,Lift MG,hybrid_union_pos160_triage,hybrid union pos160 triage,hybrid,3,659,505,154,0.766,0.610,0.045,0.234,0.155,0.819,12.143,4.674,13.031,17.823,0.053,-1.491,-1.205,-0.537,1.491,0.686,0.401,0.395,0.496,0.605,0.106,-0.246,-0.241,0.439,0.445,0.442,0.565
lift_mg,Lift MG,positive_nn_top160,positive-NN top160,positive-only,3,480,342,138,0.713,0.413,0.040,0.287,0.113,0.762,11.249,4.451,12.117,16.514,0.176,-1.398,-1.494,-0.203,1.398,0.581,0.787,0.449,0.266,0.551,0.065,-0.674,-0.336,-0.093,0.245,0.076,0.373
lift_mg,Lift MG,positive_nn_top320,positive nn top320,positive-only,3,960,444,516,0.463,0.536,0.150,0.537,0.225,0.543,12.489,5.212,13.548,14.972,0.243,-0.721,-1.110,0.209,0.721,0.176,1.000,0.839,0.573,0.161,0.040,-0.775,-0.614,-0.599,-0.438,-0.518,0.386
lift_mg,Lift MG,positive_nn_top480,positive nn top480,positive-only,3,1440,519,921,0.360,0.627,0.268,0.640,0.338,0.447,13.138,5.547,14.270,14.436,0.241,-0.442,-0.915,0.355,0.442,0.000,0.992,1.000,0.728,0.000,0.000,-0.654,-0.662,-0.654,-0.662,-0.658,0.358
lift_mg,Lift MG,positive_nn_top80,positive-NN top80,positive-only,3,240,223,17,0.929,0.269,0.005,0.071,0.056,0.933,10.260,3.932,11.004,17.978,0.160,-2.010,-1.793,-0.576,2.010,0.896,0.739,0.096,0.029,0.904,0.050,-0.683,-0.040,0.213,0.856,0.535,0.264
can20,Can 20p/80b,classifier_top10,classifier top10,bad-aware hard,3,30,23,7,0.767,0.383,0.029,0.233,0.100,0.889,14.310,4.860,15.177,21.374,0.126,-1.436,-1.262,-1.379,1.436,0.866,0.316,0.418,0.503,0.582,0.087,-0.216,-0.318,0.650,0.548,0.599,0.354
can20,Can 20p/80b,classifier_top20,classifier top20,bad-aware hard,3,60,41,19,0.683,0.683,0.079,0.317,0.200,0.812,15.015,5.205,15.931,20.340,0.105,-1.212,-1.075,-1.144,1.212,0.674,0.251,0.570,0.627,0.430,0.135,-0.051,-0.370,0.623,0.304,0.464,0.604
can20,Can 20p/80b,classifier_top40,classifier top40,bad-aware hard,3,120,54,66,0.450,0.900,0.275,0.550,0.400,0.701,16.871,6.194,17.999,18.155,0.107,-0.676,-0.582,-0.656,0.676,0.395,0.258,0.933,0.957,0.067,0.158,0.142,-0.533,0.537,-0.138,0.200,0.625
can20,Can 20p/80b,triage_existing,TRIAGE-BC current,bad-aware hard,3,123,54,69,0.439,0.900,0.287,0.561,0.410,0.705,17.152,6.363,18.318,17.957,0.081,-0.627,-0.533,-0.617,0.627,0.406,0.180,0.967,0.989,0.033,0.167,0.230,-0.557,0.637,-0.151,0.243,0.613
