setting_id,setting_label,candidate_id,candidate_label,candidate_family,split_count,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,support_purity,hidden_positive_recall,hidden_bad_admission,selected_contamination,coverage_fraction,classifier_score_mean,pos_state_distance,action_conflict_distance,pos_state_action_distance,neg_state_action_distance,action_conflict_risk,bad_neighbor_risk,positive_distance_risk,negative_neighbor_risk,safe_margin_score,classifier_score_norm,action_conflict_risk_norm,bad_neighbor_risk_norm,positive_distance_risk_norm,safe_margin_score_norm,coverage_x_classifier,coverage_minus_action_risk,coverage_minus_bad_neighbor_risk,coverage_classifier_minus_action_risk,coverage_classifier_minus_bad_neighbor_risk,coverage_classifier_minus_both_risks,audit_oracle_score
can80,Can 80p/80b,hybrid_intersection_pos80_classifier160,hybrid intersection pos80 classifier160,hybrid,3,240,220,20,0.917,0.917,0.083,0.083,0.500,0.696,12.455,3.954,13.139,21.194,0.098,-0.812,-0.784,-0.711,0.812,0.387,0.347,0.241,0.273,0.759,0.194,0.153,0.259,0.540,0.646,0.593,0.833
can80,Can 80p/80b,hybrid_intersection_pos80_classifier80,hybrid intersection pos80 classifier80,hybrid,3,182,179,3,0.984,0.746,0.013,0.016,0.379,0.784,11.732,3.622,12.345,21.913,0.126,-0.978,-0.941,-0.861,0.978,0.616,0.443,0.085,0.128,0.915,0.234,-0.064,0.294,0.552,0.910,0.731,0.733
can80,Can 80p/80b,hybrid_pareto_top80,hybrid pareto top80,hybrid,3,240,219,21,0.912,0.912,0.087,0.087,0.500,0.745,12.467,3.997,13.163,21.375,0.113,-0.830,-0.781,-0.749,0.830,0.515,0.398,0.224,0.276,0.776,0.258,0.102,0.276,0.617,0.792,0.705,0.825
can80,Can 80p/80b,hybrid_rank_fusion_classifier_heavy_top80,hybrid rank fusion classifier heavy top80,hybrid,3,240,211,29,0.879,0.879,0.121,0.121,0.500,0.755,12.696,4.154,13.430,21.115,0.126,-0.775,-0.731,-0.697,0.775,0.540,0.445,0.276,0.323,0.724,0.270,0.055,0.224,0.594,0.764,0.679,0.758
can80,Can 80p/80b,hybrid_rank_fusion_equal_top80,hybrid rank fusion equal top80,hybrid,3,240,219,21,0.912,0.912,0.087,0.087,0.500,0.745,12.467,3.997,13.163,21.375,0.113,-0.830,-0.781,-0.749,0.830,0.515,0.398,0.224,0.276,0.776,0.258,0.102,0.276,0.617,0.792,0.705,0.825
can80,Can 80p/80b,hybrid_union_pos80_classifier40,hybrid union pos80 classifier40,hybrid,3,255,225,30,0.882,0.938,0.125,0.118,0.531,0.706,12.817,4.122,13.535,20.978,0.086,-0.745,-0.707,-0.667,0.745,0.414,0.305,0.303,0.345,0.697,0.220,0.226,0.228,0.640,0.642,0.641,0.812
can80,Can 80p/80b,hybrid_union_pos80_triage,hybrid union pos80 triage,hybrid,3,274,226,48,0.825,0.942,0.200,0.175,0.571,0.705,13.279,4.378,14.052,20.533,0.086,-0.646,-0.611,-0.578,0.646,0.411,0.302,0.396,0.433,0.604,0.235,0.269,0.175,0.680,0.586,0.633,0.742
can80,Can 80p/80b,positive_nn_top120,positive nn top120,positive-only,3,360,238,122,0.661,0.992,0.508,0.339,0.750,0.600,14.570,4.897,15.422,18.906,0.025,-0.314,-0.336,-0.241,0.314,0.140,0.087,0.706,0.688,0.294,0.105,0.663,0.044,0.803,0.184,0.493,0.483
can80,Can 80p/80b,positive_nn_top160,positive-NN top160,positive-only,3,480,240,240,0.500,1.000,1.000,0.500,1.000,0.546,16.117,5.662,17.130,17.735,0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,1.000,0.000,1.000,0.000,0.500,0.000
can80,Can 80p/80b,positive_nn_top40,positive-NN top40,positive-only,3,120,120,0,1.000,0.500,0.000,0.000,0.250,0.758,10.950,3.616,11.644,21.513,0.283,-1.010,-1.079,-0.777,1.010,0.548,1.000,0.056,0.000,0.944,0.137,-0.750,0.194,-0.202,0.743,0.270,0.500
can80,Can 80p/80b,positive_nn_top80,positive-NN top80,positive-only,3,240,220,20,0.917,0.917,0.083,0.083,0.500,0.696,12.455,3.954,13.139,21.194,0.098,-0.812,-0.784,-0.711,0.812,0.387,0.347,0.241,0.273,0.759,0.194,0.153,0.259,0.540,0.646,0.593,0.833
