task,split_type,split_seed,method,router_branch,policy_seed,checkpoint,eval_episodes,success_rate,selected_unlabeled,hidden_positive,hidden_bad,purity,notes
can_paired,pos40_bad80,11,triage_bc,hard_adaptive_masscap,0,model_epoch_200,50,0.760,70,40,30,0.5714285714,"first frozen final split endpoint"
can_paired,pos40_bad80,11,weighted_bc,,0,model_epoch_200,50,0.720,120,40,80,0.3333333333,"matched classifier-probability weighted sampler baseline"
