assignment_status,num_rows,mean_policy_20k,min_policy_20k,max_policy_20k,mean_estimated_positive_mass,max_estimated_positive_mass,mean_count_ge_pos_min,max_count_ge_pos_min
assigned,6,0.700,0.600,0.900,172.450,461.700,85.067,237.300
abstained,2,0.217,0.100,0.333,1707.100,1947.900,770.700,1025.700
