setting_id,setting_label,row_role,endpoint_evidence_status,endpoint_oracle_candidate,endpoint_oracle_endpoint,strongest_baseline_candidate,strongest_baseline_endpoint,best_bad_aware_candidate,best_bad_aware_endpoint,bad_aware_gap_vs_strongest_baseline,all_positive_oracle_endpoint,coverage_proxy_winner,coverage_proxy_winner_endpoint,audit_oracle_winner,audit_oracle_winner_endpoint,decision
can40,Can 40p/80b,primary,complete_3split_endpoint/support_only,positive-NN/risk union top40,116/150 (0.773),positive-only NN top40,108/150 (0.720),positive-NN/risk union top40,116/150 (0.773),0.053,147/150 (0.980),weighted BC full pool,90/150 (0.600),positive-NN/risk union top40,116/150 (0.773),portfolio contains an endpoint branch above the strongest baseline
lift_mg,Lift MG,primary,complete_3split_endpoint,weighted BC,93/150 (0.620),weighted BC,93/150 (0.620),TRIAGE-BC,74/150 (0.493),-0.127,105/150 (0.700),weighted BC,93/150 (0.620),classifier top-k,68/150 (0.453),portfolio can only match the strongest baseline by selecting that baseline
can20,Can 20p/80b,diagnostic,partial_endpoint/support_only,positive-only NN top20,54/100 (0.540),positive-only NN top20,54/100 (0.540),TRIAGE-BC adaptive masscap,46/100 (0.460),-0.080,,weighted BC full pool,18/50 (0.360),positive-only NN top20,54/100 (0.540),portfolio can only match the strongest baseline by selecting that baseline
can80,Can 80p/80b,diagnostic,partial_endpoint/support_only,positive-only NN top80,49/50 (0.980),positive-only NN top80,49/50 (0.980),TRIAGE-BC adaptive masscap,43/50 (0.860),-0.120,,positive-only NN top80,49/50 (0.980),positive-only NN top80,49/50 (0.980),portfolio can only match the strongest baseline by selecting that baseline
