task,split_type,split_seed,method,router_branch,policy_seed,checkpoint,eval_episodes,success_rate,selected_unlabeled,hidden_positive,hidden_bad,purity,notes
can_paired,pos40_bad80,33,triage_bc,hard_adaptive_masscap,0,model_epoch_200,50,0.700,47,34,13,0.7234042553,"third frozen final split endpoint; cleaner hard support"
can_paired,pos40_bad80,33,weighted_bc,,0,model_epoch_200,50,0.640,120,40,80,0.3333333333,"matched classifier-probability weighted sampler baseline"
