setting_id,setting_label,row_role,split_count,candidate_id,candidate_family,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,total_hidden_positive,total_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,selected_contamination,classifier_score_mean,action_conflict_risk_mean,bad_neighbor_risk_mean,combined_risk_mean,safe_margin_score_mean,audit_oracle_score
can40,Can 40p/80b,primary,3,positive_nn_top20,positive-only,60,60,0,120,240,1.000,0.500,0.000,0.000,0.750,0.219,-1.392,-1.173,1.392,0.500
can40,Can 40p/80b,primary,3,positive_nn_top40,positive-only,120,106,14,120,240,0.883,0.883,0.058,0.117,0.684,0.182,-1.142,-0.960,1.142,0.825
can40,Can 40p/80b,primary,3,positive_nn_top60,positive-only,180,117,63,120,240,0.650,0.975,0.263,0.350,0.588,0.054,-0.661,-0.607,0.661,0.712
can40,Can 40p/80b,primary,3,positive_nn_top80,positive-only,240,119,121,120,240,0.496,0.992,0.504,0.504,0.538,0.036,-0.340,-0.304,0.340,0.488
can40,Can 40p/80b,primary,3,classifier_top20,bad-aware hard,60,51,9,120,240,0.850,0.425,0.037,0.150,0.864,0.178,-1.115,-0.937,1.115,0.388
can40,Can 40p/80b,primary,3,classifier_top40,bad-aware hard,120,85,35,120,240,0.708,0.708,0.146,0.292,0.777,0.143,-0.849,-0.706,0.849,0.562
can40,Can 40p/80b,primary,3,classifier_top60,bad-aware hard,180,108,72,120,240,0.600,0.900,0.300,0.400,0.704,0.089,-0.607,-0.518,0.607,0.600
can40,Can 40p/80b,primary,3,classifier_top80,bad-aware hard,240,116,124,120,240,0.483,0.967,0.517,0.517,0.635,0.085,-0.348,-0.263,0.348,0.450
can40,Can 40p/80b,primary,3,triage_existing,bad-aware hard,190,110,80,120,240,0.579,0.917,0.333,0.421,0.700,0.109,-0.552,-0.443,0.552,0.583
can40,Can 40p/80b,primary,3,action_safe_top20,risk-only,60,16,44,120,240,0.267,0.133,0.183,0.733,0.409,-0.813,0.220,-0.594,-0.220,-0.050
can40,Can 40p/80b,primary,3,action_safe_top40,risk-only,120,28,92,120,240,0.233,0.233,0.383,0.767,0.407,-0.610,0.284,-0.326,-0.284,-0.150
can40,Can 40p/80b,primary,3,action_safe_top60,risk-only,180,50,130,120,240,0.278,0.417,0.542,0.722,0.429,-0.450,0.170,-0.280,-0.170,-0.125
can40,Can 40p/80b,primary,3,action_safe_top80,risk-only,240,70,170,120,240,0.292,0.583,0.708,0.708,0.441,-0.308,0.126,-0.182,-0.126,-0.125
can40,Can 40p/80b,primary,3,bad_neighbor_safe_top20,risk-only,60,60,0,120,240,1.000,0.500,0.000,0.000,0.762,0.220,-1.540,-1.320,1.540,0.500
