setting_id,setting_label,candidate_id,candidate_label,candidate_family,split_count,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,support_purity,hidden_positive_recall,hidden_bad_admission,selected_contamination,coverage_fraction,classifier_score_mean,classifier_score_norm,coverage_x_classifier,coverage_classifier_hmean,coverage_minus_half_risk,coverage_minus_one_risk,coverage_minus_two_risk,audit_oracle_score
can80,Can 80p/80b,triage_existing,TRIAGE-BC current,bad-aware hard,3,165,137,28,0.830,0.571,0.117,0.170,0.344,0.824,0.719,0.247,0.465,0.203,0.063,-0.217,0.454
can80,Can 80p/80b,hybrid_filter_mid_mean_fill_classifier_to80,hybrid filter mid mean fill classifier to80,hybrid,3,240,212,28,0.883,0.883,0.117,0.117,0.500,0.753,0.536,0.268,0.517,0.268,0.036,-0.428,0.767
can80,Can 80p/80b,hybrid_filter_mid_mean_pos80,hybrid filter mid mean pos80,hybrid,3,202,200,2,0.990,0.833,0.008,0.010,0.421,0.757,0.545,0.229,0.475,0.193,-0.034,-0.490,0.825
can80,Can 80p/80b,hybrid_filter_mid_minpos_maxneg_fill_classifier_to80,hybrid filter mid minpos maxneg fill classifier to80,hybrid,3,240,212,28,0.883,0.883,0.117,0.117,0.500,0.753,0.536,0.268,0.517,0.268,0.036,-0.428,0.767
can80,Can 80p/80b,hybrid_filter_mid_minpos_maxneg_pos80,hybrid filter mid minpos maxneg pos80,hybrid,3,197,196,1,0.995,0.817,0.004,0.005,0.410,0.761,0.555,0.228,0.472,0.188,-0.035,-0.479,0.812
can80,Can 80p/80b,hybrid_filter_pos_min_fill_classifier_to80,hybrid filter pos min fill classifier to80,hybrid,3,240,190,50,0.792,0.792,0.208,0.208,0.500,0.763,0.562,0.281,0.529,0.281,0.062,-0.376,0.583
can80,Can 80p/80b,hybrid_filter_pos_min_pos80,hybrid filter pos min pos80,hybrid,3,68,68,0,1.000,0.283,0.000,0.000,0.142,0.915,0.954,0.135,0.247,0.119,0.096,0.050,0.283
can80,Can 80p/80b,hybrid_filter_pos_p10_fill_classifier_to80,hybrid filter pos p10 fill classifier to80,hybrid,3,240,190,50,0.792,0.792,0.208,0.208,0.500,0.763,0.562,0.281,0.529,0.281,0.062,-0.376,0.583
can80,Can 80p/80b,hybrid_filter_pos_p10_pos80,hybrid filter pos p10 pos80,hybrid,3,58,58,0,1.000,0.242,0.000,0.000,0.121,0.933,1.000,0.121,0.216,0.121,0.121,0.121,0.242
can80,Can 80p/80b,hybrid_intersection_pos80_classifier160,hybrid intersection pos80 classifier160,hybrid,3,240,220,20,0.917,0.917,0.083,0.083,0.500,0.696,0.387,0.194,0.436,0.194,-0.113,-0.725,0.833
can80,Can 80p/80b,hybrid_intersection_pos80_classifier80,hybrid intersection pos80 classifier80,hybrid,3,182,179,3,0.984,0.746,0.013,0.016,0.379,0.784,0.616,0.234,0.469,0.187,-0.005,-0.388,0.733
can80,Can 80p/80b,hybrid_pareto_top80,hybrid pareto top80,hybrid,3,240,219,21,0.912,0.912,0.087,0.087,0.500,0.745,0.515,0.258,0.508,0.258,0.015,-0.469,0.825
can80,Can 80p/80b,hybrid_rank_fusion_classifier_heavy_top80,hybrid rank fusion classifier heavy top80,hybrid,3,240,211,29,0.879,0.879,0.121,0.121,0.500,0.755,0.540,0.270,0.519,0.270,0.040,-0.421,0.758
can80,Can 80p/80b,hybrid_rank_fusion_equal_top80,hybrid rank fusion equal top80,hybrid,3,240,219,21,0.912,0.912,0.087,0.087,0.500,0.745,0.515,0.258,0.508,0.258,0.015,-0.469,0.825
can80,Can 80p/80b,hybrid_union_pos80_classifier40,hybrid union pos80 classifier40,hybrid,3,255,225,30,0.882,0.938,0.125,0.118,0.531,0.706,0.414,0.220,0.465,0.238,-0.055,-0.641,0.812
can80,Can 80p/80b,hybrid_union_pos80_triage,hybrid union pos80 triage,hybrid,3,274,226,48,0.825,0.942,0.200,0.175,0.571,0.705,0.411,0.235,0.478,0.277,-0.018,-0.606,0.742
can80,Can 80p/80b,positive_nn_top120,positive nn top120,positive-only,3,360,238,122,0.661,0.992,0.508,0.339,0.750,0.600,0.140,0.105,0.236,0.320,-0.110,-0.969,0.483
can80,Can 80p/80b,positive_nn_top160,positive-NN top160,positive-only,3,480,240,240,0.500,1.000,1.000,0.500,1.000,0.546,0.000,0.000,0.000,0.500,0.000,-1.000,0.000
can80,Can 80p/80b,positive_nn_top40,positive-NN top40,positive-only,3,120,120,0,1.000,0.500,0.000,0.000,0.250,0.758,0.548,0.137,0.343,0.024,-0.202,-0.654,0.500
can80,Can 80p/80b,positive_nn_top80,positive-NN top80,positive-only,3,240,220,20,0.917,0.917,0.083,0.083,0.500,0.696,0.387,0.194,0.436,0.194,-0.113,-0.725,0.833
