setting_id,setting_label,proxy,proxy_label,winner_id,winner_label,winner_selected,winner_recall,winner_bad_admission,winner_audit_score,audit_winner_id,audit_winner_label,matches_audit_winner,baseline_id,dominates_positive_nn_baseline
can40,Can 40p/80b,audit_oracle_score,audit oracle,positive_nn_top40,positive-NN top40,120,0.883,0.058,0.825,positive_nn_top40,positive-NN top40,true,positive_nn_top40,false
can40,Can 40p/80b,coverage_fraction,coverage only,classifier_top80,classifier top80,240,0.967,0.517,0.450,positive_nn_top40,positive-NN top40,false,positive_nn_top40,false
can40,Can 40p/80b,classifier_score_norm,classifier score only,hybrid_filter_pos_p10_pos40,hybrid filter pos p10 pos40,25,0.208,0.000,0.208,positive_nn_top40,positive-NN top40,false,positive_nn_top40,false
can40,Can 40p/80b,coverage_x_classifier,coverage x classifier,classifier_top60,classifier top60,180,0.900,0.300,0.600,positive_nn_top40,positive-NN top40,false,positive_nn_top40,false
can40,Can 40p/80b,coverage_classifier_hmean,coverage/classifier harmonic,classifier_top60,classifier top60,180,0.900,0.300,0.600,positive_nn_top40,positive-NN top40,false,positive_nn_top40,false
can40,Can 40p/80b,coverage_minus_half_risk,coverage - 0.5 risk,classifier_top80,classifier top80,240,0.967,0.517,0.450,positive_nn_top40,positive-NN top40,false,positive_nn_top40,false
can40,Can 40p/80b,coverage_minus_one_risk,coverage - 1.0 risk,hybrid_filter_pos_p10_pos40,hybrid filter pos p10 pos40,25,0.208,0.000,0.208,positive_nn_top40,positive-NN top40,false,positive_nn_top40,false
can40,Can 40p/80b,coverage_minus_two_risk,coverage - 2.0 risk,hybrid_filter_pos_p10_pos40,hybrid filter pos p10 pos40,25,0.208,0.000,0.208,positive_nn_top40,positive-NN top40,false,positive_nn_top40,false
lift_mg,Lift MG,audit_oracle_score,audit oracle,classifier_top320,classifier top320,960,0.859,0.073,0.786,classifier_top320,classifier top320,true,positive_nn_top160,false
lift_mg,Lift MG,coverage_fraction,coverage only,classifier_top480,classifier top480,1440,0.923,0.197,0.726,classifier_top320,classifier top320,false,positive_nn_top160,false
lift_mg,Lift MG,classifier_score_norm,classifier score only,classifier_top80,classifier top80,240,0.286,0.001,0.285,classifier_top320,classifier top320,false,positive_nn_top160,false
lift_mg,Lift MG,coverage_x_classifier,coverage x classifier,classifier_top320,classifier top320,960,0.859,0.073,0.786,classifier_top320,classifier top320,true,positive_nn_top160,false
lift_mg,Lift MG,coverage_classifier_hmean,coverage/classifier harmonic,classifier_top480,classifier top480,1440,0.923,0.197,0.726,classifier_top320,classifier top320,false,positive_nn_top160,false
lift_mg,Lift MG,coverage_minus_half_risk,coverage - 0.5 risk,classifier_top160,classifier top160,480,0.558,0.005,0.553,classifier_top320,classifier top320,false,positive_nn_top160,true
lift_mg,Lift MG,coverage_minus_one_risk,coverage - 1.0 risk,triage_existing,TRIAGE-BC current,441,0.508,0.006,0.503,classifier_top320,classifier top320,false,positive_nn_top160,true
lift_mg,Lift MG,coverage_minus_two_risk,coverage - 2.0 risk,classifier_top80,classifier top80,240,0.286,0.001,0.285,classifier_top320,classifier top320,false,positive_nn_top160,false
can20,Can 20p/80b,audit_oracle_score,audit oracle,hybrid_filter_mid_mean_fill_classifier_to20,hybrid filter mid mean fill classifier to20,60,0.833,0.042,0.792,hybrid_filter_mid_mean_fill_classifier_to20,hybrid filter mid mean fill classifier to20,true,positive_nn_top20,true
can20,Can 20p/80b,coverage_fraction,coverage only,hybrid_union_pos20_triage,hybrid union pos20 triage,136,0.950,0.329,0.621,hybrid_filter_mid_mean_fill_classifier_to20,hybrid filter mid mean fill classifier to20,false,positive_nn_top20,false
can20,Can 20p/80b,classifier_score_norm,classifier score only,hybrid_filter_pos_p10_pos20,hybrid filter pos p10 pos20,15,0.250,0.000,0.250,hybrid_filter_mid_mean_fill_classifier_to20,hybrid filter mid mean fill classifier to20,false,positive_nn_top20,false
can20,Can 20p/80b,coverage_x_classifier,coverage x classifier,triage_existing,TRIAGE-BC current,123,0.900,0.287,0.613,hybrid_filter_mid_mean_fill_classifier_to20,hybrid filter mid mean fill classifier to20,false,positive_nn_top20,false
