probe_id,probe_label,hypothesis,split_seeds,bad_aware_method,positive_method,bad_aware_endpoint,positive_endpoint,endpoint_delta,bad_aware_success_count,bad_aware_eval_episodes,positive_success_count,positive_eval_episodes,bad_aware_hidden_positive,bad_aware_hidden_bad,positive_hidden_positive,positive_hidden_bad,bad_aware_support_pos_bad,positive_support_pos_bad,bad_aware_avg_len,positive_avg_len,source_artifact,claim_scope
hard_negative_can,Hard-negative Can,Action-conflicting near-neighbor failures,101/202/303,hybrid_rank_fusion_badaware_heavy_top40,state_action_positive_nn_top40,104/150,91/150,+13/150,104,150,91,150,113,7,70,50,113/7,70/50,198.9,223.3,results/final_paper/ablations/hard_negative_can_endpoint_200ep/endpoint_200ep_3split_summary.csv,"generated diagnostic, not primary benchmark row"
coverage_shift_can,Coverage-shift Can,Trusted positives under-cover initial conditions,101/202/303,hybrid_rank_fusion_badaware_heavy_top40,state_action_positive_nn_top40,120/150,103/150,+17/150,120,150,103,150,118,2,105,15,118/2,105/15,182.7,207.5,results/final_paper/ablations/can_coverage_shift_endpoint_200ep/endpoint_200ep_3split_summary.csv,"generated diagnostic, not primary benchmark row"
prefix_positive_can,Prefix-positive Can,Trusted positives are successful-demo prefixes,101/202/303,prefix_bad_aware_state_top80,prefix_state_action_nn_top80,119/150,6/150,+113/150,119,150,6,150,195,45,37,203,195/45,37/203,171.3,388.3,results/final_paper/ablations/can_prefix_positive_endpoint_200ep/endpoint_200ep_aggregate_summary.csv,"generated diagnostic, not primary benchmark row"
