config_id,config_label,prefix_fraction,prefix_min_steps,prefix_max_steps,candidate_id,candidate_family,splits,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,total_hidden_positive,total_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,selected_contamination,delta_recall_vs_prefix_state_action_nn_top80,delta_bad_admission_vs_prefix_state_action_nn_top80,clears_prefix_state_action_nn_top80,source_splits
default_prefix,default prefixes,0.200,8,30,prefix_state_nn_top40,positive-only,3,120,0,120,240,240,0.000,0.000,0.500,1.000,-0.154,-0.346,false,results/final_paper/ablations/can_prefix_length_robustness_splits/default_prefix/split*
default_prefix,default prefixes,0.200,8,30,prefix_state_nn_top80,positive-only,3,240,39,201,240,240,0.163,0.163,0.838,0.838,0.009,-0.008,true,results/final_paper/ablations/can_prefix_length_robustness_splits/default_prefix/split*
default_prefix,default prefixes,0.200,8,30,prefix_bad_aware_state_action_top120,bad-aware,3,360,236,124,240,240,0.656,0.983,0.517,0.344,0.829,-0.329,true,results/final_paper/ablations/can_prefix_length_robustness_splits/default_prefix/split*
default_prefix,default prefixes,0.200,8,30,prefix_bad_aware_state_action_top20,bad-aware,3,60,48,12,240,240,0.800,0.200,0.050,0.200,0.046,-0.796,true,results/final_paper/ablations/can_prefix_length_robustness_splits/default_prefix/split*
default_prefix,default prefixes,0.200,8,30,prefix_bad_aware_state_action_top40,bad-aware,3,120,101,19,240,240,0.842,0.421,0.079,0.158,0.267,-0.767,true,results/final_paper/ablations/can_prefix_length_robustness_splits/default_prefix/split*
default_prefix,default prefixes,0.200,8,30,prefix_bad_aware_state_action_top80,bad-aware,3,240,193,47,240,240,0.804,0.804,0.196,0.196,0.650,-0.650,true,results/final_paper/ablations/can_prefix_length_robustness_splits/default_prefix/split*
default_prefix,default prefixes,0.200,8,30,prefix_bad_aware_state_top120,bad-aware,3,360,236,124,240,240,0.656,0.983,0.517,0.344,0.829,-0.329,true,results/final_paper/ablations/can_prefix_length_robustness_splits/default_prefix/split*
default_prefix,default prefixes,0.200,8,30,prefix_bad_aware_state_top20,bad-aware,3,60,48,12,240,240,0.800,0.200,0.050,0.200,0.046,-0.796,true,results/final_paper/ablations/can_prefix_length_robustness_splits/default_prefix/split*
default_prefix,default prefixes,0.200,8,30,prefix_bad_aware_state_top40,bad-aware,3,120,101,19,240,240,0.842,0.421,0.079,0.158,0.267,-0.767,true,results/final_paper/ablations/can_prefix_length_robustness_splits/default_prefix/split*
default_prefix,default prefixes,0.200,8,30,prefix_bad_aware_state_top80,bad-aware,3,240,195,45,240,240,0.812,0.812,0.188,0.188,0.658,-0.658,true,results/final_paper/ablations/can_prefix_length_robustness_splits/default_prefix/split*
default_prefix,default prefixes,0.200,8,30,prefix_rank_fusion_badaware_heavy_top40,hybrid,3,120,76,44,240,240,0.633,0.317,0.183,0.367,0.163,-0.663,true,results/final_paper/ablations/can_prefix_length_robustness_splits/default_prefix/split*
default_prefix,default prefixes,0.200,8,30,prefix_rank_fusion_badaware_heavy_top80,hybrid,3,240,151,89,240,240,0.629,0.629,0.371,0.371,0.475,-0.475,true,results/final_paper/ablations/can_prefix_length_robustness_splits/default_prefix/split*
default_prefix,default prefixes,0.200,8,30,prefix_rank_fusion_equal_top40,hybrid,3,120,52,68,240,240,0.433,0.217,0.283,0.567,0.063,-0.563,true,results/final_paper/ablations/can_prefix_length_robustness_splits/default_prefix/split*
default_prefix,default prefixes,0.200,8,30,prefix_rank_fusion_equal_top80,hybrid,3,240,120,120,240,240,0.500,0.500,0.500,0.500,0.346,-0.346,true,results/final_paper/ablations/can_prefix_length_robustness_splits/default_prefix/split*
default_prefix,default prefixes,0.200,8,30,all_unlabeled_soft_reference,soft-reference,3,480,240,240,240,240,0.500,1.000,1.000,0.500,0.846,0.154,false,results/final_paper/ablations/can_prefix_length_robustness_splits/default_prefix/split*
long_prefix,long prefixes,0.400,16,60,prefix_state_action_nn_top120,positive-only,3,360,127,233,240,240,0.353,0.529,0.971,0.647,0.437,0.063,false,results/final_paper/ablations/can_prefix_length_robustness_splits/long_prefix/split*
long_prefix,long prefixes,0.400,16,60,prefix_state_action_nn_top20,positive-only,3,60,0,60,240,240,0.000,0.000,0.250,1.000,-0.092,-0.658,false,results/final_paper/ablations/can_prefix_length_robustness_splits/long_prefix/split*
long_prefix,long prefixes,0.400,16,60,prefix_state_action_nn_top40,positive-only,3,120,0,120,240,240,0.000,0.000,0.500,1.000,-0.092,-0.408,false,results/final_paper/ablations/can_prefix_length_robustness_splits/long_prefix/split*
long_prefix,long prefixes,0.400,16,60,prefix_state_action_nn_top80,positive-only,3,240,22,218,240,240,0.092,0.092,0.908,0.908,0.000,0.000,false,results/final_paper/ablations/can_prefix_length_robustness_splits/long_prefix/split*
long_prefix,long prefixes,0.400,16,60,prefix_state_nn_top120,positive-only,3,360,128,232,240,240,0.356,0.533,0.967,0.644,0.441,0.059,false,results/final_paper/ablations/can_prefix_length_robustness_splits/long_prefix/split*
long_prefix,long prefixes,0.400,16,60,prefix_state_nn_top20,positive-only,3,60,0,60,240,240,0.000,0.000,0.250,1.000,-0.092,-0.658,false,results/final_paper/ablations/can_prefix_length_robustness_splits/long_prefix/split*
long_prefix,long prefixes,0.400,16,60,prefix_state_nn_top40,positive-only,3,120,0,120,240,240,0.000,0.000,0.500,1.000,-0.092,-0.408,false,results/final_paper/ablations/can_prefix_length_robustness_splits/long_prefix/split*
long_prefix,long prefixes,0.400,16,60,prefix_state_nn_top80,positive-only,3,240,23,217,240,240,0.096,0.096,0.904,0.904,0.004,-0.004,true,results/final_paper/ablations/can_prefix_length_robustness_splits/long_prefix/split*
long_prefix,long prefixes,0.400,16,60,prefix_bad_aware_state_action_top120,bad-aware,3,360,235,125,240,240,0.653,0.979,0.521,0.347,0.887,-0.387,true,results/final_paper/ablations/can_prefix_length_robustness_splits/long_prefix/split*
long_prefix,long prefixes,0.400,16,60,prefix_bad_aware_state_action_top20,bad-aware,3,60,47,13,240,240,0.783,0.196,0.054,0.217,0.104,-0.854,true,results/final_paper/ablations/can_prefix_length_robustness_splits/long_prefix/split*
long_prefix,long prefixes,0.400,16,60,prefix_bad_aware_state_action_top40,bad-aware,3,120,100,20,240,240,0.833,0.417,0.083,0.167,0.325,-0.825,true,results/final_paper/ablations/can_prefix_length_robustness_splits/long_prefix/split*
long_prefix,long prefixes,0.400,16,60,prefix_bad_aware_state_action_top80,bad-aware,3,240,198,42,240,240,0.825,0.825,0.175,0.175,0.733,-0.733,true,results/final_paper/ablations/can_prefix_length_robustness_splits/long_prefix/split*
long_prefix,long prefixes,0.400,16,60,prefix_bad_aware_state_top120,bad-aware,3,360,235,125,240,240,0.653,0.979,0.521,0.347,0.887,-0.387,true,results/final_paper/ablations/can_prefix_length_robustness_splits/long_prefix/split*
long_prefix,long prefixes,0.400,16,60,prefix_bad_aware_state_top20,bad-aware,3,60,47,13,240,240,0.783,0.196,0.054,0.217,0.104,-0.854,true,results/final_paper/ablations/can_prefix_length_robustness_splits/long_prefix/split*
long_prefix,long prefixes,0.400,16,60,prefix_bad_aware_state_top40,bad-aware,3,120,102,18,240,240,0.850,0.425,0.075,0.150,0.333,-0.833,true,results/final_paper/ablations/can_prefix_length_robustness_splits/long_prefix/split*
long_prefix,long prefixes,0.400,16,60,prefix_bad_aware_state_top80,bad-aware,3,240,199,41,240,240,0.829,0.829,0.171,0.171,0.737,-0.737,true,results/final_paper/ablations/can_prefix_length_robustness_splits/long_prefix/split*
long_prefix,long prefixes,0.400,16,60,prefix_rank_fusion_badaware_heavy_top40,hybrid,3,120,78,42,240,240,0.650,0.325,0.175,0.350,0.233,-0.733,true,results/final_paper/ablations/can_prefix_length_robustness_splits/long_prefix/split*
long_prefix,long prefixes,0.400,16,60,prefix_rank_fusion_badaware_heavy_top80,hybrid,3,240,154,86,240,240,0.642,0.642,0.358,0.358,0.550,-0.550,true,results/final_paper/ablations/can_prefix_length_robustness_splits/long_prefix/split*
long_prefix,long prefixes,0.400,16,60,prefix_rank_fusion_equal_top40,hybrid,3,120,49,71,240,240,0.408,0.204,0.296,0.592,0.112,-0.612,true,results/final_paper/ablations/can_prefix_length_robustness_splits/long_prefix/split*
long_prefix,long prefixes,0.400,16,60,prefix_rank_fusion_equal_top80,hybrid,3,240,110,130,240,240,0.458,0.458,0.542,0.542,0.366,-0.366,true,results/final_paper/ablations/can_prefix_length_robustness_splits/long_prefix/split*
long_prefix,long prefixes,0.400,16,60,all_unlabeled_soft_reference,soft-reference,3,480,240,240,240,240,0.500,1.000,1.000,0.500,0.908,0.092,false,results/final_paper/ablations/can_prefix_length_robustness_splits/long_prefix/split*
