task,comparison,left_method,right_method,split_seed,initial_demo_id,left_success_mean,right_success_mean,paired_delta,left_rollouts,right_rollouts
Can 40p/80b,TRIAGE-BC - weighted BC,TRIAGE-BC,weighted BC,33,demo_29,0.800,0.600,0.200,5,5
Can 40p/80b,TRIAGE-BC - weighted BC,TRIAGE-BC,weighted BC,33,demo_39,1.000,0.400,0.600,5,5
Can 40p/80b,TRIAGE-BC - weighted BC,TRIAGE-BC,weighted BC,33,demo_45,1.000,0.200,0.800,5,5
Can 40p/80b,TRIAGE-BC - weighted BC,TRIAGE-BC,weighted BC,33,demo_5,0.800,0.000,0.800,5,5
Can 40p/80b,TRIAGE-BC - weighted BC,TRIAGE-BC,weighted BC,33,demo_53,1.000,1.000,0.000,5,5
Can 40p/80b,TRIAGE-BC - weighted BC,TRIAGE-BC,weighted BC,33,demo_81,0.600,1.000,-0.400,5,5
Can 40p/80b,TRIAGE-BC - weighted BC,TRIAGE-BC,weighted BC,33,demo_89,0.000,1.000,-1.000,5,5
Can 40p/80b,TRIAGE-BC - weighted BC,TRIAGE-BC,weighted BC,33,demo_99,0.000,1.000,-1.000,5,5
Can 40p/80b,TRIAGE-BC - all-demo BC,TRIAGE-BC,all-demo BC,11,demo_105,1.000,0.000,1.000,5,5
Can 40p/80b,TRIAGE-BC - all-demo BC,TRIAGE-BC,all-demo BC,11,demo_189,1.000,1.000,0.000,5,5
Can 40p/80b,TRIAGE-BC - all-demo BC,TRIAGE-BC,all-demo BC,11,demo_29,1.000,0.000,1.000,5,5
Can 40p/80b,TRIAGE-BC - all-demo BC,TRIAGE-BC,all-demo BC,11,demo_39,0.000,1.000,-1.000,5,5
Can 40p/80b,TRIAGE-BC - all-demo BC,TRIAGE-BC,all-demo BC,11,demo_45,1.000,0.200,0.800,5,5
Can 40p/80b,TRIAGE-BC - all-demo BC,TRIAGE-BC,all-demo BC,11,demo_5,0.200,0.000,0.200,5,5
