setting_id,setting_label,row_role,split_count,candidate_id,candidate_family,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,total_hidden_positive,total_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,selected_contamination,classifier_score_mean,action_conflict_risk_mean,bad_neighbor_risk_mean,combined_risk_mean,safe_margin_score_mean,audit_oracle_score
can20,Can 20p/80b,diagnostic,3,positive_nn_top20,positive-only,60,49,11,60,240,0.817,0.817,0.046,0.183,0.679,0.120,-1.496,-1.376,1.496,0.771
can20,Can 20p/80b,diagnostic,3,positive_nn_risk_fusion_top20,risk-hybrid,60,59,1,60,240,0.983,0.983,0.004,0.017,0.730,0.085,-1.897,-1.812,1.897,0.979
can20,Can 20p/80b,diagnostic,3,positive_nn_risk_union_top20,union-hybrid,71,59,12,60,240,0.831,0.983,0.050,0.169,0.703,0.098,-1.693,-1.595,1.693,0.933
can40,Can 40p/80b,primary,3,positive_nn_top40,positive-only,120,106,14,120,240,0.883,0.883,0.058,0.117,0.684,0.182,-1.142,-0.960,1.142,0.825
can40,Can 40p/80b,primary,3,positive_nn_risk_fusion_top40,risk-hybrid,120,117,3,120,240,0.975,0.975,0.013,0.025,0.709,0.041,-1.337,-1.295,1.337,0.963
can40,Can 40p/80b,primary,3,positive_nn_risk_union_top40,union-hybrid,135,119,16,120,240,0.881,0.992,0.067,0.119,0.695,0.111,-1.238,-1.126,1.238,0.925
can80,Can 80p/80b,diagnostic,3,positive_nn_top80,positive-only,240,220,20,240,240,0.917,0.917,0.083,0.083,0.696,0.098,-0.812,-0.713,0.812,0.833
can80,Can 80p/80b,diagnostic,3,positive_nn_risk_fusion_top80,risk-hybrid,240,237,3,240,240,0.988,0.988,0.013,0.013,0.717,0.008,-0.954,-0.946,0.954,0.975
can80,Can 80p/80b,diagnostic,3,positive_nn_risk_union_top80,union-hybrid,262,240,22,240,240,0.916,1.000,0.092,0.084,0.706,0.053,-0.883,-0.829,0.883,0.908
lift_mg,Lift MG,primary,3,positive_nn_top160,positive-only,480,342,138,828,3432,0.713,0.413,0.040,0.287,0.762,0.176,-1.398,-1.223,1.398,0.373
lift_mg,Lift MG,primary,3,positive_nn_risk_fusion_top160,risk-hybrid,480,431,49,828,3432,0.898,0.521,0.014,0.102,0.877,-0.096,-1.983,-2.079,1.983,0.506
lift_mg,Lift MG,primary,3,positive_nn_risk_union_top160,union-hybrid,623,455,168,828,3432,0.730,0.550,0.049,0.270,0.817,0.039,-1.663,-1.624,1.663,0.501
