setting_id,setting_label,row_role,split_seed,candidate_id,candidate_family,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,total_hidden_positive,total_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,selected_contamination,classifier_score_mean,pos_state_distance,action_conflict_distance,pos_state_action_distance,neg_state_action_distance,action_conflict_risk,bad_neighbor_risk,positive_distance_risk,negative_neighbor_risk,safe_margin_score,source
can80,Can 80p/80b,diagnostic,33,hybrid_pareto_top80,hybrid,80,73,7,80,80,0.912,0.912,0.087,0.087,0.666,12.467,3.784,13.099,21.203,0.118,-0.838,-0.783,-0.745,0.838,results/final_paper/splits/can_paired_balanced_80p80b_split33/split_indices.json
can80,Can 80p/80b,diagnostic,33,hybrid_rank_fusion_classifier_heavy_top80,hybrid,80,73,7,80,80,0.912,0.912,0.087,0.087,0.667,12.498,3.786,13.130,21.264,0.113,-0.842,-0.777,-0.758,0.842,results/final_paper/splits/can_paired_balanced_80p80b_split33/split_indices.json
can80,Can 80p/80b,diagnostic,33,hybrid_rank_fusion_equal_top80,hybrid,80,73,7,80,80,0.912,0.912,0.087,0.087,0.666,12.467,3.784,13.099,21.203,0.118,-0.838,-0.783,-0.745,0.838,results/final_paper/splits/can_paired_balanced_80p80b_split33/split_indices.json
can80,Can 80p/80b,diagnostic,33,hybrid_union_pos80_classifier40,hybrid,82,73,9,80,80,0.890,0.912,0.113,0.110,0.645,12.659,3.819,13.293,20.971,0.091,-0.790,-0.745,-0.696,0.790,results/final_paper/splits/can_paired_balanced_80p80b_split33/split_indices.json
can80,Can 80p/80b,diagnostic,33,hybrid_union_pos80_triage,hybrid,82,73,9,80,80,0.890,0.912,0.113,0.110,0.645,12.659,3.819,13.293,20.971,0.091,-0.790,-0.745,-0.696,0.790,results/final_paper/splits/can_paired_balanced_80p80b_split33/split_indices.json
can80,Can 80p/80b,diagnostic,33,positive_nn_top120,positive-only,120,78,42,80,80,0.650,0.975,0.525,0.350,0.540,14.545,4.707,15.343,18.713,0.046,-0.302,-0.335,-0.214,0.302,results/final_paper/splits/can_paired_balanced_80p80b_split33/split_indices.json
can80,Can 80p/80b,diagnostic,33,positive_nn_top160,positive-only,160,80,80,80,80,0.500,1.000,1.000,0.500,0.469,16.078,5.407,17.016,17.713,0.000,-0.000,0.000,-0.000,0.000,results/final_paper/splits/can_paired_balanced_80p80b_split33/split_indices.json
can80,Can 80p/80b,diagnostic,33,positive_nn_top40,positive-only,40,40,0,80,80,1.000,0.500,0.000,0.000,0.700,11.082,3.359,11.700,21.108,0.244,-0.986,-1.063,-0.725,0.986,results/final_paper/splits/can_paired_balanced_80p80b_split33/split_indices.json
can80,Can 80p/80b,diagnostic,33,positive_nn_top80,positive-only,80,72,8,80,80,0.900,0.900,0.100,0.100,0.642,12.533,3.771,13.157,20.963,0.099,-0.805,-0.772,-0.694,0.805,results/final_paper/splits/can_paired_balanced_80p80b_split33/split_indices.json
can80,Can 80p/80b,diagnostic,33,triage_existing,bad-aware hard,40,39,1,80,80,0.975,0.487,0.013,0.025,0.761,11.777,3.682,12.460,21.495,0.226,-0.944,-0.911,-0.808,0.944,results/final_paper/splits/can_paired_balanced_80p80b_split33/split_indices.json
lift_mg,Lift MG,primary,11,classifier_top160,bad-aware hard,160,154,6,276,1144,0.963,0.558,0.005,0.037,0.976,13.049,5.009,13.985,20.349,0.151,-1.864,-0.822,-1.171,1.864,results/final_paper/splits/lift_mg_mg_sparse_split11/split_indices.json
lift_mg,Lift MG,primary,11,classifier_top320,bad-aware hard,320,235,85,276,1144,0.734,0.851,0.074,0.266,0.879,13.628,5.087,14.557,18.646,0.015,-1.300,-0.653,-0.750,1.300,results/final_paper/splits/lift_mg_mg_sparse_split11/split_indices.json
lift_mg,Lift MG,primary,11,classifier_top480,bad-aware hard,480,252,228,276,1144,0.525,0.913,0.199,0.475,0.748,14.284,5.366,15.273,17.586,-0.028,-0.860,-0.442,-0.487,0.860,results/final_paper/splits/lift_mg_mg_sparse_split11/split_indices.json
lift_mg,Lift MG,primary,11,classifier_top80,bad-aware hard,80,80,0,276,1144,1.000,0.290,0.000,0.000,0.992,12.463,5.108,13.467,20.279,0.390,-1.975,-0.974,-1.154,1.975,results/final_paper/splits/lift_mg_mg_sparse_split11/split_indices.json
