initial_demo_id,union_success,positive_only_success,risk_fusion_success,union_minus_positive_only,union_minus_risk_fusion
demo_105,0.800,1.000,1.000,-0.200,-0.200
demo_189,0.800,0.800,1.000,0.000,-0.200
demo_29,0.800,1.000,0.600,-0.200,0.200
demo_39,1.000,0.000,0.200,1.000,0.800
demo_45,0.800,1.000,0.000,-0.200,0.800
demo_5,0.000,1.000,1.000,-1.000,-1.000
demo_53,1.000,1.000,1.000,0.000,0.000
demo_81,1.000,0.000,0.600,1.000,0.400
demo_89,0.600,0.800,1.000,-0.200,-0.400
demo_99,1.000,1.000,0.000,0.000,1.000
