recipe,train_demo_count,labeled_positive_count,hidden_positive_demo_count,hidden_bad_demo_count,hidden_positive_transition_count,hidden_bad_transition_count,labeled_positive_mass,hidden_positive_mass,hidden_bad_mass,hidden_bad_unweighted_transition_fraction,hidden_bad_weighted_mass_fraction,hidden_positive_mean_weight,hidden_bad_mean_weight,all_transition_weight_mean,all_transition_weight_min,all_transition_weight_max,transition_effective_sample_size,advantage_mean,advantage_std,topq,score_threshold
raw,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,1673.573301,3071.130312,0.620016,0.647275,0.384288,0.432188,0.466071,0.018316,1.000000,8327.307547,-0.122971,1.298258,0.700000,0.592417
norm,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,1725.179712,3510.336685,0.620016,0.670485,0.396138,0.493996,0.505089,0.018316,1.000000,9091.154796,-0.122971,1.298258,0.700000,0.592417
norm_topq,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,1100.652676,532.651466,0.620016,0.326119,0.252733,0.074958,0.218722,0.000000,1.000000,3542.238997,-0.122971,1.298258,0.700000,0.592417
