method,n_seeds,mean_oracle_best_success,std_oracle_best_success,min_oracle_best_success,max_oracle_best_success
bad_aware_pos_min,3,0.7000000000000001,0.17320508075688776,0.5,0.8
posonly_nn_top160,3,0.5666666666666668,0.05773502691896257,0.5,0.6
