method,epoch,n_seeds,mean_success,std_success,min_success,max_success,mean_return,mean_len
bad_aware_pos_min,50,3,0.13333333333333333,0.11547005383792516,0.0,0.2,0.13333333333333333,133.96666666666667
bad_aware_pos_min,100,3,0.26666666666666666,0.11547005383792516,0.2,0.4,0.26666666666666666,120.60000000000001
bad_aware_pos_min,150,3,0.5333333333333333,0.05773502691896256,0.5,0.6,0.5333333333333333,89.36666666666667
bad_aware_pos_min,200,3,0.6666666666666666,0.23094010767585033,0.4,0.8,0.6666666666666666,75.60000000000001
posonly_nn_top160,50,3,0.39999999999999997,0.17320508075688773,0.2,0.5,0.39999999999999997,106.3
posonly_nn_top160,100,3,0.3,0.17320508075688773,0.2,0.5,0.3,113.39999999999999
posonly_nn_top160,150,3,0.3333333333333333,0.11547005383792516,0.2,0.4,0.3333333333333333,112.76666666666665
posonly_nn_top160,200,3,0.5666666666666668,0.05773502691896257,0.5,0.6,0.5666666666666668,85.60000000000001
