split_seed,candidate_id,candidate_tag,train_epochs,epoch_steps,train_demo_count,selected_unlabeled,selected_hidden_positive,selected_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,success_rate,success_count,eval_episodes,avg_len,checkpoint
101,bad_aware_proxy_top40,bap40,50,100,50,40,21,19,0.525,0.525,0.237,0.2,2,10,127.8,/home/eston/tri-piql/results/final_paper/ablations/lift_hard_negative_endpoint_smoke/split101/bap40/train/lift_hn_s101_bap40_seed0_bc_rnn_e50/20260625185045/models/model_epoch_50.pth
101,state_action_positive_nn_top40,sapn40,50,100,50,40,7,33,0.175,0.175,0.412,0.1,1,10,141.4,/home/eston/tri-piql/results/final_paper/ablations/lift_hard_negative_endpoint_smoke/split101/sapn40/train/lift_hn_s101_sapn40_seed0_bc_rnn_e50/20260625184921/models/model_epoch_50.pth
