split_seed,candidate_id,candidate_tag,train_demo_count,selected_unlabeled,selected_hidden_positive,selected_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,config_path,train_output_dir,eval_output_dir,train_filter_key
101,prefix_state_action_nn_top80,prefix_state_action_nn_top80,90,80,11,69,0.138,0.138,0.863,results/final_paper/ablations/can_prefix_positive_endpoint_200ep/split101/prefix_state_action_nn_top80/setup/config.json,results/final_paper/ablations/can_prefix_positive_endpoint_200ep/split101/prefix_state_action_nn_top80/train,results/final_paper/ablations/can_prefix_positive_endpoint_200ep/split101/prefix_state_action_nn_top80/eval_smoke,prefix_can200_s101_prefix_state_action_nn_top80_seed0_train
101,prefix_bad_aware_state_top80,prefix_bad_aware_state_top80,90,80,50,30,0.625,0.625,0.375,results/final_paper/ablations/can_prefix_positive_endpoint_200ep/split101/prefix_bad_aware_state_top80/setup/config.json,results/final_paper/ablations/can_prefix_positive_endpoint_200ep/split101/prefix_bad_aware_state_top80/train,results/final_paper/ablations/can_prefix_positive_endpoint_200ep/split101/prefix_bad_aware_state_top80/eval_smoke,prefix_can200_s101_prefix_bad_aware_state_top80_seed0_train
