split_seed,candidate_id,candidate_tag,train_epochs,epoch_steps,train_demo_count,selected_unlabeled,selected_hidden_positive,selected_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,success_count,eval_episodes,success_rate,avg_return,avg_len,checkpoint
101,prefix_bad_aware_state_top80,prefix_bad_aware_state_top80,200,100,90,80,50,30,0.625,0.625,0.375,26,50,0.52,0.52,248.52,/home/eston/tri-piql/results/final_paper/ablations/can_prefix_positive_endpoint_200ep/split101/prefix_bad_aware_state_top80/train/prefix_can_s101_prefix_bad_aware_state_top80_seed0_bc_rnn_e200/20260625064252/models/model_epoch_200.pth
101,prefix_state_action_nn_top80,prefix_state_action_nn_top80,200,100,90,80,11,69,0.138,0.138,0.863,1,50,0.02,0.02,394.6,/home/eston/tri-piql/results/final_paper/ablations/can_prefix_positive_endpoint_200ep/split101/prefix_state_action_nn_top80/train/prefix_can_s101_prefix_state_action_nn_top80_seed0_bc_rnn_e200/20260625064717/models/model_epoch_200.pth
