method,original_10ep_mean,success_50ep_mean_by_seed,success_50ep_std_by_seed,pooled_success_50ep,pooled_successes,pooled_episodes,approx_se,approx_ci95_low,approx_ci95_high
bad-aware pos-min,0.6666666666666666,0.6000000000000001,0.0653197264742181,0.6,90,150,0.04,0.5216,0.6784
weighted probability sampler,0.5333333333333333,0.5333333333333333,0.024944382578492966,0.5333333333333333,80,150,0.04073400617738524,0.4534946812256583,0.6131719854410084
positive-only NN top160,0.5666666666666668,0.56,0.04898979485566356,0.56,84,150,0.04052982440952177,0.4805615441573374,0.6394384558426627
