split,feature_set,quantile,threshold,demo_id,score,selected_policy,success,positive_success,triage_success
lift606,policy,0.5,0.8715,demo_1310,0.035425,triage,1,1,1
lift606,policy,0.5,0.8715,demo_1339,0.660449,triage,0,0,0
lift606,obs,0.1,0.387067,demo_933,0.390594,positive,1,1,1
lift606,obs,0.1,0.387067,demo_952,0.35933,triage,1,1,1
lift606,obs,0.1,0.387067,demo_1029,0.261183,triage,0,1,0
lift606,obs,0.1,0.387067,demo_1047,0.869113,positive,0,0,1
lift606,obs,0.1,0.387067,demo_1084,0.814186,positive,1,1,1
lift606,obs,0.1,0.387067,demo_1100,0.4147,positive,1,1,0
lift606,obs,0.1,0.387067,demo_1112,0.876764,positive,1,1,1
lift606,obs,0.1,0.387067,demo_1116,0.669624,positive,1,1,0
lift606,obs,0.1,0.387067,demo_1141,0.928066,positive,0,0,1
lift606,obs,0.1,0.387067,demo_1190,0.732919,positive,1,1,1
lift606,obs,0.1,0.387067,demo_1204,0.392265,positive,1,1,1
lift606,obs,0.1,0.387067,demo_1205,0.937971,positive,0,0,1
lift606,obs,0.1,0.387067,demo_1244,0.411114,positive,1,1,1
lift606,obs,0.1,0.387067,demo_1283,0.230331,triage,0,0,0
lift606,obs,0.1,0.387067,demo_1294,0.731125,positive,0,0,0
lift606,obs,0.1,0.387067,demo_1296,0.895739,positive,1,1,1
lift606,obs,0.1,0.387067,demo_1300,0.345142,triage,1,1,1
lift606,obs,0.1,0.387067,demo_1306,0.971704,positive,1,1,0
lift606,obs,0.1,0.387067,demo_1310,0.798846,positive,1,1,1
lift606,obs,0.1,0.387067,demo_1339,0.957475,positive,0,0,0
lift606,obs,0.25,0.470329,demo_933,0.390594,triage,1,1,1
lift606,obs,0.25,0.470329,demo_952,0.35933,triage,1,1,1
lift606,obs,0.25,0.470329,demo_1029,0.261183,triage,0,1,0
lift606,obs,0.25,0.470329,demo_1047,0.869113,positive,0,0,1
lift606,obs,0.25,0.470329,demo_1084,0.814186,positive,1,1,1
lift606,obs,0.25,0.470329,demo_1100,0.4147,triage,0,1,0
lift606,obs,0.25,0.470329,demo_1112,0.876764,positive,1,1,1
lift606,obs,0.25,0.470329,demo_1116,0.669624,positive,1,1,0
lift606,obs,0.25,0.470329,demo_1141,0.928066,positive,0,0,1
lift606,obs,0.25,0.470329,demo_1190,0.732919,positive,1,1,1
lift606,obs,0.25,0.470329,demo_1204,0.392265,triage,1,1,1
lift606,obs,0.25,0.470329,demo_1205,0.937971,positive,0,0,1
lift606,obs,0.25,0.470329,demo_1244,0.411114,triage,1,1,1
lift606,obs,0.25,0.470329,demo_1283,0.230331,triage,0,0,0
lift606,obs,0.25,0.470329,demo_1294,0.731125,positive,0,0,0
lift606,obs,0.25,0.470329,demo_1296,0.895739,positive,1,1,1
lift606,obs,0.25,0.470329,demo_1300,0.345142,triage,1,1,1
lift606,obs,0.25,0.470329,demo_1306,0.971704,positive,1,1,0
lift606,obs,0.25,0.470329,demo_1310,0.798846,positive,1,1,1
lift606,obs,0.25,0.470329,demo_1339,0.957475,positive,0,0,0
lift606,obs,0.5,0.765033,demo_933,0.390594,triage,1,1,1
lift606,obs,0.5,0.765033,demo_952,0.35933,triage,1,1,1
lift606,obs,0.5,0.765033,demo_1029,0.261183,triage,0,1,0
lift606,obs,0.5,0.765033,demo_1047,0.869113,positive,0,0,1
lift606,obs,0.5,0.765033,demo_1084,0.814186,positive,1,1,1
lift606,obs,0.5,0.765033,demo_1100,0.4147,triage,0,1,0
lift606,obs,0.5,0.765033,demo_1112,0.876764,positive,1,1,1
lift606,obs,0.5,0.765033,demo_1116,0.669624,triage,0,1,0
lift606,obs,0.5,0.765033,demo_1141,0.928066,positive,0,0,1
lift606,obs,0.5,0.765033,demo_1190,0.732919,triage,1,1,1
lift606,obs,0.5,0.765033,demo_1204,0.392265,triage,1,1,1
lift606,obs,0.5,0.765033,demo_1205,0.937971,positive,0,0,1
lift606,obs,0.5,0.765033,demo_1244,0.411114,triage,1,1,1
lift606,obs,0.5,0.765033,demo_1283,0.230331,triage,0,0,0
lift606,obs,0.5,0.765033,demo_1294,0.731125,triage,0,0,0
lift606,obs,0.5,0.765033,demo_1296,0.895739,positive,1,1,1
lift606,obs,0.5,0.765033,demo_1300,0.345142,triage,1,1,1
lift606,obs,0.5,0.765033,demo_1306,0.971704,positive,1,1,0
lift606,obs,0.5,0.765033,demo_1310,0.798846,positive,1,1,1
lift606,obs,0.5,0.765033,demo_1339,0.957475,positive,0,0,0
lift606,obs_policy,0.1,0.630139,demo_933,0.013362,triage,1,1,1
lift606,obs_policy,0.1,0.630139,demo_952,0.362743,triage,1,1,1
lift606,obs_policy,0.1,0.630139,demo_1029,0.039866,triage,0,1,0
lift606,obs_policy,0.1,0.630139,demo_1047,0.014733,triage,1,0,1
lift606,obs_policy,0.1,0.630139,demo_1084,0.857217,positive,1,1,1
lift606,obs_policy,0.1,0.630139,demo_1100,0.517212,triage,0,1,0
lift606,obs_policy,0.1,0.630139,demo_1112,0.269981,triage,1,1,1
lift606,obs_policy,0.1,0.630139,demo_1116,0.338341,triage,0,1,0
lift606,obs_policy,0.1,0.630139,demo_1141,0.784848,positive,0,0,1
lift606,obs_policy,0.1,0.630139,demo_1190,0.986754,positive,1,1,1
lift606,obs_policy,0.1,0.630139,demo_1204,0.657099,positive,1,1,1
lift606,obs_policy,0.1,0.630139,demo_1205,0.814907,positive,0,0,1
lift606,obs_policy,0.1,0.630139,demo_1244,0.778539,positive,1,1,1
lift606,obs_policy,0.1,0.630139,demo_1283,0.018994,triage,0,0,0
lift606,obs_policy,0.1,0.630139,demo_1294,0.062575,triage,0,0,0
lift606,obs_policy,0.1,0.630139,demo_1296,0.457102,triage,1,1,1
lift606,obs_policy,0.1,0.630139,demo_1300,0.593054,triage,1,1,1
lift606,obs_policy,0.1,0.630139,demo_1306,0.993659,positive,1,1,0
lift606,obs_policy,0.1,0.630139,demo_1310,0.36895,triage,1,1,1
lift606,obs_policy,0.1,0.630139,demo_1339,0.97682,positive,0,0,0
lift606,obs_policy,0.25,0.830022,demo_933,0.013362,triage,1,1,1
lift606,obs_policy,0.25,0.830022,demo_952,0.362743,triage,1,1,1
lift606,obs_policy,0.25,0.830022,demo_1029,0.039866,triage,0,1,0
lift606,obs_policy,0.25,0.830022,demo_1047,0.014733,triage,1,0,1
lift606,obs_policy,0.25,0.830022,demo_1084,0.857217,positive,1,1,1
lift606,obs_policy,0.25,0.830022,demo_1100,0.517212,triage,0,1,0
lift606,obs_policy,0.25,0.830022,demo_1112,0.269981,triage,1,1,1
lift606,obs_policy,0.25,0.830022,demo_1116,0.338341,triage,0,1,0
lift606,obs_policy,0.25,0.830022,demo_1141,0.784848,triage,1,0,1
lift606,obs_policy,0.25,0.830022,demo_1190,0.986754,positive,1,1,1
lift606,obs_policy,0.25,0.830022,demo_1204,0.657099,triage,1,1,1
lift606,obs_policy,0.25,0.830022,demo_1205,0.814907,triage,1,0,1
lift606,obs_policy,0.25,0.830022,demo_1244,0.778539,triage,1,1,1
lift606,obs_policy,0.25,0.830022,demo_1283,0.018994,triage,0,0,0
lift606,obs_policy,0.25,0.830022,demo_1294,0.062575,triage,0,0,0
lift606,obs_policy,0.25,0.830022,demo_1296,0.457102,triage,1,1,1
lift606,obs_policy,0.25,0.830022,demo_1300,0.593054,triage,1,1,1
lift606,obs_policy,0.25,0.830022,demo_1306,0.993659,positive,1,1,0
lift606,obs_policy,0.25,0.830022,demo_1310,0.36895,triage,1,1,1
lift606,obs_policy,0.25,0.830022,demo_1339,0.97682,positive,0,0,0
lift606,obs_policy,0.5,0.928934,demo_933,0.013362,triage,1,1,1
lift606,obs_policy,0.5,0.928934,demo_952,0.362743,triage,1,1,1
lift606,obs_policy,0.5,0.928934,demo_1029,0.039866,triage,0,1,0
lift606,obs_policy,0.5,0.928934,demo_1047,0.014733,triage,1,0,1
lift606,obs_policy,0.5,0.928934,demo_1084,0.857217,triage,1,1,1
lift606,obs_policy,0.5,0.928934,demo_1100,0.517212,triage,0,1,0
lift606,obs_policy,0.5,0.928934,demo_1112,0.269981,triage,1,1,1
lift606,obs_policy,0.5,0.928934,demo_1116,0.338341,triage,0,1,0
lift606,obs_policy,0.5,0.928934,demo_1141,0.784848,triage,1,0,1
lift606,obs_policy,0.5,0.928934,demo_1190,0.986754,positive,1,1,1
lift606,obs_policy,0.5,0.928934,demo_1204,0.657099,triage,1,1,1
lift606,obs_policy,0.5,0.928934,demo_1205,0.814907,triage,1,0,1
lift606,obs_policy,0.5,0.928934,demo_1244,0.778539,triage,1,1,1
lift606,obs_policy,0.5,0.928934,demo_1283,0.018994,triage,0,0,0
lift606,obs_policy,0.5,0.928934,demo_1294,0.062575,triage,0,0,0
lift606,obs_policy,0.5,0.928934,demo_1296,0.457102,triage,1,1,1
lift606,obs_policy,0.5,0.928934,demo_1300,0.593054,triage,1,1,1
lift606,obs_policy,0.5,0.928934,demo_1306,0.993659,positive,1,1,0
lift606,obs_policy,0.5,0.928934,demo_1310,0.36895,triage,1,1,1
lift606,obs_policy,0.5,0.928934,demo_1339,0.97682,positive,0,0,0
lift707,policy,0.1,0.743305,demo_453,0.88372,positive,1,1,0
lift707,policy,0.1,0.743305,demo_1022,0.251575,triage,0,0,0
lift707,policy,0.1,0.743305,demo_1023,0.921265,positive,1,1,1
lift707,policy,0.1,0.743305,demo_1047,0.996313,positive,0,0,0
lift707,policy,0.1,0.743305,demo_1057,0.742989,triage,0,0,0
lift707,policy,0.1,0.743305,demo_1112,0.979075,positive,1,1,1
lift707,policy,0.1,0.743305,demo_1162,0.966953,positive,1,1,1
lift707,policy,0.1,0.743305,demo_1193,0.812713,positive,0,0,1
lift707,policy,0.1,0.743305,demo_1204,0.864774,positive,1,1,0
lift707,policy,0.1,0.743305,demo_1209,0.054096,triage,1,1,1
lift707,policy,0.1,0.743305,demo_1222,0.406778,triage,1,1,1
lift707,policy,0.1,0.743305,demo_1230,0.123308,triage,0,0,0
lift707,policy,0.1,0.743305,demo_1265,0.676112,triage,0,1,0
lift707,policy,0.1,0.743305,demo_1276,0.967858,positive,1,1,1
lift707,policy,0.1,0.743305,demo_1314,0.943219,positive,1,1,0
lift707,policy,0.1,0.743305,demo_1332,0.971017,positive,1,1,1
lift707,policy,0.1,0.743305,demo_1351,0.179725,triage,0,0,0
lift707,policy,0.1,0.743305,demo_1361,0.042984,triage,0,0,0
lift707,policy,0.1,0.743305,demo_1377,0.54696,triage,1,1,1
lift707,policy,0.1,0.743305,demo_1401,0.821996,positive,0,0,0
lift707,policy,0.25,0.834395,demo_453,0.88372,positive,1,1,0
lift707,policy,0.25,0.834395,demo_1022,0.251575,triage,0,0,0
lift707,policy,0.25,0.834395,demo_1023,0.921265,positive,1,1,1
lift707,policy,0.25,0.834395,demo_1047,0.996313,positive,0,0,0
lift707,policy,0.25,0.834395,demo_1057,0.742989,triage,0,0,0
lift707,policy,0.25,0.834395,demo_1112,0.979075,positive,1,1,1
lift707,policy,0.25,0.834395,demo_1162,0.966953,positive,1,1,1
lift707,policy,0.25,0.834395,demo_1193,0.812713,triage,1,0,1
lift707,policy,0.25,0.834395,demo_1204,0.864774,positive,1,1,0
lift707,policy,0.25,0.834395,demo_1209,0.054096,triage,1,1,1
lift707,policy,0.25,0.834395,demo_1222,0.406778,triage,1,1,1
lift707,policy,0.25,0.834395,demo_1230,0.123308,triage,0,0,0
lift707,policy,0.25,0.834395,demo_1265,0.676112,triage,0,1,0
lift707,policy,0.25,0.834395,demo_1276,0.967858,positive,1,1,1
lift707,policy,0.25,0.834395,demo_1314,0.943219,positive,1,1,0
lift707,policy,0.25,0.834395,demo_1332,0.971017,positive,1,1,1
lift707,policy,0.25,0.834395,demo_1351,0.179725,triage,0,0,0
lift707,policy,0.25,0.834395,demo_1361,0.042984,triage,0,0,0
lift707,policy,0.25,0.834395,demo_1377,0.54696,triage,1,1,1
lift707,policy,0.25,0.834395,demo_1401,0.821996,triage,0,0,0
lift707,policy,0.5,0.901315,demo_453,0.88372,triage,0,1,0
lift707,policy,0.5,0.901315,demo_1022,0.251575,triage,0,0,0
lift707,policy,0.5,0.901315,demo_1023,0.921265,positive,1,1,1
lift707,policy,0.5,0.901315,demo_1047,0.996313,positive,0,0,0
lift707,policy,0.5,0.901315,demo_1057,0.742989,triage,0,0,0
lift707,policy,0.5,0.901315,demo_1112,0.979075,positive,1,1,1
lift707,policy,0.5,0.901315,demo_1162,0.966953,positive,1,1,1
lift707,policy,0.5,0.901315,demo_1193,0.812713,triage,1,0,1
lift707,policy,0.5,0.901315,demo_1204,0.864774,triage,0,1,0
lift707,policy,0.5,0.901315,demo_1209,0.054096,triage,1,1,1
lift707,policy,0.5,0.901315,demo_1222,0.406778,triage,1,1,1
lift707,policy,0.5,0.901315,demo_1230,0.123308,triage,0,0,0
lift707,policy,0.5,0.901315,demo_1265,0.676112,triage,0,1,0
lift707,policy,0.5,0.901315,demo_1276,0.967858,positive,1,1,1
lift707,policy,0.5,0.901315,demo_1314,0.943219,positive,1,1,0
lift707,policy,0.5,0.901315,demo_1332,0.971017,positive,1,1,1
lift707,policy,0.5,0.901315,demo_1351,0.179725,triage,0,0,0
lift707,policy,0.5,0.901315,demo_1361,0.042984,triage,0,0,0
lift707,policy,0.5,0.901315,demo_1377,0.54696,triage,1,1,1
lift707,policy,0.5,0.901315,demo_1401,0.821996,triage,0,0,0
lift707,obs,0.1,0.414547,demo_453,0.317407,triage,0,1,0
lift707,obs,0.1,0.414547,demo_1022,0.311371,triage,0,0,0
lift707,obs,0.1,0.414547,demo_1023,0.897619,positive,1,1,1
lift707,obs,0.1,0.414547,demo_1047,0.552311,positive,0,0,0
lift707,obs,0.1,0.414547,demo_1057,0.539061,positive,0,0,0
lift707,obs,0.1,0.414547,demo_1112,0.694341,positive,1,1,1
lift707,obs,0.1,0.414547,demo_1162,0.496581,positive,1,1,1
lift707,obs,0.1,0.414547,demo_1193,0.876549,positive,0,0,1
lift707,obs,0.1,0.414547,demo_1204,0.416859,positive,1,1,0
lift707,obs,0.1,0.414547,demo_1209,0.336107,triage,1,1,1
lift707,obs,0.1,0.414547,demo_1222,0.328874,triage,1,1,1
lift707,obs,0.1,0.414547,demo_1230,0.399215,triage,0,0,0
lift707,obs,0.1,0.414547,demo_1265,0.527637,positive,1,1,0
lift707,obs,0.1,0.414547,demo_1276,0.630688,positive,1,1,1
lift707,obs,0.1,0.414547,demo_1314,0.677885,positive,1,1,0
lift707,obs,0.1,0.414547,demo_1332,0.772659,positive,1,1,1
