threshold,successes,episodes,switches
0.946463,14,20,14
1.009414,14,20,13
1.07892,14,20,12
1.683104,14,20,6
1.785377,14,20,5
1.874567,14,20,4
2.089064,14,20,3
3.327602,14,20,0
