initial_demo_id,initial_positive_pos_dist,positive,triage,weighted,margin_labeled,anchor_labeled,anchor_support,init_posdist3,oracle_pos_triage_weighted
demo_933,2.280389,1,1,1,0,0,1,1,1
demo_952,1.446,1,1,1,1,1,1,1,1
demo_1029,1.618273,1,0,0,0,0,0,1,1
demo_1047,2.251813,0,1,0,0,0,1,0,1
demo_1084,0.778626,1,1,0,1,1,0,1,1
demo_1100,0.929772,1,0,1,1,1,1,1,1
demo_1112,1.82282,1,1,1,1,1,0,1,1
demo_1116,1.479196,1,0,0,1,1,1,1,1
demo_1141,1.197541,0,1,1,0,0,1,0,1
demo_1190,0.815698,1,1,0,1,1,1,1,1
demo_1204,0.600623,1,1,1,1,1,1,1,1
demo_1205,1.102166,0,1,0,1,1,1,0,1
demo_1244,0.963153,1,1,0,0,0,0,1,1
demo_1283,1.489258,0,0,0,0,0,1,0,0
demo_1294,1.926314,0,0,0,0,0,0,0,0
demo_1296,1.055675,1,1,0,1,1,0,1,1
demo_1300,0.688384,1,1,0,1,1,0,1,1
demo_1306,2.327602,1,0,0,0,0,0,1,1
demo_1310,1.747935,1,1,0,0,0,0,1,1
demo_1339,0.881848,0,0,0,1,1,0,0,0
