feature,direction,threshold,successes,episodes,switches
triage_minus_positive_logit_gap,gt,0.795782,13,20,1
triage_minus_positive_logit_gap,gt,0.745513,13,20,2
triage_minus_positive_top_prob,gt,0.209232,13,20,2
triage_minus_positive_logit_gap,gt,0.697046,13,20,3
triage_minus_positive_top_prob,gt,0.196373,13,20,3
positive_logp_margin_vs_triage,lt,1.543361,13,20,5
triage_logp_margin_vs_positive,gt,3.104578,13,20,7
positive_support_margin,lt,0.574561,13,20,9
triage_logp_under_positive,lt,4.918347,13,20,10
triage_logp_under_positive,lt,5.233951,13,20,11
positive_entropy,gt,1.344483,12,20,0
positive_entropy,lt,0.999495,12,20,0
positive_logit_gap,gt,1.000368,12,20,0
positive_logit_gap,lt,0.031977,12,20,0
positive_logp_margin_vs_triage,gt,4.171999,12,20,0
positive_logp_margin_vs_triage,lt,-1.292725,12,20,0
positive_logp_self,gt,10.025168,12,20,0
positive_logp_self,lt,1.654362,12,20,0
positive_logp_under_triage,gt,7.952222,12,20,0
positive_logp_under_triage,lt,-1.560674,12,20,0
positive_support_margin,gt,2.677277,12,20,0
positive_support_margin,lt,-0.561431,12,20,0
positive_support_pos_dist,gt,2.099966,12,20,0
positive_support_pos_dist,lt,0.522989,12,20,0
positive_top_prob,gt,0.582706,12,20,0
positive_top_prob,lt,0.317527,12,20,0
positive_top_scale_mean,gt,0.327138,12,20,0
positive_top_scale_mean,lt,0.121072,12,20,0
positive_triage_action_l2,gt,1.012305,12,20,0
positive_triage_action_l2,lt,0.237427,12,20,0
triage_entropy,gt,1.214346,12,20,0
triage_entropy,lt,0.961301,12,20,0
triage_logit_gap,gt,1.384471,12,20,0
triage_logit_gap,lt,0.137053,12,20,0
triage_logp_margin_vs_positive,gt,6.723414,12,20,0
triage_logp_margin_vs_positive,lt,-0.556491,12,20,0
triage_logp_self,gt,8.358642,12,20,0
triage_logp_self,lt,4.711087,12,20,0
triage_logp_under_positive,gt,8.895915,12,20,0
triage_logp_under_positive,lt,0.808958,12,20,0
triage_minus_positive_entropy,gt,0.21485,12,20,0
triage_minus_positive_entropy,lt,-0.280286,12,20,0
triage_minus_positive_logit_gap,gt,0.818496,12,20,0
triage_minus_positive_logit_gap,lt,-0.212528,12,20,0
triage_minus_positive_support_margin,gt,0.633068,12,20,0
triage_minus_positive_support_margin,lt,-0.589117,12,20,0
triage_minus_positive_top_prob,gt,0.24646,12,20,0
triage_minus_positive_top_prob,lt,-0.057826,12,20,0
triage_support_margin,gt,2.200735,12,20,0
triage_support_margin,lt,-0.774046,12,20,0
triage_top_prob,gt,0.66021,12,20,0
triage_top_prob,lt,0.423218,12,20,0
triage_top_scale_mean,gt,0.24662,12,20,0
triage_top_scale_mean,lt,0.158941,12,20,0
positive_entropy,lt,1.012025,12,20,1
positive_logit_gap,gt,0.975484,12,20,1
positive_logit_gap,lt,0.034509,12,20,1
positive_logp_margin_vs_triage,gt,4.01081,12,20,1
positive_logp_margin_vs_triage,lt,-0.919273,12,20,1
positive_logp_self,gt,10.004749,12,20,1
positive_logp_under_triage,gt,7.842147,12,20,1
positive_support_margin,gt,2.432721,12,20,1
positive_support_margin,lt,-0.55872,12,20,1
positive_support_pos_dist,gt,1.992509,12,20,1
positive_top_prob,gt,0.553702,12,20,1
positive_top_prob,lt,0.318113,12,20,1
positive_top_scale_mean,gt,0.325941,12,20,1
positive_triage_action_l2,gt,0.940419,12,20,1
positive_triage_action_l2,lt,0.24388,12,20,1
triage_entropy,gt,1.208591,12,20,1
triage_entropy,lt,0.967866,12,20,1
triage_logit_gap,lt,0.162003,12,20,1
triage_logp_margin_vs_positive,gt,5.7147,12,20,1
triage_logp_margin_vs_positive,lt,-0.219418,12,20,1
triage_logp_self,lt,4.829873,12,20,1
triage_logp_under_positive,gt,8.244274,12,20,1
triage_logp_under_positive,lt,1.59295,12,20,1
triage_minus_positive_entropy,gt,0.187412,12,20,1
triage_minus_positive_logit_gap,lt,-0.167147,12,20,1
triage_minus_positive_support_margin,gt,0.406674,12,20,1
triage_minus_positive_support_margin,lt,-0.526569,12,20,1
triage_minus_positive_top_prob,gt,0.232091,12,20,1
triage_minus_positive_top_prob,lt,-0.050081,12,20,1
triage_support_margin,gt,2.194586,12,20,1
triage_support_margin,lt,-0.653594,12,20,1
triage_top_prob,lt,0.425707,12,20,1
triage_top_scale_mean,gt,0.244568,12,20,1
triage_top_scale_mean,lt,0.159873,12,20,1
positive_entropy,lt,1.036701,12,20,2
positive_logit_gap,lt,0.055018,12,20,2
positive_logp_margin_vs_triage,gt,3.611498,12,20,2
positive_logp_margin_vs_triage,lt,-0.434456,12,20,2
positive_logp_self,gt,9.923096,12,20,2
positive_logp_under_triage,gt,7.704942,12,20,2
positive_support_margin,gt,2.172978,12,20,2
positive_support_margin,lt,-0.504487,12,20,2
positive_support_pos_dist,gt,1.665428,12,20,2
positive_support_pos_dist,lt,0.71299,12,20,2
positive_top_prob,lt,0.329427,12,20,2
positive_top_scale_mean,gt,0.319889,12,20,2
positive_top_scale_mean,lt,0.124331,12,20,2
positive_triage_action_l2,gt,0.777742,12,20,2
positive_triage_action_l2,lt,0.254391,12,20,2
triage_entropy,gt,1.193682,12,20,2
triage_entropy,lt,0.97851,12,20,2
triage_logit_gap,lt,0.226694,12,20,2
triage_logp_margin_vs_positive,gt,4.600599,12,20,2
triage_logp_margin_vs_positive,lt,0.30718,12,20,2
triage_logp_self,lt,5.564533,12,20,2
triage_logp_under_positive,gt,7.346671,12,20,2
triage_logp_under_positive,lt,2.581556,12,20,2
triage_minus_positive_entropy,gt,0.080365,12,20,2
triage_minus_positive_support_margin,gt,0.170094,12,20,2
triage_minus_positive_support_margin,lt,-0.44512,12,20,2
triage_minus_positive_top_prob,lt,-0.009972,12,20,2
triage_support_margin,gt,2.152182,12,20,2
triage_support_margin,lt,-0.307203,12,20,2
triage_top_prob,lt,0.439804,12,20,2
triage_top_scale_mean,gt,0.222886,12,20,2
triage_top_scale_mean,lt,0.163667,12,20,2
positive_entropy,lt,1.073062,12,20,3
positive_logit_gap,lt,0.088538,12,20,3
positive_logp_margin_vs_triage,lt,-0.024519,12,20,3
positive_support_margin,lt,-0.278912,12,20,3
positive_support_pos_dist,gt,1.418957,12,20,3
positive_support_pos_dist,lt,0.814866,12,20,3
positive_top_scale_mean,gt,0.310948,12,20,3
positive_top_scale_mean,lt,0.127752,12,20,3
positive_triage_action_l2,gt,0.604128,12,20,3
positive_triage_action_l2,lt,0.260273,12,20,3
triage_entropy,gt,1.169075,12,20,3
triage_logit_gap,lt,0.287858,12,20,3
triage_logp_margin_vs_positive,gt,4.409102,12,20,3
triage_logp_self,lt,6.44017,12,20,3
triage_logp_under_positive,gt,6.979646,12,20,3
triage_logp_under_positive,lt,2.805459,12,20,3
triage_minus_positive_entropy,gt,-0.01726,12,20,3
triage_minus_positive_support_margin,gt,0.109341,12,20,3
triage_minus_positive_top_prob,lt,0.036219,12,20,3
triage_support_margin,lt,-0.040573,12,20,3
triage_top_prob,lt,0.469728,12,20,3
triage_top_scale_mean,gt,0.200639,12,20,3
positive_entropy,lt,1.127242,12,20,4
positive_logit_gap,lt,0.105552,12,20,4
positive_logp_margin_vs_triage,lt,0.866433,12,20,4
positive_support_margin,lt,-0.06704,12,20,4
positive_support_pos_dist,gt,1.261509,12,20,4
positive_support_pos_dist,lt,0.856322,12,20,4
positive_top_scale_mean,gt,0.30072,12,20,4
positive_top_scale_mean,lt,0.131457,12,20,4
positive_triage_action_l2,gt,0.494747,12,20,4
positive_triage_action_l2,lt,0.263178,12,20,4
triage_entropy,gt,1.150789,12,20,4
triage_logit_gap,gt,1.070196,12,20,4
triage_logit_gap,lt,0.372396,12,20,4
triage_logp_margin_vs_positive,gt,4.311738,12,20,4
triage_logp_self,gt,8.0133,12,20,4
triage_logp_self,lt,6.912583,12,20,4
triage_logp_under_positive,lt,2.920311,12,20,4
triage_minus_positive_entropy,gt,-0.074657,12,20,4
triage_minus_positive_entropy,lt,-0.242899,12,20,4
triage_minus_positive_logit_gap,gt,0.657836,12,20,4
triage_minus_positive_top_prob,gt,0.190464,12,20,4
triage_support_margin,lt,0.037769,12,20,4
triage_top_prob,lt,0.488739,12,20,4
triage_top_scale_mean,gt,0.197244,12,20,4
positive_entropy,lt,1.175565,12,20,5
positive_logit_gap,lt,0.117098,12,20,5
positive_support_margin,lt,0.032136,12,20,5
positive_support_pos_dist,gt,1.119684,12,20,5
positive_support_pos_dist,lt,0.885294,12,20,5
positive_top_scale_mean,lt,0.134883,12,20,5
positive_triage_action_l2,gt,0.446029,12,20,5
triage_entropy,gt,1.145441,12,20,5
triage_logit_gap,lt,0.451158,12,20,5
triage_logp_margin_vs_positive,gt,4.103814,12,20,5
triage_logp_self,lt,7.132868,12,20,5
triage_logp_under_positive,lt,3.124617,12,20,5
triage_minus_positive_entropy,lt,-0.224823,12,20,5
triage_minus_positive_logit_gap,gt,0.579602,12,20,5
triage_minus_positive_top_prob,gt,0.182462,12,20,5
triage_support_margin,lt,0.127762,12,20,5
