feature,direction,threshold,successes,episodes,switches
positive_logp_under_triage,lt,5.928396,16,20,3
positive_logp_under_triage,lt,6.269868,16,20,4
positive_entropy,lt,1.212422,16,20,6
positive_entropy,lt,1.232623,16,20,7
positive_top_prob,gt,0.483061,16,20,7
positive_top_prob,gt,0.474613,16,20,8
triage_minus_positive_support_margin,lt,-0.008534,16,20,15
triage_minus_positive_support_margin,lt,-0.000362,16,20,16
positive_logit_gap,gt,0.979423,15,20,1
positive_top_scale_max,lt,0.254929,15,20,1
positive_top_scale_mean,lt,0.106942,15,20,1
triage_logp_under_positive,gt,9.446794,15,20,1
triage_minus_positive_logit_gap,lt,-0.364104,15,20,1
positive_logit_gap,gt,0.873239,15,20,2
positive_logp_under_triage,gt,8.29807,15,20,2
positive_logp_under_triage,lt,5.406327,15,20,2
positive_top_prob,gt,0.561214,15,20,2
positive_top_scale_mean,lt,0.115686,15,20,2
triage_logp_under_positive,gt,9.100467,15,20,2
triage_minus_positive_logit_gap,gt,0.903023,15,20,2
triage_minus_positive_logit_gap,lt,-0.255716,15,20,2
triage_minus_positive_top_prob,gt,0.206498,15,20,2
positive_logit_gap,gt,0.859952,15,20,3
positive_logp_under_triage,gt,8.146801,15,20,3
positive_top_prob,gt,0.548134,15,20,3
triage_logp_under_positive,gt,8.71272,15,20,3
positive_entropy,lt,1.145709,15,20,4
positive_logit_gap,gt,0.819551,15,20,4
positive_logp_under_triage,gt,8.000018,15,20,4
positive_top_prob,gt,0.523697,15,20,4
positive_top_scale_mean,gt,0.149247,15,20,4
positive_triage_action_l2,lt,0.107628,15,20,4
triage_logp_under_positive,gt,8.384771,15,20,4
positive_entropy,lt,1.184423,15,20,5
positive_logp_under_triage,gt,7.875712,15,20,5
positive_logp_under_triage,lt,6.577904,15,20,5
positive_top_prob,gt,0.497865,15,20,5
positive_top_scale_mean,gt,0.146266,15,20,5
positive_triage_action_l2,gt,0.343274,15,20,5
positive_triage_action_l2,lt,0.115804,15,20,5
triage_logp_under_positive,gt,8.093587,15,20,5
positive_logp_under_triage,gt,7.826568,15,20,6
positive_top_prob,gt,0.492539,15,20,6
positive_top_scale_max,gt,0.404336,15,20,6
positive_top_scale_mean,gt,0.143313,15,20,6
positive_triage_action_l2,lt,0.13635,15,20,6
triage_logit_gap,gt,1.071919,15,20,6
triage_logp_under_positive,gt,8.000896,15,20,6
positive_logp_under_triage,gt,7.748299,15,20,7
positive_support_margin,gt,0.273096,15,20,7
positive_top_scale_max,gt,0.394844,15,20,7
triage_logp_under_positive,gt,7.954616,15,20,7
positive_entropy,lt,1.253659,15,20,8
positive_logp_under_triage,gt,7.704161,15,20,8
positive_support_margin,gt,0.238229,15,20,8
positive_top_scale_max,gt,0.380891,15,20,8
triage_minus_positive_entropy,gt,-0.03194,15,20,8
triage_minus_positive_support_margin,lt,-0.119583,15,20,8
positive_logp_under_triage,gt,7.604752,15,20,9
positive_top_prob,gt,0.473472,15,20,9
triage_minus_positive_entropy,gt,-0.050551,15,20,9
triage_minus_positive_support_margin,lt,-0.116367,15,20,9
triage_minus_positive_top_prob,lt,0.057856,15,20,9
positive_logit_gap,gt,0.581314,15,20,10
positive_top_prob,gt,0.46919,15,20,10
positive_weighted_action_l2,gt,1.969241,15,20,10
triage_minus_positive_entropy,gt,-0.067399,15,20,10
triage_minus_positive_support_margin,lt,-0.091568,15,20,10
triage_minus_positive_top_prob,lt,0.062114,15,20,10
positive_logit_gap,gt,0.570842,15,20,11
positive_support_margin,gt,0.193614,15,20,11
positive_support_pos_dist,lt,1.338353,15,20,11
positive_top_prob,gt,0.458747,15,20,11
positive_weighted_action_l2,gt,1.654822,15,20,11
triage_minus_positive_entropy,gt,-0.074572,15,20,11
triage_minus_positive_support_margin,lt,-0.052451,15,20,11
triage_minus_positive_top_prob,lt,0.074689,15,20,11
positive_logit_gap,gt,0.542443,15,20,12
positive_top_prob,gt,0.447943,15,20,12
triage_minus_positive_entropy,gt,-0.081489,15,20,12
triage_minus_positive_support_margin,lt,-0.031275,15,20,12
triage_minus_positive_top_prob,lt,0.089553,15,20,12
triage_top_prob,lt,0.547462,15,20,12
positive_logit_gap,gt,0.458974,15,20,13
triage_minus_positive_entropy,gt,-0.092772,15,20,13
triage_minus_positive_support_margin,lt,-0.021211,15,20,13
triage_minus_positive_top_prob,lt,0.096475,15,20,13
triage_support_margin,lt,0.201404,15,20,13
positive_logit_gap,gt,0.400217,15,20,14
positive_weighted_action_l2,gt,0.871507,15,20,14
triage_minus_positive_entropy,gt,-0.123478,15,20,14
triage_minus_positive_support_margin,lt,-0.014979,15,20,14
triage_minus_positive_top_prob,lt,0.11449,15,20,14
triage_support_margin,lt,0.225398,15,20,14
positive_logit_gap,gt,0.398251,15,20,15
triage_entropy,gt,1.111036,15,20,15
triage_minus_positive_entropy,gt,-0.149123,15,20,15
triage_minus_positive_top_prob,lt,0.141061,15,20,15
positive_logit_gap,gt,0.388232,15,20,17
triage_entropy,gt,1.099081,15,20,17
triage_minus_positive_support_margin,lt,0.056163,15,20,17
triage_minus_positive_support_margin,lt,0.116446,15,20,18
positive_entropy,gt,1.352376,14,20,0
positive_entropy,lt,0.973857,14,20,0
positive_logit_gap,gt,1.078589,14,20,0
positive_logit_gap,lt,0.111073,14,20,0
positive_logp_under_triage,gt,8.825902,14,20,0
positive_logp_under_triage,lt,4.557884,14,20,0
positive_support_margin,gt,1.107326,14,20,0
positive_support_margin,lt,-0.08195,14,20,0
positive_support_pos_dist,gt,2.296254,14,20,0
positive_support_pos_dist,lt,0.600518,14,20,0
positive_top_prob,gt,0.583251,14,20,0
positive_top_prob,lt,0.359523,14,20,0
positive_top_scale_max,gt,0.479222,14,20,0
positive_top_scale_max,lt,0.230631,14,20,0
positive_top_scale_mean,gt,0.171748,14,20,0
positive_top_scale_mean,lt,0.102105,14,20,0
positive_triage_action_l2,gt,0.837094,14,20,0
positive_triage_action_l2,lt,0.082095,14,20,0
positive_weighted_action_l2,gt,2.319034,14,20,0
positive_weighted_action_l2,lt,0.436121,14,20,0
triage_entropy,gt,1.268864,14,20,0
triage_entropy,lt,0.9863,14,20,0
triage_logit_gap,gt,1.695994,14,20,0
triage_logit_gap,lt,0.148052,14,20,0
triage_logp_under_positive,gt,9.525646,14,20,0
triage_logp_under_positive,lt,-2.535098,14,20,0
triage_minus_positive_entropy,gt,0.21772,14,20,0
triage_minus_positive_entropy,lt,-0.319981,14,20,0
triage_minus_positive_logit_gap,gt,1.123347,14,20,0
triage_minus_positive_logit_gap,lt,-0.46689,14,20,0
triage_minus_positive_support_margin,gt,0.409935,14,20,0
triage_minus_positive_support_margin,lt,-0.298834,14,20,0
triage_minus_positive_top_prob,gt,0.250321,14,20,0
triage_minus_positive_top_prob,lt,-0.069725,14,20,0
triage_support_margin,gt,1.037828,14,20,0
triage_support_margin,lt,-0.247336,14,20,0
triage_top_prob,gt,0.674355,14,20,0
triage_top_prob,lt,0.380229,14,20,0
positive_entropy,lt,1.023265,14,20,1
positive_logit_gap,lt,0.222164,14,20,1
positive_logp_under_triage,gt,8.619851,14,20,1
positive_logp_under_triage,lt,4.783597,14,20,1
positive_support_margin,gt,0.933706,14,20,1
positive_support_pos_dist,lt,0.644437,14,20,1
positive_top_prob,gt,0.577807,14,20,1
positive_triage_action_l2,lt,0.087193,14,20,1
positive_weighted_action_l2,lt,0.476669,14,20,1
triage_entropy,gt,1.268325,14,20,1
triage_entropy,lt,1.021121,14,20,1
triage_logit_gap,gt,1.641901,14,20,1
triage_minus_positive_entropy,gt,0.188165,14,20,1
triage_minus_positive_entropy,lt,-0.286774,14,20,1
triage_minus_positive_logit_gap,gt,1.0635,14,20,1
triage_minus_positive_support_margin,lt,-0.287415,14,20,1
triage_minus_positive_top_prob,gt,0.23604,14,20,1
triage_minus_positive_top_prob,lt,-0.066484,14,20,1
triage_support_margin,gt,0.95429,14,20,1
triage_support_margin,lt,-0.217151,14,20,1
triage_top_prob,gt,0.654936,14,20,1
positive_entropy,gt,1.316642,14,20,2
positive_entropy,lt,1.096849,14,20,2
positive_support_margin,gt,0.621765,14,20,2
positive_support_pos_dist,gt,2.124502,14,20,2
positive_support_pos_dist,lt,0.733445,14,20,2
positive_top_scale_max,lt,0.282583,14,20,2
positive_triage_action_l2,lt,0.097327,14,20,2
triage_minus_positive_entropy,gt,0.107567,14,20,2
triage_minus_positive_support_margin,lt,-0.267604,14,20,2
triage_support_margin,gt,0.732844,14,20,2
triage_support_margin,lt,-0.127176,14,20,2
positive_entropy,gt,1.305833,14,20,3
positive_entropy,lt,1.126729,14,20,3
positive_support_margin,gt,0.453244,14,20,3
positive_support_pos_dist,gt,1.91002,14,20,3
positive_support_pos_dist,lt,0.797106,14,20,3
positive_top_prob,lt,0.404357,14,20,3
positive_top_scale_max,lt,0.290969,14,20,3
positive_top_scale_mean,gt,0.151062,14,20,3
positive_top_scale_mean,lt,0.119898,14,20,3
positive_triage_action_l2,gt,0.450198,14,20,3
positive_triage_action_l2,lt,0.103332,14,20,3
triage_logit_gap,gt,1.394292,14,20,3
triage_minus_positive_entropy,gt,0.047686,14,20,3
triage_minus_positive_entropy,lt,-0.216404,14,20,3
triage_minus_positive_logit_gap,gt,0.767893,14,20,3
triage_minus_positive_logit_gap,lt,-0.168703,14,20,3
triage_minus_positive_top_prob,gt,0.176555,14,20,3
triage_top_prob,gt,0.599858,14,20,3
positive_entropy,gt,1.291654,14,20,4
positive_support_margin,gt,0.402944,14,20,4
positive_support_pos_dist,gt,1.819755,14,20,4
positive_support_pos_dist,lt,0.848699,14,20,4
positive_top_prob,lt,0.423886,14,20,4
positive_top_scale_max,lt,0.31411,14,20,4
positive_top_scale_mean,lt,0.120336,14,20,4
positive_triage_action_l2,gt,0.383707,14,20,4
triage_logit_gap,gt,1.318168,14,20,4
triage_logit_gap,lt,0.640905,14,20,4
triage_logp_under_positive,lt,3.138066,14,20,4
triage_minus_positive_entropy,gt,0.028188,14,20,4
triage_minus_positive_logit_gap,lt,-0.0766,14,20,4
triage_top_prob,gt,0.588685,14,20,4
positive_entropy,gt,1.277095,14,20,5
positive_logit_gap,gt,0.770449,14,20,5
positive_support_margin,gt,0.371513,14,20,5
positive_support_margin,lt,0.163884,14,20,5
positive_support_pos_dist,gt,1.739937,14,20,5
positive_support_pos_dist,lt,0.900274,14,20,5
positive_top_prob,lt,0.424208,14,20,5
positive_top_scale_max,gt,0.414451,14,20,5
positive_top_scale_max,lt,0.332805,14,20,5
positive_top_scale_mean,lt,0.122393,14,20,5
triage_logit_gap,gt,1.16043,14,20,5
triage_minus_positive_logit_gap,lt,0.026097,14,20,5
triage_minus_positive_support_margin,lt,-0.201138,14,20,5
triage_minus_positive_top_prob,lt,-0.030347,14,20,5
triage_support_margin,lt,0.037797,14,20,5
positive_entropy,gt,1.273089,14,20,6
positive_logit_gap,gt,0.70417,14,20,6
positive_logp_under_triage,lt,6.793689,14,20,6
positive_support_margin,gt,0.328482,14,20,6
positive_support_margin,lt,0.172558,14,20,6
positive_support_pos_dist,gt,1.640745,14,20,6
positive_support_pos_dist,lt,0.924241,14,20,6
positive_top_prob,lt,0.427276,14,20,6
positive_top_scale_max,lt,0.336581,14,20,6
positive_top_scale_mean,lt,0.125432,14,20,6
positive_triage_action_l2,gt,0.32654,14,20,6
triage_logp_under_positive,lt,5.188874,14,20,6
triage_minus_positive_logit_gap,gt,0.483187,14,20,6
triage_minus_positive_logit_gap,lt,0.142657,14,20,6
triage_minus_positive_support_margin,lt,-0.16632,14,20,6
triage_minus_positive_top_prob,lt,-0.003005,14,20,6
positive_entropy,gt,1.26751,14,20,7
positive_logit_gap,gt,0.628017,14,20,7
positive_logp_under_triage,lt,7.020442,14,20,7
positive_support_margin,lt,0.178868,14,20,7
positive_top_scale_max,lt,0.344057,14,20,7
positive_top_scale_mean,gt,0.139936,14,20,7
positive_top_scale_mean,lt,0.126778,14,20,7
positive_triage_action_l2,gt,0.300041,14,20,7
positive_triage_action_l2,lt,0.15849,14,20,7
triage_logit_gap,gt,1.002128,14,20,7
triage_logp_under_positive,lt,6.017924,14,20,7
triage_minus_positive_entropy,gt,-0.020996,14,20,7
triage_minus_positive_logit_gap,gt,0.458668,14,20,7
triage_minus_positive_logit_gap,lt,0.226561,14,20,7
triage_minus_positive_support_margin,lt,-0.140413,14,20,7
triage_minus_positive_top_prob,lt,0.018647,14,20,7
positive_entropy,gt,1.264565,14,20,8
positive_logit_gap,gt,0.597852,14,20,8
positive_logp_under_triage,lt,7.133005,14,20,8
positive_top_scale_max,lt,0.350014,14,20,8
positive_top_scale_mean,gt,0.135932,14,20,8
positive_top_scale_mean,lt,0.128113,14,20,8
positive_triage_action_l2,gt,0.278895,14,20,8
positive_triage_action_l2,lt,0.177848,14,20,8
triage_logit_gap,gt,0.903548,14,20,8
triage_logp_under_positive,gt,7.737631,14,20,8
triage_logp_under_positive,lt,6.849088,14,20,8
triage_minus_positive_logit_gap,gt,0.415737,14,20,8
triage_minus_positive_top_prob,lt,0.042744,14,20,8
triage_support_margin,lt,0.097813,14,20,8
positive_entropy,gt,1.262561,14,20,9
positive_entropy,lt,1.258733,14,20,9
positive_logit_gap,gt,0.591255,14,20,9
positive_support_margin,gt,0.215258,14,20,9
positive_top_scale_max,gt,0.368221,14,20,9
positive_top_scale_max,lt,0.353572,14,20,9
positive_top_scale_mean,gt,0.133286,14,20,9
positive_top_scale_mean,lt,0.130358,14,20,9
positive_triage_action_l2,lt,0.204481,14,20,9
positive_weighted_action_l2,gt,2.018981,14,20,9
triage_entropy,gt,1.181141,14,20,9
triage_logit_gap,gt,0.85488,14,20,9
triage_logp_under_positive,gt,7.512589,14,20,9
triage_minus_positive_logit_gap,gt,0.391644,14,20,9
triage_support_margin,lt,0.137411,14,20,9
triage_top_prob,lt,0.527355,14,20,9
positive_entropy,lt,1.260754,14,20,10
positive_logp_under_triage,gt,7.38917,14,20,10
positive_support_margin,gt,0.199436,14,20,10
positive_support_pos_dist,lt,1.131242,14,20,10
positive_top_scale_max,gt,0.358239,14,20,10
positive_top_scale_mean,gt,0.132202,14,20,10
positive_triage_action_l2,lt,0.231265,14,20,10
triage_entropy,gt,1.175838,14,20,10
triage_logit_gap,gt,0.827311,14,20,10
triage_logp_under_positive,gt,7.324312,14,20,10
triage_minus_positive_logit_gap,gt,0.36221,14,20,10
triage_support_margin,lt,0.146317,14,20,10
triage_top_prob,lt,0.532326,14,20,10
positive_logp_under_triage,gt,7.207013,14,20,11
positive_support_pos_dist,gt,1.039611,14,20,11
positive_triage_action_l2,lt,0.260182,14,20,11
triage_entropy,gt,1.169987,14,20,11
triage_logit_gap,gt,0.802996,14,20,11
triage_logp_under_positive,gt,7.17544,14,20,11
triage_minus_positive_logit_gap,gt,0.317443,14,20,11
triage_support_margin,lt,0.158522,14,20,11
triage_top_prob,lt,0.538609,14,20,11
positive_support_margin,gt,0.188414,14,20,12
positive_support_pos_dist,gt,0.988709,14,20,12
positive_support_pos_dist,lt,1.48425,14,20,12
positive_weighted_action_l2,gt,1.344129,14,20,12
positive_weighted_action_l2,lt,2.038183,14,20,12
triage_entropy,gt,1.144033,14,20,12
triage_entropy,lt,1.188154,14,20,12
triage_logit_gap,gt,0.785282,14,20,12
triage_minus_positive_logit_gap,gt,0.29318,14,20,12
triage_support_margin,lt,0.175359,14,20,12
triage_top_prob,gt,0.519359,14,20,12
positive_support_pos_dist,gt,0.94642,14,20,13
positive_support_pos_dist,lt,1.55378,14,20,13
positive_top_prob,gt,0.436821,14,20,13
positive_weighted_action_l2,gt,1.236914,14,20,13
positive_weighted_action_l2,lt,2.074864,14,20,13
triage_entropy,gt,1.121226,14,20,13
triage_entropy,lt,1.195572,14,20,13
triage_logit_gap,gt,0.744778,14,20,13
triage_support_margin,gt,0.056366,14,20,13
triage_top_prob,gt,0.515054,14,20,13
triage_top_prob,lt,0.551196,14,20,13
positive_weighted_action_l2,lt,2.110987,14,20,14
triage_entropy,gt,1.117901,14,20,14
triage_entropy,lt,1.202522,14,20,14
triage_logit_gap,gt,0.696847,14,20,14
triage_minus_positive_entropy,lt,-0.006011,14,20,14
triage_support_margin,gt,0.043311,14,20,14
triage_top_prob,gt,0.502474,14,20,14
triage_top_prob,lt,0.556086,14,20,14
positive_weighted_action_l2,gt,0.56406,14,20,15
positive_weighted_action_l2,lt,2.131975,14,20,15
triage_entropy,lt,1.218379,14,20,15
triage_logit_gap,gt,0.676588,14,20,15
triage_logp_under_positive,gt,4.841528,14,20,15
triage_minus_positive_entropy,lt,0.011183,14,20,15
triage_minus_positive_logit_gap,lt,0.562199,14,20,15
triage_support_margin,lt,0.231422,14,20,15
triage_top_prob,gt,0.488486,14,20,15
triage_top_prob,lt,0.572464,14,20,15
positive_logit_gap,gt,0.395214,14,20,16
positive_support_margin,gt,0.118567,14,20,16
positive_top_scale_max,lt,0.432534,14,20,16
positive_weighted_action_l2,gt,0.547443,14,20,16
positive_weighted_action_l2,lt,2.155075,14,20,16
triage_entropy,gt,1.102931,14,20,16
triage_entropy,lt,1.237158,14,20,16
triage_minus_positive_entropy,gt,-0.177856,14,20,16
triage_minus_positive_logit_gap,lt,0.685291,14,20,16
triage_minus_positive_support_margin,gt,-0.230669,14,20,16
triage_minus_positive_top_prob,gt,-0.050451,14,20,16
triage_minus_positive_top_prob,lt,0.158048,14,20,16
triage_support_margin,gt,0.033451,14,20,16
triage_support_margin,lt,0.30197,14,20,16
triage_top_prob,gt,0.485299,14,20,16
positive_support_margin,gt,0.066623,14,20,17
positive_top_scale_max,lt,0.449952,14,20,17
positive_weighted_action_l2,gt,0.529868,14,20,17
positive_weighted_action_l2,lt,2.172553,14,20,17
triage_entropy,lt,1.248435,14,20,17
triage_logit_gap,gt,0.600968,14,20,17
triage_logp_under_positive,gt,1.213047,14,20,17
triage_minus_positive_support_margin,gt,-0.245078,14,20,17
triage_minus_positive_top_prob,gt,-0.055634,14,20,17
